"0001",73
"0002",90
"0003",76
"0004",69
"0005",67
"0006",45
"0007",38
"0008",58
"0009",47
"0010",75
"0011",86
"0012",54
"0013",1
"0015",2
"0018",1
"0019",2
"0020",3
"0030",2
"0031",2
"0195",1
"0313",4
"0612",1
"1008",7
"1009",2
"1047",1
"1193",2
"1208",1
"1629",1
"1634",13
"1636",1
"1648",1
"1652",5
"1654",1
"1661",1
"1664",1
"1668",2
"1672",1
"1673",1
"1675",1
"1676",2
"1684",4
"1687",1
"1696",18
"1697",1
"1698",2
"1699",10
"1703",1
"1710",1
"1712",1
"1717",1
"1719",3
"1722",1
"1727",2
"1754",28
"1755",2
"1760",5
"1763",1
"1765",2
"1767",1
"1768",8
"1769",826
"1770",27417
"1771",4
"1773",4
"1774",1
"1775",2
"1776",4
"1777",9
"1778",6
"1779",2
"1780",2
"1781",1
"1782",2
"1783",3
"1784",11
"1785",2
"1787",1
"1788",2366
"1789",7
"1790",7
"1791",30
"1792",68
"1793",34
"1794",9
"1795",21
"1796",6
"1797",10
"1798",21
"1799",138
"1800",596
"1801",1178
"1802",3626
"1803",1029
"1804",696
"1805",175
"1806",64
"1807",95
"1808",71
"1809",80
"1810",327
"1811",40
"1812",27
"1813",20
"1814",21
"1815",140
"1816",115
"1817",587
"1818",468
"1819",386
"1820",450
"1821",194
"1822",476
"1823",1445
"1824",295
"1825",366
"1826",302
"1827",515
"1828",463
"1829",572
"1830",245
"1831",209
"1832",288
"1833",297
"1834",249
"1835",587
"1836",929
"1837",1192
"1838",1847
"1839",3592
"1840",2877
"1841",1363
"1842",1775
"1843",3527
"1844",2151
"1845",1683
"1846",1756
"1847",1458
"1848",2960
"1849",1290
"1850",1756
"1851",1471
"1852",2001
"1853",2890
"1854",3053
"1855",2968
"1856",2366
"1857",1616
"1858",856
"1859",786
"1860",2698
"1861",1811
"1862",1092
"1863",2983
"1864",2717
"1865",4031
"1866",2563
"1867",5417
"1868",2379
"1869",2902
"1870",3464
"1871",2300
"1872",2101
"1873",2031
"1874",4646
"1875",6068
"1876",3622
"1877",7795
"1878",5073
"1879",6535
"1880",8162
"1881",7417
"1882",10500
"1883",9383
"1884",11124
"1885",13443
"1886",14202
"1887",16283
"1888",11078
"1889",13905
"1890",12360
"1891",18833
"1892",13773
"1893",14398
"1894",14138
"1895",12391
"1896",14851
"1897",17570
"1898",24273
"1899",25431
"1900",46051
"1901",22385
"1902",18782
"1903",25316
"1904",18792
"1905",20704
"1906",21149
"1907",22623
"1908",22731
"1909",31761
"1910",30082
"1911",28837
"1912",32801
"1913",30308
"1914",24703
"1915",20072
"1916",22655
"1917",19214
"1918",24020
"1919",24259
"1920",28030
"1921",25358
"1922",24997
"1923",21218
"1924",23257
"1925",17344
"1926",21469
"1927",20196
"1928",27196
"1929",28795
"1930",36187
"1931",39669
"1932",31547
"1933",29701
"1934",31418
"1935",36328
"1936",33122
"1937",42062
"1938",47455
"1939",43638
"1940",27206
"1941",29043
"1942",19358
"1943",24367
"1944",24293
"1945",31646
"1946",40148
"1947",52269
"1948",76327
"1949",60270
"1950",60292
"1951",50625
"1952",67647
"1953",84273
"1954",86147
"1955",85043
"1956",80839
"1957",92802
"1958",107954
"1959",105445
"1960",125239
"1961",119850
"1962",159218
"1963",184966
"1964",186926
"1965",182961
"1966",209338
"1967",230654
"1968",248863
"1969",254384
"1970",379116
"1971",285237
"1972",308671
"1973",315155
"1974",307431
"1975",338819
"1976",359489
"1977",763625
"1978",809108
"1979",823277
"1980",880683
"1981",713441
"1982",566299
"1983",588622
"1984",685537
"1985",717732
"1986",858848
"1987",811707
"1988",945500
"1989",788010
"1990",885227
"1991",1025808
"1992",1020648
"1993",1104553
"1994",989092
"1995",1070713
"1996",1111730
"1997",1192851
"1998",1472259
"1999",2939807
"2000",2735992
"2001",2791629
"2002",1900372
"2003",1804104
"2004",1902998
"2005",1725568
"2006",1614415
"2007",1709500
"2008",1839791
"2009",1796479
"2010",1766858
"2011",1991182
"2012",2191491
"2013",2374521
"2014",2757719
"2015",2837710
"2016",2707035
"2017",2902599
"2018",536330
"",5357953
