"DISPOSED",2462
"DONATED TO BMNH",1
"Discovery Cent",1
"Disposed",10700
"EXCHANGE",1
"Exchanged",47
"F",1
"G?",2
"GIFT",924
"GIFT/EXCHANGE",1
"GIFT?",1
"Gift",198
"Gift?",1
"HARVARD UNIVERS",11
"In collection",3308
"Loan",5
"MAGNT",2
"MISSING",1822
"MZB",1088
"Missing",1001
"NORTH. ARIZ. U.",2
"NORTH.ARIZ.UNIV",1
"NORTH.ARIZO.UN.",103
"NORTH.ARIZONA U",3
"NORTHERN ARIZON",56
"QLD MUSEUM",4
"S",18
"T",1
"consumed",19
"disposition unknown",85
"in collection",43463
"lodged in other institution",148
"mising.Apr09.PD",1
"missing",2
"missing.Ap09.PD",1
"on loan; residual may be returned",451
"permanent loan",275
"returned/unused sample",19
"tissue grant",1099
