"ABROLHOS ISLANDS",1
"ARCHIPELAGO OF THE RECHERCHE",1
"ARU",2
"ARU IS.",1
"Abrolhos Islands",123
"Admirality Gulf",1
"Admiralty Gulf",9
"Admiralty Islands",6
"Admiralty Islands Group",1
"Agalega Islands",37
"Aimeliik Coast",1
"Albany",90
"Albemarle Isle",1
"Alderman Islands",1
"Aleutian Islands",4
"Alexander Bay",2
"Alor Islands",1
"Alor Straits",60
"Amakusa Islands",1
"Ambon Island",1
"American Samoa",7
"Amirante Islands",3
"Amphlett Island Group",3
"Amphlett Islands",8
"Amsterdam Islands",18
"Anambas Islands",64
"Andaman Islands",113
"Aramot Island",1
"Archipel des Kerguelen",120
"Archipelago of the Recherche",38
"Aru",136
"Aru Islands",45
"Ashmore",4
"Ashmore Islands",2
"Ashmore Reef",1478
"Ashmore and Cartier Islands",1979
"Ashmore reef",1
"Auckland Islands",67
"Augusta",1
"Austral Islands",3
"Australind",1
"Ayau Islands",1
"BANDA",38
"BANDA NEIRA",11
"BANDA NEIRA ISLAND",38
"BONAPARTE",13
"BONAPARTE ARCHIPELAGO",125
"BUCCANEER ARCHIPELAGO",439
"Bahama archipelago",1
"Bali",179
"Banda",102
"Banda Islands",2
"Banggai Islands",70
"Barnard Islands",54
"Barrow",90
"Barrow Island",2
"Barrow Island Shoals",879
"Bass Strait",7
"Batan Islands",1
"Beagle Islands",19
"Bedford Islands",39
"Belize Barrier Reef",4
"Bismarck Archipelago",355
"Bodgaya Islands",2
"Bohol Islands",6
"Boigu Group",4
"Bonaparte",2186
"Bonaparte Archipelago",3257
"Bonaparte Archipelago, Coronation Island Group",2
"Bonaparte Archipelago, Coronation Islands",27
"Bonaparte Archipelago, Kingsmill Islands",59
"Bonaparte Archipelago, Maret Islands",77
"Bonaparte Atchipelago",8
"Bondoc Peninsula",2
"Bootless Bay",6
"Borburata",1
"Borneo",1
"Bougainville",64
"Bremer Bay",6
"British Isles",1
"Broke Inlet",3
"Bucaneer Archipelago",1
"Buccaneer",463
"Buccaneer Archipelago",2177
"Buccaneer Archipelago, Kingfisher Islands",57
"Bunker Capricorn",1
"Bunker Group",17
"Burrup Peninsula",6
"COCOS ISLANDS",25
"Cagayan Sulu Islands",1
"Calamian Islands",99
"Cambridge Gulf",6
"Camden Sound",721
"Campbell Island Group",1
"Campbell Islands",44
"Canary Islands",4
"Cape Bossut",1
"Cape Jervis",1
"Cape Lambert",1
"Cape Leeuwin",12
"Cape Naturaliste",76
"Cape Peron",1
"Cape Riche",1
"Cape Wessel",2
"Capricorn Group",27
