"(Zanzibar) Unguja Island",3
"12 miles N of",2
"27Km W of",1
"6 Mile",2
"? Long Island",1
"A.C.T BORDER",1
"ABC Islands",2
"ADOLPHUS",1
"ADONARA",76
"ALOR",354
"ALOR KECIL",3
"AMBON",250
"ARU",382
"AUGUSTUS",1
"Abaga Gaheia Island",3
"Abrolhos Islands",4
"Aburatsubo",2
"Abutilon",7
"Abutilon Island",5
"Aceh Province",1
"Actaeon Island",9
"Adele",101
"Adele Island",581
"Admiral Island",121
"Admiralty Island",4
"Admiralty Islands",6
"Adolphus",174
"Adolphus Island",9
"Adonara",47
"Adonara Island",3
"Aeroplane Island",1
"Ah Chong",29
"Ah Chong Island",156
"Ahmed",1
"Aibinio Island",1
"Aiduma Island",1
"Air Bajo",4
"Air Terjun",10
"Airlie",23
"Airlie Island",5
"Aitutaki Island",2
"Akerstrom",6
"Albatross",2
"Albatross Island",19
"Albert Islands",95
"Alcatraz  (= Lumley)",3
"Alcester Island",2
"Alexander",19
"Alifushi",1
"Alkimos Reef",15
"Alkimos Wreck",1
"Alor",745
"Alpha",10
"Alpha Island",115
"Althorpe Islands",9
"Alven Island",1
"Amak Island",4
"Amami Oshima Island",1
"Amami-Oshima",2
"Ambavatoby Bay",6
"Ambon",44
"Ambon Island",265
"Ambrym",4
"Ameland",1
"Amelia",1
"Ami Island",1
"Amsterdam Island",18
"Anaa Atoll",2
"Anastasia Island",1
"Anchor",6
"Andaman",5
"Andamen Island",1
"Andavakalovo Island",8
"Andra Island",3
"Andros Island",1
"Angel",14
"Angel Island",517
"Angel Island, Dolphin Island",19
"Anggadi Island",5
"Angle",2
"Anilao",11
"Anjouan Island",2
"Ansel Island",1
"Ant Atoll",1
"Antipodes",1
"Anvil",22
"Apo Island",1
"Apolima Island",1
"Apostle",1
"Arch Rock",2
"Ardery Island",1
"Arguni Bay",1
"Armstrong Rocks",5
"Arros Island",1
"Arthur",10
"Arthur Island",3
"Aru",1
"Aru Island",12
"Ascension Island",13
"Ashburton",4
"Ashburton Island",2
"Ashburton Reef",2
"Ashmore Reef",108
"Ashmore Reef  (East)",34
"Ashmore Reef  (Middle)",30
"Ashmore Reef  (West)",28
"Ashmore Reef  (group)",15
"Aspatrin Island",1
"Astola Island",1
"Atauro Island",11
"Athol Island",1
"Aubusi Island",2
"Auckland Island",2
"Augulpelu Reef",1
"Augustus",452
"Augustus Island",325
"Aukena Is,Gambier Is",1
"Aunt",2
"Aunuu Island",3
"Avery Island",1
"Ayau Atoll",1
"Ayerabu Island",8
"BABBAGE",2
"BALI",782
"BANDA BESAR",1
"BANDA GROUP",7
"BANDA NAIRA",69
"BANDA NEIRA",9
"BANQUEY",1
"BARROW",16
"BATHURST",33
"BEAGLE ISLAND",1
"BIAK",6
"BIGGE",17
"BOONGAREE",52
"BORDA",1
"BORNEO",556
"BOULLANGER",1
"BURU",162
"Babaldaob Island",1
"Babbage",7
"Babbage Island",1
"Babel Island",3
"Babi Island",9
"Babi Ujong",2
"Back reef",1
"Bacuit Bay",65
"Badger Island",22
"Badger Island, Furneaux Group",1
"Badu Island",2
"Bag Island",1
"Bahama",2
"Bahrain Island",22
"Bainsim Island",1
"Bairakaseru Island",2
"Bait Reef",6
"Balabac Island",9
"Balabec Island",3
"Balabio Island",2
"Bald",238
"Bald Island",37
"Bald Rock",1
"Bali",278
"Bali Island",2
"Ballast Island",1
"Ballee",1
"Baluan Island",1
"Baluan Islands",1
"Bambu Islands",2
"Banana Island",1
"Banda",1
"Banda Besar",2
"Banda Neira",90
"Bandaneira",120
"Banggai Island",7
"Bangkalungan",1
