establishmentMeans	reps
\N	696816857
captive bred, found dead in nest	2
captive, egg taken and hatched	2
caught by hand	10
choked to death on discarded canned salmon	2
collected at 1015 hrs	3
found dead in marsh	2
found dead in old building	2
found dead, skin, neck intestines gorged with blood	2
shot by hunter by mistake	2
taken from Rough-legged Hawk's nest	2
taken from nest, captive for 5 days	2
bought from Woolworth & Co Toronto for $15.00 by J H Fleming	1
captive bred	40
captive bred at Miller World Zoo	1
collected at 1700 hrs	5
found alive 2005 Nov 10, fish hook in mouth and fishline wrapped around left primaries	1
found dead on floating Tern nesting raft, killed by Hurricane Fran	1
found dead, decomposed	8
found dying on shoreline	2
found dying with both eyes closed with pox	1
killed on woodpile in garden	2
taken from nest on verandah pillar	3
Antrópico	14
Naturalized?	123
Plantet	1
bought from game dealer, ca Nov 1923 Montreal	1
captive, bred in aviary fall of 1939	1
captive, ca 6 years	2
cat kill	112
collected at 1620 hrs	1
collected between 1830-1930 hrs	1
found alive, died same day as found, toxic poisoning	1
found dead in mouse trap in lane	2
killed by Arctic Loon	2
seized from hunter	60
taken from pipped egg	2
trapped in leg snare	2
Sown originally	130
captive, Calgary Zoo	1
chased by hawk, flew into post and died	2
collected after 1530 hrs	1
collected near midday	1
drowned	11
excavated in swamp at depth of 16 feet, between 1946 and 1956, see description in letter by H G Savage	1
fence kill	13
found blind	2
found blind, died in captivity	1
found by workers in burnt over forest	1
found dead in house	7
found dead on lawn	9
found dead, appeared to have a fight with mink	2
found dead, half dozen dents in skull	1
found ill, 18 December	2
found on road	1
hatching when collected	1
taken on board ship near Newfoundland	2
window kill, collected at 0800 hrs	1
? introduced	2
accidental death	38
beach kill, partly eaten by gulls, lead shot in wing	2
bought in a store	2
captive in England	3
captive, 3 days	2
captive, since 1984 November	2
collected 1830-1930 hrs	7
dead in net	56
drowned in fish nets	58
found alive, euthanized	2
found dead	2442
found dead in cabin	4
found dead in nest after heavy rain	3
shot by native	2
Number in Set: 1	1
bought in Georgetown	2
captive, aviary bred	4
collected at 0600 hrs	9
collected at 1155 hrs	1
found dead 100 ft from nest, taken from pipped egg	2
found dead in little creek at lignite camp	1
found dead, Earwig in throat, possible cause of death	1
hitch hiker fishing, boating	4
killed against side of house, chasing prey	2
taken as it left nest	2
taken with nest, nest also collected	4
trapped and died	6
window kill, collected 1730 hrs	1
attacked by four crows	1
bought in London, Ontario market Jan 29, 1887	1
captive for ca 4 days	2
captive, since 1991	2
flew into train	2
found almost dead	2
found dead, caught in fence, broken neck	2
found dead, escaped cage bird	2
shot	11
train kill, collected at arrival of train	1
captive raised-1979	1
captive, killed by Screech Owl	1
collected 1930 hrs	3
collected before 1100 hrs	2
found dead on Hwy	48
found emaciated	2
found ill, starvation?	2
lighthouse kill in fog	6
managed	41966
one of three found dead	2
bought in Leadenhall market, London	2
captive, 9 days	2
caught by boys	4
caught in trap, set on hen that was previously killed by a hawk	1
collected at 0900 hrs	16
ex herb. V. Räsänen	562
found dead by Vitale, V	2
found dead in nest box No 14	2
found injured after hitting window at National Museum of Canada	2
released pet	59
Herbarium of Dr. V. J. Kivenheimo	1
Nativa	124
captive for ca 2 days, captured 1941 August 9	1
captive, bred in aviary, summer 1940	1
captive, died in ROM Aviary	1
caught in beaver trap	1
caught in burdock	1
died of exposure in cold snap	6
found dead in a camp	1
found dead in yard	4
gin trap	2
pick up exhausted	1
released bait	3844
shipping ballast water: hitch hiker on aquatic plants?	50
unknown: hitch hiker	9
beach kill, badly oiled	2
captive for four days	3
captive, caught 1946 June 13	1
captive, from hatchery	4
caught in bear trap	2
collected after 0730 hrs	1
collected between 1615-1645 hrs	1
found dead in fireplace	2
found dead, hit wires?	1
found dead, killed by dog	2
hatched on game farm	4
Silvestre, Ex—tico	71
bought in Leadenhall market, in London	4
bought in Liverpool, England	3
captive for 14 days	2
captive in Ontario	1
collected before 0945 hrs	4
found dead after a heavy storm	2
found dead, shot, emaciated	2
found ill on Museum steps	2
sampling casualty	2
taken from nest in hole in bank	3
trapped on eggs	2
DOR=dead on road, road kill?	3
captive for 4 days	1
caught in fish nets, collected for gallery specimens	10
fishing line wrapped around wings	2
killed by fox, captive bred	4
killed by wire net	1
stocked for forage	254
Native	3536
captive since 1983 March 23	1
captive since 1990 November, died in egg laying	2
captive, ca 5 yrs	2
collected at 0880 hrs	1
excavated, many remains dated English occupation 1679-1721	1
found on side of road	2
harmful nonnative	9264
went over the falls	10
captive for ca 2 months	2
captive, died 1977 September 9	1
found dead, skin neck and organs gorged with blood, 2 shot in abdomen	2
found ill, very thin	2
found injured, emaciated	4
killed by Cowbird	1
killed by Great Blue Heron or parent	2
picked up dead in Museum grounds	1
stocked illegally	4
taken with nest, three eggs and two Cowbird eggs	1
window kill by feeder	2
Procedente de fuente no silvestre	41
beach kill	471
bought in Toronto	2
captive for 1 yr	1
captive for 8 yrs	2
captive for ca 2 yrs	3
captive since 1992 December, died of stress with younger male	2
captive, found injured with broken wing	1
captive, taken as egg and hatch in captivity	1
captive?	30
caught in nest cavity	2
collected at 1030 hrs	13
found dead, floating on bay	2
found dead, intestines, skin etc, gorged with blood	2
found with injured wing, euthanized	2
picked up in a weakened condition in spray area	1
stocked	96995
Migrador del sur	1
captive for 3 yrs in Sydney, New South Wales	1
captive, died in 1892 in captivity in Chicago, Illinois (brought to Chicago by a southern family)	1
captive, trauma, shock, pen injury	1
caught alive, wings frozen after bathing	1
found dead near nest	5
found dead on cliff top	2
found dead on new ice	2
found dead on ocean beach	2
found dead on verandah	2
