georeferenceVerificationStatus	reps
\N	700369561
georef batch tool 2014-05-02; GeoLocate	2
checked by collector	105938
unverrrified	2
verified by DEK	1372
unverrifed	112
verified by RS	1979
verified by contributor	485747
migration	6228
verified by DEK, KC	2
reviewed - med confidence	1
validation required	1545
Requires verification	27
Sin verificaci—n	1241
reviewed	1
verified by curator	162821
Not verified	28710
Verified by data custodian	93893
verified by KC	3086
Point falls within province or country name on label	3635
Unchecked	156659
Verificado por el curador	6004
Needs georefrencing	1
not georeferenced	2840
Bradley G. Millen (ROM)	1
Confirmada	633597
Verified by data custodin	14
verified by JLW	560
e=requires verification	1
Verified by contributor	17404
Certainty code: 5"""	1
Needs georeferencing	82125
requires verification	2690015
needs validation	1
Verified 20030729	2
Verificado por el colector	179
requires verrification	1
'	1
Lucanus field notes	3
Verificado por el proveedor de los datos	25331
data custodian	26243
Verificado por Colector	1302
Verificado por el custodio de los datos	263262
requres verification	1
need verification	2
Data custodian	160
Unverified	185567
Verificado por colector	8038
[Redacted]	11
needs georeferencing	101
not verified	1895
unverified	6029709
checked by curator	193792
needs georeferecing	1
verified by KC, RS	6
Correct	60305
Verificado por curador	153
needs verification	6
Verified by Contributor	655
unknown	266430
reviewed - high confidence	30470
veriification required	83
reviewed - medium confidence	2
GeoLocate	1
need georeferencing	2227
Verificada	1000
yes	2582
Tyner, Megan	1
verification required	236609
No Confirmada	660
high confidence	1
verified, 20081023	2
verified	21398
Checked but uncertain	868
Sin verificación	5387
Verificado por el custodio de datos	1018
Verified by collector	3
no	2940
unverifed	19
verified by RC	4
incorrect	1
verified by data custodian	2581
verified by collector	206263
Verified by data contributor	324
unverrified	256
