language	reps
\N	642985973
E, Sande	310
EPSG:4326	146
JD, Pye	10
A, Kasangaki	6
EN-GB	42517
English, Chinese	238760
KD, Dijkstra	59
J, Ash	73
A, Forbes-Watson	458
PL, Miller	59
P, Weeks	417
D, Muhumuza	412
T, Butynski	20
CA, Chapman	1
GM, Robertson	48
english	2
JC, Kerbis	63
fluid Specimen, Tissue	1
H, Meltofte	36
Skeletal Specimen, Tanned Specimen	1
English	2344297
H, Osmaston	289
, QENPBO	480
Tamateque	1
Français	1
M, Behangana	115
, Hans	165
Dioula	2
, Denis	298
C, Dranzoa	177
J, Baguma	174
Fluid Specimen, Tissu	57
, Thorn & Kerbis (pub)	225
EN	579892
JD, Rossouw	9
pt_BR	120554
sv	13
da	4325748
Dried Specimen	19
ES	6353
I, Robertson	238
Tamacheque	1
de	5275
en; fi	28
la	18
Mike Hopkins	1
A, Byaruhanga	2925
N, Seavey	30
Various	72185
, Frontier-Uganda	647
ESP	2087
Español	7629
R, Semmanda	4129
P, Akite	1200
x`	1
JD, Goodman	63
PMB, Kasoma	149
dk	1
C, Kabusasi	1496
T, Stones	35
Cleared and Stained Specimen	18
S, Grove	161
deu	105
, Uganda Wetlands Prog	96
french	1
,	8
R, Kanoti	80
C, Williams	11980
Fluid Specimen; Tissue	49
H, Rainey	67
J, Andiandu	7
J, Kalina	3
eng	1654893
T, Potterton	1
, Britton	1
0	2
A, Twinomujuni	211
C, McParland	3
pt	5268440
tr	1
Skeletal Specimen	131
En	6044
D, Willard	137
KG, Kalibakate	140
Portuguese	9262
(1)Bambara, (2) Mooré	1
A, Honeywell	121
Fluid Preserved	83
TP, Gnoske	282
Es	6153
L, Christiansen	357
Peulh	2
L, Stubblefield	259
Skeletal Specimen, Dried Specimen	1
O, Baguma	73
Skeletal specimen	2
Dried Shell	1
J, Lindsell	414
MJ, Wigginton	406
RU	1186
Spanish	6266
A, Katende	4
DE, Pomeroy	5528
H, Bewes	144
J, Arinaitwe	772
, Ross	154
en	36154272
I, Owiunzi	354
cs; la	1
A, Din	3
T, Kuske	1
T, Otim	167
R, Kityo	2210
es	14055015
AJ, Dijksen	3
en|fr	269490
fi; da	12
R, Matthews	35
it	25
bambara	3
D, Butchart	24
D, Sivell	1
fi; de	5
russian	4129
I, Francis	2356
Bambara	6
K, Barnes	1
Mooré	2
D, Baineomugisha	278
M, Coverdale	754
O, Nasirwa	40
H, Mugabe	3828
J, McCoy	85
M, Nakibuka	41
Skeletal	17
M, Carswell	2906
Moré	2
, Natural History Muse	8
C, Smith	2
S, Webb	1
D, Brass	2
M, Wilson	377
J, Stevenson	1
, Timothy	65
Skeletal Specimen, Tissue	13
HM, Robner	4
fi	1036
Diola	2
E, Abe	214
B, Fisher	8
D, Scott	439
S, Ampeirwe	436
Fluid Specimen	10415
French	640
, Uganda Forest Depart	3118
J, Omoding	34
fi ; en	1
ina	1
nl	3880639
, Natureuganda	34
bs	7
fr	35965
, Budongo Forest Proje	427
, Zoology Museum	98
JF, Walsh	1482
P, Mwima	614
no	1
ro	23
Songhoï	1
Italian	2
WT, Stanley	48
, Nabert	152
GR, Wright	17
fr|en	259196
ru	8693
swe	2531
HJ, Rainey	62
T, Graves	15
, American Mus. Nat. H	13
L, Fishpool	197
Moré de Ouahigouya	1
ca	1695
Fluid Specimen, Tissue	7699
fi; en	20
, Moses	38
