occurrenceStatus	reps
\N	654883880
Skin on loan, 9 June 2004	1
Unprocessed	4
doubtful (occurrence with "x" mark).	17
common	68529
Desconocido	133
Duplicate of E4960 (egg card cataloged separately as E4960)	1
Specimen in Synoptic Collection	79
Gifted to the Carnegie Museum of Natural History (CM 135911), Deaccessioned on 2 February 2015	1
Discarded by Dr. Mayr: 18 November 1942	1
Outbreak	248
Left in the forest	67
niukasti	1
unclear breeding certaint	3453
Absent	4
Sanitation removals	28
Exchanged to St. Bonaventure University ( S. W. Eaton), St. Bonaventure, New York, for 10896, 10897, 18 May 1976 ( D S W), Deaccessioned on 2 February 2015	1
In House Loan, Specimen on Exhibit.  Removed from Colections:  3 April 2000 (V. Byre)	1
Threatened	45
Killed	44
Damaged	1051
EN	269
breeding in region	12
Nativo	821
probable breeding	48533
doubtful (occurrence with "0" mark).	3
(EN)	3
In House Loan, Specimen on Exhibit.  Removed from Collections:  5 April 2000	1
Treated	267
In House Loan, Specimen in the Orientation Gallery.  Removed from Collections:  February 2009.	11
radan vieressä	1
Do Not Loan or Exchange, See File on Endangered Species	1
Incidental fellings	3
valtalajina	2
doubtful (occurrence with "no" mark).	21
Muy común	136
Infested	615
Missing Wing:  August 2002	1
Not available for destructive sampling	2
Removals	4
possible breeding	31631
Missing as of July 2012	1
Ausente	111
NA	41735
Specimen in  Synoptic Collection	1
Toe pad loaned for DNA extraction to Dr. Rebecca Kimball, Department of Biology, University of Florida (ZO.2014.2)	2
rare	515
Población introducida	1
This record is only a numerical placeholder. Catalog number originally assigned to fluid preserved stomach contents without specimens	2
University of Oklahoma Biological Station 191	1
Feathers were destructively sampled and loaned to Marie Perkins, Louisiana State University (ZO.2006.1)	6
1	1
RE	41
Skin exchanged to St. Bonaventure University ( S. W. Eaton), St. Bonaventure, New York, for 10896, 10897, 18 May 1976 ( D S W), Deaccessioned on 2 February 2015	1
Común	17277
Raro	856
presence	787
In House Loan, Specimen in the Black Mesa Diorama.  Prepared for the exhibit and installed in May 2011.	42
raro	25
Skeleton on loan to Vertebrate Paleontology Teaching Collection from 2000 - 2005	1
In House Loan, Specimen on Exhibit. Removed from Collections: June 2002	1
On loan to Richard O. Prum, Yale Peabody Natural History Museum	1
Attacked	107
present	31868028
In House Loan, Specimen in the Black Mesa Diorama.  Prepared for the exhibit and installed in March 2011.	4
Alimentación	1
Present	256873
NT	1847
On Loan: 9 June 2004	1
?	2
Présent	22279071
RT	15
Sanitation fellings	188
Missing in 2000 Inventory, but Present in 1991 Inventory.  Returned to Collections: 2005	1
complet	69669
In House Loan, Specimen in the Orientation Gallery.  Prepared by taxidermist in 2009.	1
VU	575
doubtful (occurrence with question mark).	6
Destroyed	2
E	293
In the Discovery Room from 2000 to present day	1
To be regenerated	65
Salvage fellings	61
Processed	77
absent	71172
Loan skull only for SEAM scanning project  28 November 2011 - 28 February 2012	1
Specimen in Synoptic Collection.	1
(NT)	1
Do not loan or exchange	1
In House Loan, Specimen on Exhibit (Orientation Gallery). Removed from Collections: 27 March 2009	1
Presente	121567
Record created for missing catalog number	2
In House Loan, Specimen on Exhibit. Removed from Collections Prior to May 2001.	1
Poco común	190
P	1425168
Q	917907
Defoliated	615
Migratorio	11
In House Loan, Specimen on Exhibit at the Will Rodgers International Airport.  Removed from Collections:  25 April 2002.  Returned to Collections: 19 February 2003	2
T	38
CR	18
In House Loan, Specimen on Exhibit. Removed from Collections: 3 April 2000	2
Irregular	561
doubtful	1617
In House Loan, Specimen on Exhibit (Orientation Gallery). Removed from Collections in February 2009	16
Comun	44
Escasa	4
In House Loan, Specimen in the Orientation Gallery.  Removed from Collections: 24 June 2011.	2
In House Loan, Specimen in Art Room.  Removed from Collections:  17 June 2002	1
In House Loan, Specimen on Exhibit.  Removed from Collections:  25 April 2000	1
Toe pad loaned for DNA extraction to Dr. Samantha Wisely, KSU Conservation Genetic and Molecular Ecology Lab, Kansas State University (ZO.2011.2)x	1
presente	4
Extraviado	8
Frecuente	9
Fellings	2
adult; red; banded 30 April 1967 (band number 515-35307); also banded were five nestlings from a box "above the Cooksey's back stoop", Norman, OK; it was at least one year old when banded; banded by Dr. Paul F. Nighswonger.	1
Skin in Buenos Aires: M A C N 52678	1
frecuente	50
This specimen is the same as 7961	1
Dudoso	946
DD	12
Reported	1084
Lost	1
Gifted to the Cornell University Museum of Vertebrates, Deaccessioned on 2 February 2015	1
confirmed breeding	272681
In the Discovery Room from 1999 to present day	1
Specimen in Synoptic Collection (traded for O M N H 00800, O M N H 02639, O M N H 04941, O M H H 10426)	1
(VU)	9
nt	1
Toe pad loaned for DNA extraction to Dr. Samantha Wisely, KSU Conservation Genetic and Molecular Ecology Lab, Kansas State University (ZO.2011.2)	17
Presencia	15
común	496
incomplet	40470
Thinning	4
