continent,reps
,1143909965
"""",15
"""Madagascar,  Ambohimanga du Sud""",1
"""Madagascar, Antsiranana,  Ambondromifehy""",2
"""Madagascar, Antsiranana, Ambanja,  Maromandia, Est du village de Maromandia""",1
"""Madagascar, Antsiranana, Andapa,  Marerano""",2
"""Madagascar, Antsiranana, Antalaha,  Ambodimanga""",1
"""Madagascar, Antsiranana, Antalaha,  Station 2ndaire d'éssais""",1
"""Madagascar, Antsiranana, Antsiranana Rural,  Andohazompona""",1
"""Madagascar, Antsiranana, Antsiranana Rural, Village Betahika""",1
"""Madagascar, Antsiranana, Nosy-Be, Domaine de la Motte St. Pierre aux Sadjoas""",1
"""Madagascar, Antsiranana, Vohémar,  Antanamiketrika""",1
"""Madagascar, Atsimo Andrefana, Morafeno""",1
"""Madagascar, Aux environs Nord d'Amboasary, route de Behara""",1
"""Madagascar, Fianarantsoa, Ambatofinandrahana, 7 Km SW of Ambatofinandrahana ,, on the route to Fenoarivo .""",1
"""Madagascar, Fianarantsoa, Farafangana,  Amporoforo, Canton: Evato""",1
"""Madagascar, Fianarantsoa, Farafangana, Canton: Ihorombe""",1
"""Madagascar, Fianarantsoa, Ifanadiana, Coffee Research Centre at Kianjavato FOFIFA, 25 km east of Ifanadiana""",1
"""Madagascar, Fianarantsoa, Ifanadiana, Coffee Researche Centre at Kianjavato FOFIFA""",2
"""Madagascar, Fianarantsoa, Ihosy, 11km au SE de la RN7, sur la route d'Ihosy à Ivohibe""",1
"""Madagascar, Fianarantsoa, Ihosy, à 11km au SE de la RN7, sur la route d'Ihosy à Ivohibe""",1
"""Madagascar, Fianarantsoa, Manakara,  Ambato-Ivakoana""",1
"""Madagascar, Fianarantsoa, Mananjary""",3
"""Madagascar, Fianarantsoa, Nosy-Varika,  Fanivelona""",1
"""Madagascar, Fianarantsoa, Vohipeno,  Ranomainty""",1
"""Madagascar, Fianarantsoa, Vohipeno,  Village Savana""",1
"""Madagascar, Mahajanga, Ambato-Boéni""",1
"""Madagascar, Mahajanga, Analalava,  Andavaravy""",1
"""Madagascar, Mahajanga, Analalava, Route du terreain d'aviation,""",1
"""Madagascar, Mahajanga, Antsalova,  Forêt de Tsimembo, Nord Ouest Forêt Tsimembo""",1
"""Madagascar, Mahajanga, Maevatanana, Au bord de la rivière Katsongy""",1
"""Madagascar, Mahajanga, Maintirano,  Ampangorina""",1
"""Madagascar, Mahajanga, Maintirano, Entre le village de Betrano et Antanimbaribe""",1
"""Madagascar, Mahajanga, Soalala,  Antanandava""",1
"""Madagascar, Toamasina, 40km NW of Toamasina""",1
"""Madagascar, Toamasina, Ambilalemaintso , W side of canal d' Ampagalana""",1
"""Madagascar, Toamasina, Brickaville""",1
