countryCode,reps
,1063810881
"""""",4
"""AT, Austria covers an area that had Early Paleolithic settlements and an Iron Age culture by 1000 BCE. Illyrians inhabited it, then the Celts invaded ca. 400 BCE, and the Romans invaded ca. 200 BCE. Germanic tribes arrived ca. 180 CE, and Bavarians and Avars settled here from the 6th century. The area was the Eastern Mark of Charlemagne. Hapsburg rule began in 1278 and lasted until 1918, during which time it was part of the large Austro-Hungarian Empire. After World War I Austria was reduced to the German-speaking areas of the former empire. Nazi Germany annexed it in 1938, and from 1945 to 1955 it was occupied by the Allies. Since then it has become a member of the United Nations and, in 1995, of the European Union. The official language is German. Its position at the middle of Europe makes it a center of commerce, transportation, and culture.""",58
"""AU, Isolation of the land has allowed for the evolution of unique flora and fauna; Indigenous Australians are believed to have arrived between 70,000 and 40,000 years ago; Australia was sighted by Portuguese, Spanish, and Dutch in the 17th century; was claimed by Britain in 1771, used as penal colony; free British settlers arrived in the 19th century; official language is English.""",58
"""Area had Neolithic, Bronze, and Iron Age cultures; controlled by Rome late 1st century CE; invaded by Angles, Saxons, and Jutes, who formed kingdoms by the 5th century and from whose Germanic languages English was primarily derived; Vikings invaded in 1016 and the Normans in 1066.""",406
"""Area had scattered human habitation by 35,000 years ago; had important Neolithic settlements by 7000-3500 BCE; most inhabitants now are Serbs, who are South Slavs who were forced across Danube into Moesia by Avars, and settled in Balkan peninsula in 6th century; agriculture is mainstay of economy; capital of the republic is Belgrade.""",2
"""Area inhabited by 20,000 BCE; definable cultures developed 1st millenium BCE; home of Tiahuanaco culture 100-1200 CE; Aymara-speaking kingdoms and Quechua-speaking Incan culture thrived 12-16th centuries; Spanish arrived 1532, conquered the Incas by mid-16th century; official languages are Spanish, Quechua, and AyamarÃ¡.""",4
"""Area inhabited since 200,000 BCE; settled by Phoenicians; was Roman Numidia; conquered by Vandals in 431 and by Arabs in 7th century; under Ottoman rule until 1705, then tribal rule; occupied by French in 1830; nationalist revolt against French rule in 1950s; official language is Arabic, though French is also spoken.""",79
"""Area settled extensively by 2000 BCE; various tribes of Caribs and Arawaks developed cultures in area that linked Andes civilizations and those of Caribbean and the Amazon basin; sighted by Columbus in 1498; settled by the Spanish by 1520; part of Gran Colombia 1823-1830; official language is Spanish, though various Amerindian dialects are also spoken.""",17
"""Area settled in S by nomadic hunters and fishers; in NW Incas penetrated and agriculture developed; Spanish arrived in 16th century, but settlement was slow and mainly originated from other established Spanish colonies in Chile, Peru, and Paraguay; official language is Spanish, though English, French, German, and Italian are widely spoken.""",986
"""Area was inhabited by 3rd millenium BCE; Rome invaded, but never subdued native Picts; invaded by Scots from Ireland in the 6th century CE; Picts and Scots united in 844; invaded by Norsemen beginning in the 8th century; first linked with English monarchy in 12th century; 16th century marked by religious turmoil; Crowns of Scotland and England united in 1603, parliaments in 1707; significant percentage still read or speak Scottish Gaelic language.""",167
"""Area was inhabited by Caucasoid Cushites 1st millennium BCE; Bantu-speakers immigrated ca. 500 CE; coastal area ruled in turn by Arabs, Portuguese, Oman, and historic Zanzibar; Germans and British competed for area 19th century; united with Zanzibar island 1964; official languages are English and Swahili, though many local languages also are spoken.""",2
"""Area was inhabited by many early cultures including Scythians (7th century BCE), Sarmatians, Goths (3rd century CE), Huns, Avars, Khazars, Bulgars, and Slavs; Varangians (Scandinavians) created Russian state in the 9th century; was core of large empire and Soviet Union (1922); official language is Russian.""",70
"""Area was originally inhabited by San Bushmen and Khoikhoi people; Namib desert was barrier to settlement; Portuguese landed in region 1486; wars between native Herreros and Hottentots occurred; annexed by Germany late 19th century; captured in WWI by South Africa; official language is English, though Afrikaans, German, and several indigenous languages are also spoken.""",4
"""BB, Comprises island of the same name; originally inhabited by Arawaks; probably sighted by Portuguese; Spanish arrived in 1518, and by 1536 no Amerindians remained; English settlers arrived 17th century, and brought Africans here as slaves for sugar plantations; official language is English.""",1
"""BE, The modern kingdom of Belgium lies at the crossroads of northeastern Europe, bounded on the northwest by the North Sea, on the north and northeast by The Netherlands, on the east by Germany, on the southeast by Luxembourg, and on the southwest and west by France. The area has historically been held by Celtic Belgae and Germanic tribes, Romans, Frankish-Merovingians, Carolingians, then various feudal states. Many independent cities evolved there in medieval times. Burgundy ruled it in the 14th century, then the Hapsburgs from 1482. Since 1831 it has been a representative, and constitutional monarchy. Densely populated and heavily urbanized, it has a rich mix of cultures. The official languages are Dutch (or Flemish), mainly spoken in the north, French, mainly spoken in the south, and German.""",1
"""BR, Large nation comprising the Amazon basin in the north and the Brazilian plateau in south. The area was inhabited by TupÃ­-GuaranÃ­ peoples, who were semi-nomadic and lived in scattered settlements, when it was charted by the Portuguese ca. 1500. European colonization began in 1530. The official language is Portuguese.""",185
"""BS, Comprises most islands in Bahamas chain; originally inhabited by Lucayans (Arawaks), driven from South America by the Caribs; Columbus landed in 1492; visited by slave raiders and pirates; English colonized in 17th century, and brought Africans here as slaves; official language is English.""",3
"""CA, Inhabited by ancestors of Amerindians and Inuit in Upper Palaeolithic or earlier; evolved diverse cultures over vast area; Norse settlements by 1000 CE; English, French, Spanish, and Portuguese claimed territory from the 16th century; under British control from 1759; official languages are English and French.""",354
"""CH, Area settled in pre-Christian period; had Roman encampments 1st century; Germanic tribes invaded 3rd-6th century; ruled by Franks 9th century, Holy Roman Empire from 11th century; first confederation of cantons was established 13th century, others joined 14th-19th century; official languages are German, French and Italian, though Romansch (Rhaeto-Roman) is also a national language.""",162
"""CK, Widely scattered islands in Pacific, 2000 miles NE of New Zealand; settled by Polynesians 150 BCE-1000 CE; charted by Spanish 1595; visited by British Captain Cook, for whom they are named, 1773; gained self-government in association with New Zealand 1965; official language is English, though local Polynesian languages are also widely spoken.""",2938
"""CL, Pre-Spanish inhabitants were nomadic tribes including Diaguita, Picunche, Pehunche, Huilliche and Cunco, dominated by the Araucanians; Spanish penetration began in 1536, but attempt to conquer Araucano continued through 19th century; Basques arrived 18th century; official language is Spanish.""",449
"""CN, Modern single-party peopleâ€™s republic with one legislative house. It is the largest of all Asian countries and has the largest population of any country in the world. Occupying nearly the entire East Asian landmass, it occupies approximately one-fourteenth of the land area of Earth. Official language is Mandarin Chinese, though standard Chinese, Yue, Wu, Minbei, Minnan, Xiang, Gan, Hakka and minority languages are also spoken; Pinyin is official romanized form of writing.""",38
"""CO, Area was inhabited mainly by Chibchan-speaking peoples at time of Spanish invasion 1525-1559; they were concentrated in W mountainous regions and had no strong political institutions; part of Gran Colombia with Venezuela, Ecuador, and Panama 1819-1903; official language is Spanish.""",35
