geodeticDatum,reps
,467096193
!196,2
"""""Zaire""""",1
"""International spheroid""",13
#D50,1
',1
(+/- 30 Meters),1
(+/- 30 meters),1
(Atlas Fl. Eur.): MH2,1
(GPS),2
"(GPS, WGS 84)",3
(NAD 27),14
(NAD 83),17
(NAD 84),1
(NAD27 CONUS),2
(NAD27),2
(NAD27) North American 1927,10
(NAD83),1
(NAD84),6
(WGS 84),1
(WGS84),7
(WGS84) World Geod,4
(WGS84) World Geodetic System 1984,148481
(WSG 84),2
-0.32883,1
-0.444,4
-0.48205,1
-0.53115,1
-0.6057695,22
-0.996812218,1
-0.9992,4
-1.37898723,2
-1.5971,4
-1.7022,1
-10.06333,1
-10.0925,1
-10.10892,7
-10.12839,3
-10.46667,1
-10.605,1
-10.8078333333333,1
-107.3434,2
-11.025705,1
-11.04347,10
-11.0585,2
-11.104888,1
-11.126863,1
-11.126925,1
-11.126935,1
-11.126938,1
-11.127013,1
-11.21667,1
-11.39867,1
-11.40211,1
-11.402123,1
-11.402248,1
-11.402335,1
-11.40238,1
-11.402538,1
-11.403533,1
-11.403778,1
-11.403938,1
-11.405088,1
-11.405235,1
-11.405293,1
-11.405632,1
-11.405967,1
-11.406167,1
-11.41667,2
-11.55,1
-11.59299,11
-11.8,2
-11.83667,1
-11.85,2
-12.06325,1
-12.3525,1
-12.36267,1
-12.722,2
-12.7667,1
-12.77167,1
-12.77216834,1
-12.9916666666667,1
-13.005,1
-13.01,1
-13.07916667,1
-13.11667,1
-13.16425,3
-13.25,1
-13.25433,1
-13.25789,3
-13.25986,2
-13.274583,1
-13.274978,1
-13.275472,1
-13.276283,1
-13.27647,1
-13.276503,1
-13.276505,1
-13.3167,2
-13.357461,1
-13.3833,1
-13.4,3
-13.405408,1
-13.4333,1
-13.487613,1
-13.5105,3
-13.55,1
-13.831667,1
-13.83333,3
-13.9538496,1
-13.9539501,1
-13.9540645,1
-13.954577,1
-13.9551841,2
-13.9552798,2
-13.955384311,1
-13.9554883,1
-13.961389,2
-14.40812,3
-14.4667,1
-15.0333,1
-15.17941,5
-15.45461,2
-15.45658,12
-15.52825,1
-15.5472,1
-15.61503,1
-15.67585,3
-15.67607,1
-15.67625,1
-15.6833333333333,1
-15.78505,1
-15.7859,1
-15.786,1
-15.78635,1
-15.78685,1
-15.7877,1
-15.78773,1
-15.78788,1
-15.7879,1
-15.78795,1
-15.78805,1
-15.78842,1
-15.78848,1
-15.78853,1
-15.78882,1
-15.79362,1
-15.79762,1
-15.79788,1
-15.79792,1
-15.798,1
-15.79832,2
-15.79835,1
-15.79838,1
-15.79847,1
-15.79887,1
-15.79902,1
-15.79907,1
-15.7991,2
-15.80072,1
-15.80098,1
-15.80112,1
-15.8039,1
-15.84,13
-15.86623,1
-15.8667,1
-15.9167,1
-15.95699,9
-15.98333,1
-16.03333,1
-16.07178,1
-16.07202,1
-16.07447,1
-16.07457,1
-16.07512,1
-16.07518,1
-16.0752,1
-16.07523,1
-16.07528,1
-16.07532,1
-16.07537,1
-16.07547,1
-16.0755,1
-16.07552,1
-16.07553,1
-16.07555,2
-16.07557,1
-16.0756,1
-16.07572,1
-16.0759,1
-16.07597,1
-16.07678,1
-16.0973,1
-16.0974,1
-16.09748,1
-16.10305,1
-16.11592,1
-16.16667,1
-16.20825,3
-16.25865,1
-16.26035,4
-16.33333,5
-16.35208,9
-16.4231672,1
-16.46437225,1
-16.46511,3
-16.4661493,1
-16.47326,3
-16.48666,2
-16.49239,5
-16.573,8
-16.69215,1
-16.74,1
-16.79216,1
-16.91549,1
-16.93717,1
-17.03563,9
-17.04372,2
-17.1459,1
-17.17,1
-17.22805,6
-17.25,1
-17.32964,2
-17.33337,2
-17.35705,3
-17.38758,5
-17.4096,6
-17.446666,1
-17.56754,4
-17.57592,8
-17.57926,3
-17.58908,5
-17.81781,3
-17.82281,6
-17.86996,1
-18.05,1
-18.112602,1
-18.1139,1
-18.114312,1
-18.114748,1
-18.114888,1
-18.114922,1
-18.11502,1
-18.115055,2
-18.11536,1
-18.115413,1
-18.11565,1
-18.11642,1
-18.116467,1
-18.116572,1
-18.1167,1
-18.116732,1
-18.116743,1
-18.116875,1
-18.116975,1
-18.117068,1
-18.117118,1
-18.117382,1
-18.11805,1
-18.118118,1
-18.118378,1
-18.118713,1
-18.12944,5
-18.147132,1
-18.16667,4
-18.25,1
-18.39333,1
-18.71546,6
-18.72198,6
-18.97234,1
-19.01541,10
-19.58777,1
-19.606333,1
-19.9,1
-19.96829,2
-2.065133697,1
-2.067313839,1
-2.2502,4
-2.299,2
-2.3531497,1
-2.635,2
-2.8428,2
-2.886725,4
-2.9372,4
-20.4753,8
-20.65,1
-21.37513889,1
-21.38238889,1
-21.38333333,1
-21.48069,2
-21.77769,1
-21.99979,2
-22.23156,4
-22.24923,4
-22.38703,8
-22.46667,1
-22.5222,2
-22.52252,5
-22.67033,1
-22.67067,2
-22.9858,4
-23.04978,2
-23.06666667,1
-23.43836,5
-23.48722222,1
-23.5333,1
-24.22083,2
-24.30008,2
-24.6333,1
-24.78212,2
-24.78333333,1
-24.8667,1
-24.91005,4
-24.9101,3
-25.0875,1
-25.09407,2
-25.10246,2
-25.11241,5
-25.1397,1
-25.17,1
-25.2155,15
-25.25087,2
-25.2825,1
-25.2958,1
-25.29767,1
-25.29823,1
-25.31809,3
-25.37817,2
-25.38333,6
-25.38833,1
-25.3883333333333,1
-25.3958,1
-25.40792,2
-25.43333,1
-25.44704,2
-25.46667,6
-25.55983,2
-25.5903,1
-25.66667,2
-25.6667,2
-25.67974,23
-25.83867,2
-25.85333,1
-25.92167,1
-26.0529,4
-26.10971,3
-26.17403,4
-26.19917,2
-26.24514,1
-26.24858,2
-26.35117,1
-26.3702,4
-26.511,2
-26.5125,1
-26.58667,2
-26.6,8
-26.635,5
-26.645,1
-26.68583,1
-26.74967,1
-26.76217,2
-26.84585,1
-26.86,1
-26.90167,1
-27.01167,1
-27.06333,1
-27.18,1
-27.23333,1
-27.2875,1
-27.36264,1
-27.3833,3
-27.40089,1
-27.40895,6
-27.42531,1
-27.44688,2
-27.50667,1
-27.51311,5
-27.58513,1
-27.66583,1
-27.74667,2
-27.76645,17
-27.83333,1
-27.83809,61
-27.83833,4
-27.85253,3
-27.86667,4
-27.875,3
-27.88405,4
-27.8894,16
-27.92333,1
-27.92411,1
-27.93345,1
-27.94917,2
-27.96788,2
-270.833.333,3
-28.05,1
-28.0569,1
-28.0792,1
-28.0958,2
-28.1903,1
-28.22833,1
-28.275,1
-28.2868,1
-28.37317,4
-28.44167,1
-28.51301,1
-28.5167,1
-28.55,1
-28.55697,1
-28.644,2
-28.655583,1
-28.65962,1
-28.77417,2
-28.84248,1
-28.84521,3
-28.98811,1
-29.08333,1
-29.1,6
-29.13317,3
-29.16667,1
-29.19,1
-29.26,1
-29.26333,1
-29.26724,2
-29.26774,3
-29.27631,3
-29.41667,1
-29.93167,1
-3.0255,4
-3.1192,1
-3.143291667,1
-3.14703398,1
-3.1533616667,1
-3.66812,1
-3.7536,4
-3.980739,2
-3.9843,4
-30.00169,1
-30.18333,1
-30.3167,1
-30.4417,1
-30.485,3
-30.53833,4
-30.54833,4
-30.6583,1
-30.66613,6
-30.86667,2
-30.9861,1
-31.04156,6
-31.05985,7
-31.07667,2
-31.08006,11
-31.08009,3
-31.08013,10
-31.08528,2
-31.0958,1
-31.18967,2
-31.375,1
-31.62648,1
-31.75,2
-31.77113,10
-31.79167,1
-31.88333,1
-32.2333,2
-32.23333333,1
-32.30732,1
-32.34326,1
-32.34582,3
-32.39922,24
-32.43333,1
-32.47011,4
-32.61167,1
-32.71052,5
-32.77333,4
-32.81668,1
-32.84918,1
-32.86667,4
-33.00861,7
-33.18333,2
-33.30448,30
-33.3833,1
-33.53265,1
-33.74055,1
-33.7583,1
-33.7811,1
-34.00404,1
-34.09315,1
-34.17,3
-34.395,3
-34.43791,1
-34.90688,2
-34.97258,7
-35.0180556,3
-35.8594444,1
-36.93333,5
"-37,056692",1
-37.28333,1
-37.3227,4
-37.51667,1
-37.83934,1
-38.8963889,1
-38.90483,3
-4.003514,2
-4.09889,1
-4.48333,1
-4.71667,2
-4.75,3
-4.7963,1
-4.8007,1
-4.8025,1
-4.81467,1
-4.8713,1
-4.8823,1
-4.8888,1
-4.9262,1
-40.1997222,1
-41.04797,1
