georeferenceVerificationStatus,reps
,1381502216
""" Neil Landman verified that these specimens are included in WIS collection.Georeferenced based on formation information from Geological Survey Professional Paper 1232, Imlay, 1982. Jurassic Ammonites from the Western Interior Region of the United States. """,9
"""3/15/17 verified by Landman that the TRS is incorrect and this loc is near Christ Episcopal Church, Red Shirt Table and it is georeferenced with the information he provided, TRS corrected to T42N""",2
"""Bushra found paper in which locality is described. GSPP 274-C; BASAL EAGLE FORD FAUNA (CENOMANIAN) in JOHNSON AND TARRANT COUNTY,STEPHENSON.""",1
"""Georeferenced based on Cobban, 1969. Geological Survey Paper 619. The Late Cretaceous Ammonites Scaphites leei Reeside and Scaphites hippocrepis (DeKay) in the Western Interior of the United States. """,9
"""Houndrock is not coming up in Williamson CO, TX could the locality be Round rock, Texas? 12/5/17""",1
"""Locality Information comes from Landman and Waage, 1993. Scaphitid ammonites of the Upper Cretaceous (Maastrichtian) Fox Hills Formation in South Dakota and Wyoming. verified by Neil Landman on 1/30/18. """,56
"""Locality was in New Mexico, error in transcribing. """,1
"""Resolved using publication. I.PAL.1942, V.16, P205. """,1
"""TRS information entered from Landman 1987, AMNH Bulletin 185. Locality 3163 is equivalent to Yale Peabody Locality B175, B176. 1/26/18. Verified with Neil Landman. """,28
"""TRS information is from Cobban, 1969. Geological Survey Paper 619. The Late Cretaceous Ammonites Scaphites leei Reeside and Scaphites hippocrepis (DeKay) in the Western Interior of the United States. """,23
"""TRS information is from Cobban, 1977. Geological survey professional paper 1009. Characteristic marine molluscan fossils from the Dakota sandstone and intertongued Mancos Shale, West Central NM. """,1
+-5000 m accuracy,1
- high conferenced,1
02/05/2020,1
12/04/17 Neil Landman suggested to georeference as whole county.,1
1509,4
2,29
2/5/2020,1
2018-04-03,1
3,475
4,1085
5,245
800 ft.,1
9000 feet,1
975,1
Added decimal lat/long,1
Added decimal lat/long from binder,2
Added decimal lat/long from binder.,4
Added detailed locality info from binder.,3
Akpan Gloria,3
Azeez Kazeem,1
Benedict Monday,1
Bushra and Neil Landman resolved. 10/3/2017,6
Cerified by Curator,2
