nomenclaturalCode,reps
,1325226769
"""""ICBN""",10
0,95
1,2
1774,1
1969,1
APG III,11860
Avibase,1
Bioweb:Fauna web:mamíferos del Ecuador,196
BirdLife Internacional,24
Catalogue of life: ITIS,778
Catalogue of life:ITIS,1670
Critically Endangered (CR),19
Cronquist,53
Cronquist81; APG III,2020
Código Internacional de Nomenclatura Zoológica,8033
Código nomenclatural,11
Endangered (EN),281
ICBN,17977523
"ICBN, ICNB",1
"ICBN, ICZN",2
"ICBN, unknown",4
ICBN/ICSP,2813
ICN,10654938
ICNB,70522
ICNZ,3634
ICNafp,5132724
ICZN,44248074
IUCN:Red list,1
"International Code of Nomenclature for algae, fungi, and plants",1176179
"International Code of Nomenclature for algae, fungi, and plants ",12990
Least Concern (LC),4506
Linnaeus 1767,1
MSB Fish database,2
"Mammals of the Neotropics, Volume 3: Ecuador, Bolivia, Brazil",1
NA,733
Near Threatened (NT),1812
Near threatened (NR),201
Neotropical Birds,45
Not Listed,4
TAXREF,6079
The International Code of Zoological Nomenclature (ICZN),5181
Vulnerable (VU),1623
Vulnerable (Vu),146
garbage,5
iCZN,1
noncompliant,12729
undefinable,76
unknown,13918
"unknown, ICBN",5
"unknown, ICZN",1
x,237
