reproductiveCondition,reps
,1400471036
"""...2 eggs...""",1
"""...4 eggs taken""",1
"""...commenced nesting""",1
"""1 egg ½ in diam. & 1 about ¼ in.""",1
"""2 eggs # 50""",1
"""2 eggs taken""",1
"""2 eggs""",1
"""3 eggs taken""",1
"""4 eggs taken""",1
"""6 eggs & nest also taken""",1
"""Contained eggs nearly ready to lay""",1
"""Cream-tan as fresh; Gonad removed 20 apr. 1963 leg. S. A. Hessel""",1
"""Deux gros testicules : gauche 8 x 4,5 ; droit 7,9 x 4.""",1
"""Eggs (3) taken""",1
"""Eggs also taken""",4
"""Eggs just developing""",2
"""Eggs large, nearly ready to be laid""",1
"""Eggs over 1 inch in diam.""",1
"""Eggs taken also""",1
"""Eggs well developed""",1
"""Eggs ¾ in. diameter""",2
"""Gestante, parto en la bolsa""",1
"""Incubating (2 eggs)""",1
"""Incubating""",1
"""Male, ovaries not found."" If ovaries not seen, should not presume male.",1
"""Nest taken also""",1
"""No green even when fresh""",1
"""One fresh egg taken from bird which was shot on e",1
"""One perfect egg taken from body""",1
"""Ovaries developed to .40""",1
"""Ovaries developing""",1
"""Ovaries excited",1
"""Ovaries just show signs of developing""",1
"""Ovaries not developed""",1
"""Ovaries showed that no more eggs would have been",1
"""Ovaries small"" (W.B.)",1
"""Ovaries undeveloped""",3
"""Parent of Eggs No. 3.""",2
"""Perfect egg taken from oviduct""",1
"""Shot on nest & 1 egg; Examination shows that no m",1
"""Testes 1 in. X ½ in.""",1
"""Testes 1 in. long""",1
"""Testes developed""",1
"""Testes developing",1
"""Testes developing""",2
"""Testes fully developed""",1
"""Testes large""",2
"""Testes very large""",3
"""Testes with oval shape drawn""",1
"""Testicule droit : 5 x 4 mm ; gauche : 6 x 4 mm""",1
"""Testicule gauche : 2 x 1,2 mm, droit ; 1,9 x 1 mm.""",1
"""The ovaries were developed to size of pea""",1
"""With eggs [illeg] Paddys' cabbage"" (C.J.M.)",1
"""alba"" genetics; Brood 0-7-6; See Ae, S.A., 1957",1
"""big ones""",1
"""emerg. 6/21/71""",1
"""ex pupa 28 Dec. 1957, reared S.A.Ae""",1
"""ex pupa 29 Dec. 1957, reared S.A.Ae""",1
"""ex pupa Jan. 1958, reared S.A.Ae""",1
"""ex pupa March 1950, R.W. Pease Jr.""",1
"""home bred""",4
"""home-bred""",4
"""n.b.""",1
"""sínf púb abierta, pezon no alopéc""",1
"""sínf púb abierta, pezon no evidente""",1
"""sínf púb abierta, vag túrgida, pezon no alopéc""",1
"""t s e""",1
"""t.e.""",2
"""t.n.e.""",5
"""vag inactiva, pezon no evidente""",1
"""vag inactiva, sínf púb abierta, pezon no alopéc""",1
"""vag inactiva, sínf púb abierts, pezon evidente alopéc, no leche""",1
"""vag inactiva, sínf púb cerrada""",3
"""vag inactiva, sínf púb cerrada, pezon no evidente""",1
"""vag inactiva, sínf púb interm""",1
"""vag túrgida, pezon evidente, alopéc""",1
"""vag túrgida, pezon no alopéc""",1
"""vag túrgida, sinfisis pubica cerrada, pezon evidente y alopecico""",1
"""vag túrgida, sínf cerrada""",1
"""vag túrgida, sínf púb abierta""",3
"""vag túrgida, sínf púb abierta, pezon evidente alopéc""",1
"""vag túrgida, sínf púb interm, pezon no evidente""",1
#1,1
"#11 Project Atala '80, reared ex ovo on Zamia pumila",1
#29 ecl. 16 June 1969,1
"#40, 1984 study, oviposited",1
#62,2
,1
  5.10',1
4 eggs in ovary',1
"Eggs', 24 x 10, and 14 x 10.",1
No ovary but vien/oviduct there.' A.R. Phillips.,1
Not in breeding condition',2
OS',1
OSLE',1
Saw what looked to be testes .5 x .5mm',1
"Testes 2 x 1, black'",1
"Testes 2 x 1, black.'",1
Testes 4 mm',1
"Testes 4 x 3, black'",1
Testes ?',1
good',1
o.s.',2
sexual organs large',1
testes 1.5 mm diam.',1
(#1 gonad),1
(#2 gonad),1
(1 hemipene everted),1
(1.5x1),2
(10 X 5),2
(10 X 6),4
(11 X 5),2
(11 X 6),2
(11 X 7),1
(11 X 8),1
(11x7),1
(12 X 7),2
(12x7),1
(13 X 7),1
(13x6),1
(14 X 7),1
(14 X 8),1
(14 x 10),1
(15 X 8),1
(15 x 12),1
(16 X 8),1
(1x1),2
(2 X 1),5
(2 x 1),1
(2.5 X 1.5),1
(2.5 x 1.5),1
(2.5x1.5),1
(20x9),1
(21x9=2.46),1
(26 X 14),1
(2x1),2
