sampleSizeUnit,reps
,1365829055
-,25
10,195
11 monolith's  25 ? 25 ? 35 cm,3
13,1494
16 monolith's  25 ? 25 ? 35 cm,31
250 000,292
30 cm,1
Abundance index (millions),63
Adjusted CPUE (mean log10),63
Adult individuals,63
Adults,126
Annual index of population change,4851
Average individuals per 100m,630
"Biomass (age 1+, millions of tons)",63
Biomass (metric tons),63
Biomass (mt),630
Biomass (tonnes),63
Biomass (tx10^3),63
Biomass estimate (metric tons),252
Biomass estimate (thousand ton),63
Biomass in tonnes,63
Biomass index ('000 tons),63
Biomass index (000 t),63
Biomass index (tonnes x 1000),63
Biomass index(000 t),63
Bird nests (per km2),1449
Breeding density (number of occupied sites per kilometer of coastline),252
Breeding pairs,1764
CPUE,63
Capture/100 trap-nights,126
Caribou seen per 100 minutes,126
Catch per unit effort (catches of individuals per one hour haul),252
Catch per unit effort transformed to log e  (CPUE)+1,441
Comparative biomass estimates (mt),189
Count,63
Cámara trampa,10786
Cámaras,14
DNA sequence reads,18064698
Density (birds/km2),126
Density (pairs/100km squares),63
Density (total otters per kilometer squared),126
Estimated abundance,189
Estimated biomass (t),693
Estimated total population,126
Female density (number/km2),126
Frequency of group sightings,63
Frequency of group sightings per year,63
Frequency of groups sighted,126
Frequency of sightings of group per year,63
Hare numbers,63
Hectarea,9788
Hectareas,655
Hectárea,16501
Hora,772
Hora/persona,76
Horas,747
Horas/persona,106
Hour:Minute:Second,51347
Index,504
Index of fishable biomass >40cm,63
Index of territories/Km2,63
Individual birds,1575
Individuals,4095
Individuals (adults),126
Individuals (estimated),63
Individuals / 100m²,63
Individuals caught per 100 trap days,126
Individuals caught per 100 trap nights (2),63
Individuals ha^-1,63
Individuals per 100 trap nights,126
Individuals per 100m²,126
Individuals per metre squared,126
Individuals x 10^3,63
Indvs per 100-trap nights,126
Inidividuals,63
Kg,665
Kilómetros,769
Km,44
Lemming abundance rank,63
Log individuals per 100 trap nights,126
Log number of nestlings,126
Log10 trapping index,252
Mature bulls and cows,63
Maximum observed during spring/autumn,1008
Mean annual number (per observation day),63
Mean no. of Tracks per 100m transect,567
Mean number of nests,63
Metres,2077
Millions of fish,63
Minute,55226
Minutes,11315
NA,1828576
Nest index,882
No of Polar bear dens/100km,63
No of nests,63
No. breeding pairs,63
No. nests,252
No. of Dens,63
No. of breeding pairs,252
No. of nests,189
No. of otters/km of coastline,63
Number,189
Number caught per 100 trap nights,126
Number caught per 100 trap-night,63
Number caught per 100 trap-nights,315
Number of (breeding) pairs,126
Number of Individuals,126
Number of Lemming winter nests/km2,63
Number of Pairs,63
Number of active lodges,189
Number of adult fish,63
Number of adult individuals,63
Number of adults,63
Number of bears,63
Number of birds,63
Number of bison,63
Number of breeding birds,189
Number of breeding pairs,2079
Number of burrows,126
Number of dens,126
Number of fish per 100 m2 net,126
Number of fox dens,63
Number of gannet nest sites,189
Number of hatching couples,189
Number of hatching couples in the surveillance area,126
Number of individuals,12807
Number of individuals per 1000 trap nights,63
Number of individuals/10 sq. km,63
Number of litters,63
Number of males,63
Number of nests,1449
Number of non-pups,63
Number of observed birds,63
Number of occupied dens found,63
Number of offspring per territory,63
Number of pairs,378
Number of pairs/10 sq. km,63
Number of pairs/sq. km,315
Number of salmon (thousands),63
Number of territorial pairs,63
Number of territories per km2,441
Number of tracks per 10 km of route,189
Number of wintering eagles,63
Number of wintering individuals,441
Number per 100 trapnights,252
Numbers of fish,63
Numbers wintering,63
Numero de individuos,1300
Numver of pairs/sq. km,63
Número de videos,74
Observed number of successful pairs,126
Occupied burrows-% change from 1st count.,189
Pairs of birds,63
Percentage change in relation to mean for all years,63
Population,63
Population estimate,504
Population estimate (thousand tonnes),63
Population in % of mean,63
Population in % of the mean,63
Population index (Individuals per km2),126
Population size,378
Relative SSB (1=average 1995-2005),63
SSB  (tonnes),126
SSB  tonnes,63
SSB (Thousand tonnes),63
SSB (Thousands of fish),63
SSB (Tonnes),126
SSB (tonnes),189
SSB / tonnes,63
SSB/Tonnes,126
Seals per 100km��,63
Segundos de grabación,4326
Spawning stcok biomass / thousand tonnes,63
Spawning stcok biomass/million eggs,63
Spawning stcok biomass/thousand tonnes,63
Spawning stock biomass (Thousand  tonnes),63
Spawning stock biomass (Thousand Tonnes),126
Spawning stock biomass (Thousand tonnes),189
Spawning stock biomass (Tonnes),63
Spawning stock biomass (thousand tonnes),63
Spawning stock biomass (tonnes),441
Spawning stock biomass / thousand tonnes/millions,63
Spawning stock biomass/million eggs,126
Spawning stock biomass/million tonnes,63
Spawning stock biomass/millions of eggs,63
Spawning stock biomass/millions of fish,63
Spawning stock biomass/tonnes,63
Spawning stock biomass/tonnes of females,126
Square meter,151108
Station building,1374
Stock size (individuals),63
Survey biomass estimate (tonnes),63
Thousands of fish,504
Tonnes (x10^3),63
Total,59
Total annual eggs spawned,63
Total biomass (ages 3+),63
Total biomass age 2+,63
Total count survey,126
Total count surveys,126
Total paired females,63
Tracks per 100m transect,315
Tracks per 100m transect per 24 recordings,189
Tracks per 10km,441
Tracks per km,1449
Trampa,74
Trampas,14
Trap,3419
Unknown,378
acres,43130
animals seen/km2,63
biomass (tons),504
biomass estimates (t),126
biomass in metric tonnes,567
biomass in metric tonnes (age 1+),63
camera-trap days,108186
cell/mL,2394
centimetre,237
