taxonRank,reps
,965460440
"""",1
#N/A,1
'Fernleaf',2
( L. ) Roem. & Schult.,1
"(Bergroth, 1905)",1
"(Burmeister, 1835)",3
"(Costa Lima, 1940)",8
"(Costa Lima, 1941)",4
(DC.) H. Hara,1
"(Erichson, 1848)",4
"(Fabricius, 1781)",3
"(Fabricius, 1787)",1
"(Fabricius, 1794)",1
"(Fabricius, 1798)",2
"(Hicks, 1861)",1
"(Kirkaldy, 1909)",1
(Klotzsch) Liebm.,1
(L.) A. Gray,2
"(Latreille, 1811)",23
"(Lepeletier & Serville, 1825)",4
(Lindl.) Traub,1
"(Mayr, 1865)",2
(Miers) F.A. Barkley,1
"(Pinto, 1926)",3
(Poir.) Kunth.,1
(Retz.) Alston,1
"(Stål, 1854)",1
"(Stål, 1859)",6
"(Stål, 1860)",5
"(Stål, 1862)",4
(Walp.) Baker f.,1
(var.) β.,1
") Hochst.""",2
*,5
*var.,1
",",1
", Species",12
-,46
-9.5646836200,1
...,1
0,17479
0.78,2
1,646
10,7
100%,1
11,2
12,2
13,1
1303,1
14,2
15,2
16,1
18,1
19.5,1
1960,1
1965,1
1968,1
1970,2
2,234
2014,1
3,107
30,1
4,66
5,29
5000,1
6,26
7,16
8,10
9,4
?,57
A,33
ACANTHACEAE,1
Aberration,321
Acari,3
Aceptado,448
Actinomycetes,394
Aggregate,11
Albatross III/31-A/n/k,1
Albatross IV-USSR 9112/ 67-3/n/k,1
Albatross IV-USSR 9112/67-3/n/k,5
Albatross IV/61-1/n/k,1
Albatross IV/64-13/20,1
Albatross IV/65/1,1
Albatross IV/67-20/011,2
Albatross IV/67-20/11-2,2
Albatross IV/67-20/8-2,2
Albatross IV/71-2/n/k,1
Albatross IV/74-11/0013,1
Albatross IV/74-11/008,1
Albatross IV/74-11/17,1
Albatross IV/C67-20/63-3,2
Albatross IV/C67-20/7-5,2
Albatross IV/C67-20/n/k,1
Albatross IV/n/k/10-1,1
Albatross IV/n/k/12-2,1
Albatross IV/n/k/65-7,1
