type,reps
,1175963804
"""",3
"""Evento; Sonido""",186
"""Evento;Sonido""",45
"""Sonido;Evento""",25
#N/A,4
2019-05-06,47
Acrostichus medius,1
Allotype,36
Animalia,1935
Avistamiento,3889
Avistamiento/Vocalización,151
Bird,7
Catch,2007
Colection,467
Collection,9819206
Colletion,10246
Dataset,1490170
Deploy,47
Dolphin,235
España,2
Especimen preservado,126
Event,61305992
Evento,662426
Evento; Sonido,50
Germplasm,1893
Grabación (track 40),1
Grabación (track 43),1
"Grabación (track 45, 48,49,51)",1
Grabación (track 46),1
Grabación (track 52),1
Grabación (track 54),1
Hard,1908
Herbarium Specimen,1
Holotipo,1
Holotype,68
Holotypus,82
HumanObservation,382976
Image,90048
Imagen,12324
Imagen Estática,160
Imagen en movimiento,480
Imagen estatica,1002
Imagen estática,16625
Imagen movimiento,1
Imagén estática,816
Imajen fija,16
Imágen,151
InteractiveResource,37
Isoparatypus,3
Isotype,4
Isotypus,14
Lectotype(s),2
Literature,1686
LivingSpecimen,1478
Locus Typicus,2
Locus typicus,4
MachineObservation,22
Mixed,118
MovingImage,52508
NA,4
NBDB,57218
Neotype,1
Neotypus,1
Objecto físico,7621
Objeto Fisico,98
Objeto Físico,704
Objeto fisico,2437
Objeto físico,10385471
Objeto f’sico,144
Observation record,831
Occurrence,74659038
Ocurrence,143
Other,252
Other material,88
Paratipo,2
Paratype,1271
Paratype(s),44
Paratypus,6
Photograph,14
Photography,33
PhyscalObject,4
Physical Object,2755178
Physical object,680942
PhysicalObjec,30
"PhysicalObjec""",11
"PhysicalObjec"",",1409
"PhysicalObjec"",,",137079
PhysicalObject,52991418
Physicalobject,2
Pinned specimen,9380
PreservedSpecimen,103783
S,3772
Sample,407
Sintipo,2
Sintypus,2
Soft,98
Sonido,36947
SonidoObjeto físico,1
Sound,168043
Specimen,13
Still Image,344
StillImage,51580
Syntype,1
Syntype(s),3
TYPE,1050
TYPES (2),1
Text,3923692
Topotype,1
Track,47
Trawl survey,1
Turtle,8
Type,1
Typus,1
Unknown,1778
Vocalización,211
Whale,74
YES,8
bacterial strain culture,504
collection,28804
dataset,5414
dataset:txt,25056
es,202
event,1323476
evento,1639
http://purl.org/dc/dcmitype/PhysicalObject,1370079
http://purl.org/dc/dcmitype/StillImage,2556
hwp:bifa-fasps:plwn:09-2018:tr01:p2,4
image,119024
literature,19
objeto físico,8038
occurrance,1287
occurrence,5979
on slide,2
other,8
phusical object,98
physical object,2530
physicalObject,274600
preserved in formaldehyde,339
sample,19890
sound,2195
specimen,22
station,85
stillImage,3
subsample,4890
text,5573396
壓克力板(實驗用),110
