v_earliestEonOrLowestEonothem,reps
Phanerozoic+AD3:AOAD3:AO35,1
Phanerozoic+AD3:AOAD3:AO188,1
Las coordenadas originales obtenidas con GPS fueron redondeadas,1
Phanerozoic+AD3:AOAD3:AO201,1
Phanerozoic+AD3:AOAD3:AO72,1
Phanerozoic+AD3:AOAD3:AO23,1
Phanerozoic+AD3:AOAD3:AO37,1
Phanerozoic+AD3:AOAD3:AO140,1
Phanerozoic+AD3:AOAD3:AO117,1
Phanerozoic+AD3:AOAD3:AO8,1
Phanerozoic+AD3:AOAD3:AO180,1
Phanerozoic+AD3:AOAD3:AO147,1
Phanerozoic+AD3:AOAD3:AO30,1
Phanerozoic+AD3:AOAD3:AO187,1
Phanerozoic+AD3:AOAD3:AO89,1
Phanerozoic+AD3:AOAD3:AO128,1
Phanerozoic+AD3:AOAD3:AO150,1
Phanerozoic+AD3:AOAD3:AO20,1
Phanerozoic+AD3:AOAD3:AO109,1
Phanerozoic+AD3:AOAD3:AO68,1
Phanerozoic+AD3:AOAD3:AO134,1
Phanerozoic+AD3:AOAD3:AO49,1
Phanerozoic+AD3:AOAD3:AO86,1
Phanerozoic+AD3:AOAD3:AO138,1
Phanerozoic+AD3:AOAD3:AO47,1
Phanerozoic+AD3:AOAD3:AO159,1
Phanerozoic+AD3:AOAD3:AO149,1
Phanerozoic+AD3:AOAD3:AO87,1
Phanerozoic+AD3:AOAD3:AO39,1
Phanerozoic+AD3:AOAD3:AO121,1
Phanerozoic+AD3:AOAD3:AO214,1
Phanerozoic+AD3:AOAD3:AO126,1
Phanerozoic+AD3:AOAD3:AO184,1
Phanerozoic+AD3:AOAD3:AO69,1
Phanerozoic+AD3:AOAD3:AO105,1
Phanerozoic+AD3:AOAD3:AO145,1
Phanerozoic+AD3:AOAD3:AO66,1
Phanerozoic+AD3:AOAD3:AO221,1
Phanerozoic+AD3:AOAD3:AO59,1
Phanerozoic+AD3:AOAD3:AO98,1
Phanerozoic+AD3:AOAD3:AO107,1
Phanerozoic+AD3:AOAD3:AO195,1
Phanerozoic+AD3:AOAD3:AO133,1
Phanerozoic+AD3:AOAD3:AO74,1
Phanerozoic+AD3:AOAD3:AO148,1
Miocene,1
Phanerozoic+AD3:AOAD3:AO6,1
Phanerozoic+AD3:AOAD3:AO192,1
Phanerozoic+AD3:AOAD3:AO136,1
Phanerozoic+AD3:AOAD3:AO91,1
Phanerozoic+AD3:AOAD3:AO73,1
Phanerozoic+AD3:AOAD3:AO112,1
Phanerozoic+AD3:AOAD3:AO122,1
Phanerozoic+AD3:AOAD3:AO220,1
Phanerozoic+AD3:AOAD3:AO95,1
Phanerozoic+AD3:AOAD3:AO50,1
Mesozoic?,1
Phanerozoic+AD3:AOAD3:AO104,1
Phanerozoic+AD3:AOAD3:AO40,1
Phanerozoic+AD3:AOAD3:AO53,1
Phanerozoic+AD3:AOAD3:AO7,1
Phanerozoic+AD3:AOAD3:AO43,1
Phanerozoic+AD3:AOAD3:AO34,1
Phanerozoic+AD3:AOAD3:AO62,1
Phanerozoic+AD3:AOAD3:AO56,1
Phanéorozoïque,1
Phanerozoic+AD3:AOAD3:AO63,1
Phanerozoic+AD3:AOAD3:AO186,1
Phanerozoic+AD3:AOAD3:AO173,1
Phanerozoic+AD3:AOAD3:AO44,1
Phanerozoic+AD3:AOAD3:AO163,1
Phanerozoic+AD3:AOAD3:AO67,1
Phanerozoic+AD3:AOAD3:AO193,1
Phanerozoic+AD3:AOAD3:AO154,1
Phanerozoic+AD3:AOAD3:AO143,1
Phanerozoic+AD3:AOAD3:AO75,1
Phanerozoic+AD3:AOAD3:AO212,1
Phanerozoic+AD3:AOAD3:AO170,1
Phanerozoic+AD3:AOAD3:AO103,1
Phanerozoic+AD3:AOAD3:AO110,1
Phanerozoic+AD3:AOAD3:AO19,1
Phanerozoic+AD3:AOAD3:AO25,1
Phanerozoic+AD3:AOAD3:AO222,1
Phanerozoic+AD3:AOAD3:AO96,1
Phanerozoic+AD3:AOAD3:AO94,1
Phanerozoic+AD3:AOAD3:AO83,1
Phanerozoic+AD3:AOAD3:AO84,1
Phanerozoic+AD3:AOAD3:AO123,1
Phanerozoic+AD3:AOAD3:AO27,1
Phanerozoic+AD3:AOAD3:AO81,1
Phanerozoic+AD3:AOAD3:AO101,1
Phanerozoic+AD3:AOAD3:AO82,1
Phanerozoic+AD3:AOAD3:AO102,1
Phanerozoic+AD3:AOAD3:AO31,1
Phanerozoic+AD3:AOAD3:AO79,1
Phanerozoic+AD3:AOAD3:AO48,1
Phanerozoic+AD3:AOAD3:AO190,1
Phanerozoic+AD3:AOAD3:AO65,1
Phanerozoic+AD3:AOAD3:AO203,1
Phanerozoic+AD3:AOAD3:AO113,1
Phanerozoic+AD3:AOAD3:AO211,1
Phanerozoic+AD3:AOAD3:AO142,1
