v_earliestEpochOrLowestSeries,reps
Permian,256
"Miocene, late or Pliocene, early or Pleistocene, early",256
UpperCretaceous,768
Late Devonian,10240
Cambrian Series 2,1
Pennsylvanian; Upper,1
"Mississippian, Lower",1
latest Pliocene?,1
LATE? MIOCENE,1
EARLY MISSISSIPPIAN?,1
Jurassic; Upper ?,1
Eocone-Oligocene,1
Trias,1
Rhaetian,1
"Pleistocene, Quaternary, Cenozoic",1
"Paleocene, Upper",1
Lower Pennsylvanian?,1
Mississippian (Chesterian?),1
"Oligocene, Oligocene",1
Early Late,1
"Oligocene, Late",1
Oligocene-Early Miocene,1
Pliocener,1
Aptian,1
Holicene,1
Eocene; Early Middle,1
PLIOCENE/MIOCENE,1
Midlle Jurassic,1
jurassique inférieur,1
OLIGOCENE OR MIOCENE,1
Pleistocene; Recent,1
Ludlow?,1
Silurian (Ludlovian-Pridolian),1
Pleistocene; Middle-upper,1
Miocene (Mio-Plioc.),1
Recent; Sub,1
late Middle Cambrian-early Late Cambrian,1
Upper?,1
UPPER PENNSYLVANIAN,1
Late Triassic-Middle Jurassic,1
Late Mississippian?,1
MESOZOIC,1
late Lower Devonian,1
Cisuralien - Guadalupien,1
Triassic; Upper,1
Early Miocene?,1
lower middle Triassic,1
lower? Pleistocene,1
middle Carnian,1
Late Eocene-Oligocene,1
Pliocene; Early-middle,1
Muschelkalk,1
LATEST PLEISTOCENE,1
"Pliocene, Miocene",1
Eocene; Late,1
EOCENE OR PALEOCENE,1
Pleistocene; Middle ?,1
"EOCENE,LATE?",1
"Jurrasic, Lower",1
Pliocene; Upper; &,1
Modern (Holocene),1
Miocene ?; Upper ?,1
pleistocene,1
PENNSYLVANIAN?,1
Late Serpukhovian,1
Early-Middle,1
Paleocene; Upper.,1
"Carboniferous, Upper?",1
Late Pennsylvanian?,1
Calciferous Sandston Series,1
Early-Middle Mississippian (Kinderhookian-Meramecian) (Tournaisi,1
Eocene; Oligocene,1
Holocene (recent),1
CARBONIFEROUS,1
Late Kansas,1
"Silurian, Mid-upper",1
Triassic; Mid,1
Oligocene; Lower-middle,1
Early-Late Cretaceous,1
LATE TRIASSIC?,1
eocene,1
Miocene - Pliocene,1
Early Oligocene?,1
MiddleMiocene,1
Lower Cretaceous (Barremian-Cenomanian),1
Late Origocene or Early Miocene,1
Ordovicien Inférieur?,1
"Eocene, Middle ?",1
Early to Middle,1
Silurien Supérieur?,1
Early Ordovician?,1
UPPER CARBONIFEROUS,1
early Silurian (Telychian),1
late Senonian,1
"Triassic, Upper; Jurassic, Lower",1
maybe Lochkovian to Emsian,1
LATE? CRETACEOUS,1
"Pliocene, Middle?",1
Middle Proterozoic,1
LATEST CRETACEOUS,1
Permian; Lower ?,1
Late Early,1
Upper Devonian?,1
MIDDLE EOCENE?,1
Mio.-Pliocene,1
Pliocene; Middle; Pleistocene,1
L. Jurassic,1
"Pleistocene, late(?)",1
Middle Miocene?,1
Middle upper Triassic,1
Turonian,1
LATEST? EOCENE,1
Conician,1
Middle Eocene/Middle Miocene,1
Eocene (?),1
Pleisotcene,1
TERTIARY?,1
Lower Upper,1
upper Keuper,1
"Pennsylvanian, Lower",1
Eocene; Middle-upper,1
early Middle Triassic,1
Devonian; Lower Or Middle,1
Late Devonian?,1
"Devonain, Middle Upper",1
Holocene or Recent,1
middle? Pliocene,1
Devonian Cf.,1
Early Cretaceous (Neocomian),1
Latest Eocene or Earliest Oligocene?,1
upper? Pliocene,1
Trias Inférieur,1
miocène,1
"Mississippian, Lower Middle",1
Danian,1
Oligocene; Middle To Late,1
Miocene? | middle,1
Mid.-Late,1
Eocene-Miocene,1
EARLIEST TRIASSIC,1
"Cretaceous, Middle?",1
Recnt,1
"Devonian, Middle?",1
Pleistocene; Early ?,1
Cretaceous; Early,1
