v_formation,reps
Kanguk,256
Toshima Sand,256
Jbel Wawrmast,256
Formation supérieure des Fezouata,256
Takamine Formation,256
Table Cove,256
Pequop,256
Heshan,512
"TAMIAMI FORMATION, OCHOPEE LIMESTONE",768
Drum Ls,1024
Glen Rose Formation,3328
Stanton Limestone Formation,22272
Olginskaya,1
Stewartville Dolomite Formation,1
Bighorn Ls,1
Greyford Formation,1
"Xinminpu Group, Xinminbao Fm",1
Iscayachi,1
"Woodbine, Upper",1
Floming,1
Chatanooga shale,1
Galique,1
Chanuras,1
Curre,1
UNNAMED SURFICIAL DEPOSIT,1
Hunduum Formation,1
Jubaila or Hanifa Formation,1
Santa Margarita Fm?,1
Flathead Sandstone Formation,1
Burgsvik Formation,1
Washington Coal Formation,1
Kogosukruk tongue of the Prince Creek Formation,1
Aachen,1
Beacon,1
Enentern Formation,1
Pavy,1
TALBOT FORMATION,1
Poleta Fm.,1
unnamed Formation,1
d'Aigne Sandstone,1
Hyon Sand Formation,1
Fort Lancaster Fm,1
Scollard Formation ?,1
Tyrinskaya,1
Lenaph Formation,1
Asterolepis Series,1
Wenlock ls,1
Kamlial Fm,1
White River Formation; Middle Oreodon Beds,1
Cardiola,1
Lola Ls,1
Plateau cuirassé. Savane arborée.,1
"Eau Claire Fm., upper",1
Vinita Sh,1
Perce Rock Beds,1
Hamilton Fm.?,1
Robeson Wathen Ls,1
Taizi Cun Formation,1
Destacamento,1
Argilo- sableuse; sol: gley d'ensemble sur argiles alluviales à forte salure.,1
Extension Protection Formation,1
Linwood,1
Talpa Fm,1
St-Avoid,1
Pankou Ls,1
"Khatiyah Formation, and Nahr Umr Shales",1
Karabil,1
Ulakhan,1
MCLEANSBORO FM.,1
Boulder Creek,1
Kiltorcan Fm,1
Bahia Inglesa Fm.,1
Shamao Fm,1
KAYSER LIMESTONE,1
"Hamilton Fm., probably",1
Lower Old Red Ss,1
Tsunozu Formation,1
"Silica Sh., Unit 11",1
Cypridinenscheifer Formation,1
Gaviota formation,1
Ust Syv'yu Formation,1
Burgen Ls,1
Anse Cascons,1
Llanvirn Fm,1
Upper Kaonosawa Formation?,1
LowerTrenton Limestone,1
Wasatch?,1
Santee Formation,1
Zinnar Limestone,1
Hlebovskya Suite,1
Expansus kalk Formation,1
"Chadron Formation, Crazy Johnson Member",1
Ohmisaki,1
"Old Red Sandstone, Mey Beds",1
Towers,1
Yehli Fm,1
Uspara,1
Baijiantan,1
Sol: gley/ argile alluviale,1
Ekachanskaya,1
Jeckenbach,1
Sentinel Butte  ?,1
Sol: gley d'ensemble sur argiles alluviales calcaires.,1
Patagonia,1
Phorphoria,1
Caledonia Marl,1
Stanton Ls.,1
Dépression; sol latéritique.,1
Kalvitskaja suite,1
Bell Shale Fm.,1
Borkholm Beds,1
Ajax Limestone Formation,1
Apollonia Limestone,1
Hofuf Fm,1
Chuping,1
Sunday Canyon Fm,1
Harding Formation,1
Plateau cuirassé; Roche: shales grèseux.,1
Jingangquan,1
Homewood Ss,1
Linden Formation,1
Florena Formation,1
Red Halite,1
Bridger Formation (b),1
P,1
Povorot,1
Söhlde,1
Ga'ara Formation,1
Blenfire Seam,1
Elbrook Fm,1
Sol: d'apport hydromorphe sur sables et argiles alluviaux/ alluvions actuelles.,1
Carmarthen/Afon Ffinnant,1
Lower Brule Formation; Lower Nodular Zone,1
Buralkenyntuz,1
Trenton-Lorraine,1
Apsat,1
Tatruse/Vasavere,1
Playa Rica (Reefal facies),1
"Sol peu évolué, pierreux",1
Brachina,1
