v_highestBiostratigraphicZone,reps
Halobia Shale,1
Unit 12,1
Spinachitina cervicornis,1
P13,1
Siemiradzkia aurigera,1
Perisphinctes andium,1
Mamillatum,1
Zone à Luciaeformis,1
"IV (Christopher, 1982)",1
Inoceramus perplexus,1
Franconites vimineus,1
Muelleritortis cochleata,1
Oolite,1
Tenaculite Limestone,1
Eumorphoceras pseudobilingue,1
Balvia lens,1
MP 18/19,1
Scaphites hippocrepis II,1
Schoharie Grit,1
MZ6,1
"Devonian Stage, G.g.1",1
Kolymia inoceramiformis,1
Turrillites costatus,1
verchojanicum,1
Bed No. 6,1
Eodicynodon or Tapinocephalus Assemblage Zone,1
Kotetishvilia compressissima,1
Wagnericeras,1
"Tf, 4",1
Below Fusilinid Zone 1,1
Mamet 19,1
MP 25–26,1
Pectinatites scitulus,1
Rauserites quasiarcticus,1
Axinolobus quinni - Coral,1
"Euxinic facies, float in basal 95 ft.",1
micrornatus-newportensis spore zone (lower subzone),1
Streptognathodus isolatus,1
Mariatheca tumefacta,1
Mortoniceras equidistans,1
Oppelia canaliculata Zone,1
"Layer 97, Blue Shale",1
Zone à Gigas ; Sous-zone à Gigas,1
Itaboraian or Riochican,1
LE Miospore Biozone,1
Bed #3,1
Arabica-Shirbuirnia,1
"Hildoceras bifrons Zone, Peronoceras fibulatum subzone",1
Aphanaia lima,1
Biostrina nipponica,1
Lunata,1
Pectinatites wheatleyensis,1
Macrocephalites herveyi,1
Mamet 20,1
Merchantrille Clay,1
Acacia,1
davoei,1
VCo spore,1
Lithacoceras ulmense,1
Zone à Platynota,1
#6 Coal,1
evolutus,1
Denckmannia spp.,1
New Scotland Beds,1
Cyathaxonia sp.,1
Paragondolella bifurcata,1
Lootsbergian,1
Gonioteuthis quadrata,1
Radioceras aff. evolvens,1
Inoceramus lamarcki,1
Parkinsoniidae,1
Zone N,1
NN 21 Zone,1
MN1-MN2,1
Ctenopyge affinis,1
Micraster grimmensis/ Cardiaster granulosus,1
Fusulinella Stricta,1
Katroliceras katrolensis,1
Parahoplites nutfieldiensis,1
Sphenoceramus orientalis,1
Dorsoplanites ilovajskii,1
Didymoceras cheyennense Zone,1
Ostrea expansa Zone,1
Streptognathodus nevaensis,1
