v_latestAgeOrHighestStage,reps
Lancian-Puercan,256
Valaginian-Hauterivian,1
latest Oligocene,1
MP 25,1
Sandy Facies,1
Boven Campanien,1
Holstein interglaciaal,1
Middle Niagaran,1
EARLY HEMPHILLIAN,1
CARNIAN-NORIAN,1
Early Kazanian,1
EARLY LATE TO LATE ARIKAREEAN,1
Carniense,1
Daniano,1
Oligoceno,1
Camp.-Maastrichtian,1
Woodbinian |Gulfian,1
LYSTROSAURUS ASSEMBLAGE ZONE,1
Arkidelphia,1
Tulonian,1
LATE LADINIAN,1
Conacian?,1
Calabrien,1
Calabrian?,1
Campanian-Maastrichtian,1
lias,1
Uhaku,1
Robiacian-Headonian,1
Auversien,1
L. Llandeilian,1
Wisconsin (Vashon) ?,1
Eoceen,1
Middle Campanian?,1
Cassinian,1
CAMPANIAN-MAASTRICHTIAN,1
Valendis,1
Kosovian,1
Maastrich.-Danian,1
Upper Eursian,1
Upper Champlainian,1
Boven-Oligoceen,1
Serravallian?,1
Rusavkian,1
Lower Silurian,1
Lanarkian,1
"Campanian, UPPER,",1
Westphalien,1
B.b.IV,1
Baventian,1
Sicilian,1
Puercan 3,1
early Early Hemphillian,1
Barrémien?,1
Wasatchian/?,1
Washita,1
Early Ordovician,1
APTIAN; NEOCOMIAN,1
Delamaran,1
Saucesian-Relizian,1
Llanvrnian,1
LOSTCABINIAN,1
UINTAN?,1
Mangaorapan,1
LATE HEMINGFORDIAN OR EARLY BARSTOVIAN,1
Oolith de Trouville,1
Priabolian,1
Mesozoic,1
Robiacian,1
Jurassic,1
Oxfordian to Hauterivian,1
Ellenburger,1
Sparnacian,1
Sinémurien?,1
Eifeliien?,1
Lujanian?,1
BRIDGERIAN?,1
late Lutetian - early Bartonian,1
YPRESIAN-THANETIAN,1
Upper Bathonian,1
ILLINOIAN,1
Astian,1
HEMINGFORDIAN OR BARSTOVIAN,1
L. Turonian,1
middle & late Oligocene,1
Moscovian / Atokan,1
WISCONSINAN,1
Maastrictian?,1
EARLIEST VILLAFRANCHIAN,1
Lutétien?,1
Upper Campanian,1
Wealden,1
late Tortonian,1
Middle/Mid,1
SANTONIAN,1
Maastrichtian | Campanian,1
Aptien?,1
PURBECKO-WEALDIEN,1
L. Tremadocian,1
Ulsterian,1
Dresbachian,1
WEALDIAN,1
Early to Middle,1
Agdzien,1
BLANCAN I,1
CHOUKOUTIENIAN,1
Billingen,1
LATE CAMPANIAN,1
Langhian/Servavallian,1
BLANCAN ii,1
Turoniano,1
Upper Coblencian,1
Kimmeridgien,1
Valmeryeran,1
Earliest Miocene,1
upper,1
Bartonian?,1
Sparnacien,1
REfugian,1
VALANGINIAN,1
Charmouthian,1
EARLIER VILLAFRANCHIAN,1
Stephanian C,1
Rockland,1
Cenomaniano,1
Pleinsbachian,1
Hauterivian to Barremian?,1
CENOMANIEN,1
UPPER CLARKFORKIAN,1
Fennian,1
T,1
CALLOVIEN,1
Teurian,1
Fortunian,1
MIDDLE-LATE FAMENNIAN,1
Chibanian,1
Valanginien?,1
RANCHOLABREAN I,1
Alleghanian,1
Faménnien,1
Turonian?,1
POST-WISCONSINAN,1
Chasicoan,1
Late Senonian,1
"LATE WASATCHIAN; ""LOSTCABINIAN""",1
ASTIAN,1
Desmonesian,1
Ordovicien Moyen,1
Midden-Turonien,1
Aptian?,1
Praguien?,1
RANCHOLABREAN? OR IRVINGTONIAN?,1
NEOLITHIC,1
Barremian-Aptian,1
Campanien?,1
Early Miocene?,1
Valang.-Hauterivian,1
Ludien,1
Lower Richmondian,1
Heretaungan,1
Cuisien,1
Upper Richmondian,1
Burdigalian?,1
late middle Oligocene,1
Sherman,1
"Maastrichtian, Upper",1
Maastrichtian - Lancian,1
Rotliegend,1
ARSHANTAN,1
Caerfai,1
Tinguiririquense,1
Late Paleocene / Wilcoxian,1
Ti1,1
CLARKFORKIAN?,1
Kimméridgien?,1
Permien,1
Lutetian?,1
Gault-klei,1
Montehermosense,1
"Cenomanian, Late",1
LATE MAASTRICHTHIAN,1
MERAMECIAN,1
BLANCAN III,1
Villafranchien,1
Llandeilovian,1
L. Emsian,1
Aftonian,1
B.b.II,1
Late Cenomanian to Early Turonian,1
Valaginian,1
L. Purbeckian,1
Santonian-Maestrichtian,1
Cenomanian-Turonian,1
Early to Middle Pliocene,1
"Turonian,",1
Landenian,1
Praghian,1
IRVINGTONIAN I ?,1
Oxfordian-Callovian,1
middle Tortonian,1
Kellovian,1
Late Kimmeridigian - Early Tithonian,1
Luisian?,1
Marplatan,1
late Aptian,1
Streffordian,1
Biharian,1
Neocomiano,1
Early Senonian,1
Toarcien ?,1
EIFELIAN,1
Piso 5,769
Orellan,1793
Earliest-Tortonian,2
Ruscinian,2
B.b. VI,2
Bartonien?,2
Upper Neocomien,2
Whitlandian,2
3,2
Divisaderan,2
Upper Caradocian,2
Cuisian? Ypresian?,2
Crinoidenschicht,2
Bursumian,2
Waitotoran,2
"Albian, Aptian",2
Lower Eocene,2
Deseadan,2
Mangapanian,2
Croixan,2
Turonian and Senonian,2
BRUXELLIAN,2
Villafrancien,2
Ordovicien,2
