v_lowestBiostratigraphicZone,reps
Clarendonian Hemphillian or Irvingtonian,256
V. verbeeki Zone,1
Garantiana Zone,1
#5 Coal,1
TC palynozone,1
Bed # 7,1
Zone à Thouarsense ; Sous-zone à Bingmanni ; Horizon à Bingmanni,1
Myakka River Basin Fauna,1
Downtonian I2,1
Araxoceras,1
Oolite,1
"Douvilleiceras mammillatum Zone, Hoplites benettianus Subzone",1
"Interstadial Of Wisconsinan ?; Or Aftonian ? 50,000 Yrs Bp",1
"Prodactylioceras davoei Zone, Oistoceras figulinum Subzone",1
"Euxinic facies, float in basal 95 ft.",1
Zhangshania,1
Zone à Paturattensis ; Sous-zone à Oculatum,1
Manumiella druggii,1
Taphrognathus transatlanticus,1
Spinulitheca rotunda-Anabarella plana,1
"Euxinic facies, abt 130 ft. above base",1
Psilonoten Zone,1
Illawarra Coal Measures,1
Carolinian,1
Volcanic Ash Band,1
Fengshanites,1
N. craticulifera Zone,1
MP 18/19,1
"Cynognathus Assemblage Zone, Trirachodon-Kannemeyeria Subassemblage",1
Vishnuites decipiens,1
Zone à Athleta ; Sous-zone à Collotiformis ; Horizon à Collotiformis,1
Tf1-Tf2,1
Watinoceras devonense,1
D3,1
Upper Araucanian  = Brochenense,1
"V Zone, V1a Subzone",1
"Cardioceras cordatum Zone, Cardioceras cordatum Subzone",1
Late Blancan or Early Irvingtonian,1
"Schloenbachia varians Zone, Acanthoceras rhotomagense Subzone",1
Choffatia,1
Sphenoceramus orientalis,1
Belgranian,1
Hatchericeras,1
Rauserites quasiarcticus,1
Chonetinella flemingi Zone,1
"Hildoceras bifrons Zone, Peronoceras fibulatum subzone",1
Zone à Margaritatus ; Sous-zone à Valdani,1
Metophioceras conybeari Subone,1
melchious Zone,1
"Chadronian or Orellan, early",1
Mudstone above Grape Creek Coal,1
Salenia texana Zone,1
Stiphromorphites schiicherti,1
Micraster coranguinum and Micraster cortestudinarium,1
Pre-glacial?,1
Crepcephalus Zone,1
Zone à Bifrons ; Sous-zone à Sublevisoni,1
obductum Zone,1
Zone à Insigne,1
Clarendonian (?),1
Perisphinctes plicatilis-Epipeltoceras bimammatum,1
Pectinatus,1
Spinachitina cervicornis,1
Pugnellus sandstone,1
Zone à Opalinum ; Sous-zone à Opalinoides,1
Carynacyathus pinus,1
Paraspiticeras groeberi,1
Arietites bucklandi Subzone,1
"Arikareean, Late",1
Horizon Jdy-2,1
"Unterkarbon (?Pericyclus-Stufe), Kohlenkalk dunkler, brauner, poroser Kieselkalk.",1
Brachiopod - Upper Pentamerus beds,1
centrifugus zone,1
Zugocosmoceras jason,1
Cenomanian,1
#6 Coal,1
Baculites grandis ? | Baculites clinolobatus ? zone,1
G. insueta/bisphericus Zone,1
Submortoniceras tequesqiutense,1
Kansan; Late,1
Phyllocladiscites basarginensis,1
SBZ 16,1
kharaulakhensis,1
N. planulatus zone,1
Sous-zone à Macrescens,1
Strophalosia jimbaensis,1
Huayqyerian,1
Didymoceras cheyennense ? | Baculites compressus zone ?,1
Anoplophora,1
Houston Coal,1
Verrucosisporites polygonalis-Dictyotriletes emsiensis spore zone,1
Picunleufuense,1
"Disturbed zone, above",1
Puerco Fauna,1
Wurm Ii Stadial,1
Inoceramus perplexus,1
Zone NN15,1
N10 to N11,1
Aquitatian,1
Hasselkus Limestone,1
Ptychagnostus gibbus - Ptychangnostus punctuosus,1
NP4,1
similis-pulchra,1
Baculites clinolobatus |  B. grandis?,1
M. coranguinum and M. socialis zones,1
Gibbospirifer,1
"H Zone, H2 Goniatite Subzone, Homoceratoides prereticulata Bullion",1
Dicynodon or Lystrosaurus Assemblage,1
G. inflata Zone,1
Demissa beds = Blasdall beds,1
Mamillatum,1
Old Lynch Vein,1
Upper Cystoid Zone,1
Bacculites sp (weakly ribbed) - Bacculites perplexus,1
S Coral-Brachiopod Zone,1
"Lostcabinian, Wasatchian Biochron Wa-7",1
Ditjmanka Local Fauna,1
Casamayorean,1
Echioceras raricostatum? Subzone,1
Lower Oolitic,1
Pseudomutabilis Zone,1
with phosphatic  pebbles,1
Nummulites fabianii Zone,1
