v_member,reps
Lower Greensand,256
Sullivan Peak,512
Zlichov Ls,768
Corniferous Limestone,1
"WASHINGTON LS, UPPER",1
Dinwoodie Beds,1
cephalopod bed,1
Lower/Main Limestone,1
Gansia Red Beds,1
Canyon del Rey Diatomite,1
Charlestown Main Limestone,1
Unit 2 or 8,1
Noblett,1
Onandaga,1
Zaleski flint,1
Lower Cornbrash Member,1
North Leon Ls Mbr,1
Lobitos Mudstone,1
Collyweston Slate,1
Big Elk Sandstone Member,1
Romeo Mbr.,1
"""Thorp Springs Limestone""",1
Grayhorse Mbr.,1
Stevens Creek?,1
Edgecliff Mbr ?,1
Etchegoin Lower,1
Levantina,1
"JUANA LOPEZ MBR, TOP OF",1
Daiwa Member,1
Coney Sh Mbr,1
?Ames ls.,1
Wakkanabe No. 3 Shale,1
Shriver,1
Kangla,1
Romualdo Mbr.,1
Huntersville Chert,1
Belemnite Marl,1
Chekarda Mbr.,1
Gregorio Mbr,1
Hannold Hill,1
East Point Member,1
Cedar Valley Limestone,1
Tapinocephalus Zone,1
McCraney Limestone,1
Delphi Station Member,1
"""Unit C""",1
"""Lower Keuper"" Sandstone",1
Anstruther Beds,1
Chciny H,1
contact of Units 1 & 2,1
Vinland Sh.,1
Donni Sandstone,1
Ojo Alamo Ss Mbr,1
Snug Harbor,1
East End Mbr,1
Unit 2 or 36,1
Lower Saurian Horizon,1
Balm Creek,1
Heppel Mbr,1
Grey limestone,1
Sharktooth Hill Bonebed,1
Black Ven Marl Mbr,1
Gober Tongue Mbr,1
Red Beds,1
Wadlsey,1
Dye Shale,1
Div. A3,1
Plum Brook Sh Mbr,1
-71.3m on Dougl. Ref. Sect.,1
Lone Oak Limestone,1
Knockerk House Shales,1
LEBACH SHALES,1
Chicotte zone 10 sensu J. Ross,1
Takamatsu Muddy Sand Member,1
Wind Caves Member,1
"""two"" (middle",1
Apron Reef Limestone,1
Portage Division,1
Kolar Dungar,1
Chester,1
Lower massive,1
Rio Pedregoso,1
Louisiana Ls Mbr,1
Paalingkloof,1
Oread Limestone Lower?,1
Lepundosa Shale,1
Moreland,1
Cherchen,1
Fairmount Mbr,1
Moosak,1
Emery Ss Mbr,1
Black Sh.,1
Vaureal Zone 21,1
Jaguariavia Shales,1
Hillsdale Ls Mbr,1
Unit 2 or 37,1
Pittsford Mbr,1
Monterey,1
lower Lytle Mbr,1
Poland Ls Mbr,1
Saint Martin Mbr,1
Facies Savignéen,1
Lias Epsilon II/3c,1
Big Springs Mbr,1
Coon Mountain Ss Mbr,1
Block,1
Black Mitten Member,1
Manyberries,1
Speiser Member,1
Keramit Limestone,1
Ledge Sandstone,1
Rogers Gap,1
Rum Cove,1
General Beds,1
Springdale Sandstone,1
Bearpaw Shale,1
La Tejita,1
Luman interface,1
Tannersburg/Pinesburg,1
Kinney Rim,1
Ravena Mbr,1
Fairport/Fencepost,1
Euphrates Limestone Member,1
Runcton,1
"Plum Point,Mbr Bed 6-7",1
rocky ridge ss,1
Unit 2 or 16,1
Dos Palos,1
Ammonite Hills Mbr,1
Shiloh Marl Mbr,1
Tosi Chert Mbr,1
b: 5,1
Lower Khartam,1
Petrified Forest/Owl Rock,1
"Cryptothyrella Bed, Boda Limestone",1
Williamsville Mbr.,1
Chalybeate Ls Mbr,1
Shelburn Formation,1
Mitchell Siltstone,1
Port Maria Member,1
Portersville Sh.,1
Brookvale shale,1
Grey Limestone,1
Up base,1
Glennon Mbr,1
Zone 14-15,1
Optibbena Tongue,1
Merritton Mbr,1
Laney Sh,1
Layer K,1
upper siltstone,1
Sunset,1
Lower Mercer Limestone,1
Jargeng,1
Railway Cutting Marl,1
Sniabar Mbr,1
Glen Eyrie Shale,1
Hog Creek Sh Mbr,1
Rorringtin Sh,1
UPPER TRANSITION MBR,1
Uteris,1
Wiscoy Sh Mbr,1
Grenzdolomit,1
Turner Park,1
Burr Mbr,1
Tierra Loma Shale?,1
Washingtonville Shale,1
Ceder Valley,1
"Lower ""M-2"" Limestone",1
DEXTER MEMBER,1
Irimazawa,1
Smoky Hill Mbr.,1
COLGATE MEMBER,1
LOWER TRENTON,1
Oak Orchard Mbr,1
QUINDARO SH,1
Kuphus Mbr,1
Shabaowan Sh Mbr,1
Bellevue Beds,1
Geneseo Shale,1
Uper Building Stone,1
Providence Ls Mbr,1
Notikewin,1
High Creek Limestone Member,1
Klimmen,1
Pan de Azucar,1
Topy Creek,1
2a8 Red Ls Mbr,1
Whitby Shale,1
Rochester shale,1
LANDRUM MEMBER,1
Siliceous Shale,1
El Vado,1
Bffalo Creek,1
Oacoma Sh Mbr,1
"POOL CREEK MBR, LOWER",1
Point of Rocks Sandstone,1
LONG CREEK LIMESTONE MEMBER,1
Waipukua Mbr,1
Ea,1
Pleurodictyum Bed,1
Creola Member,1
ARGENTINE LS,1
units S8/S9,1
Westwater Canyon Ss Mbr,1
Intermarine Member,1
Dry,1
Buckhorn Conglomerate,1
Limestone B,1
Winchell Mbr,1
Tununk Shale,1
Camp Springs,1
La Tuna Mbr,1
Himes (?) or Unit 6,1
Millboro Sh Mbr,1
Board Creek Mbr,1
Salamanaca Cgl Mbr,1
Midde Limestone,1
Vire à Orbitolines,1
Mocassin Bend,1
Connellsville Sandstone,1
White Quail Ls Mbr,1
Ridgely Mbr,1
Falls City Limestone,1
Codel sandstone,1
Napa,1
"Division B2 (King, 1981)",1
Middle Dinosaur Bed,1
Wildhorse Mbr,1
Rock Lake Shale?,1
Puqiaozi,1
Mentor Mbr,1
Dorr Run,1
Yukiaino,1
Chickasaw Mbr,1
Mooreville Formation base,1
SALINE BAYOU MEMBER,1
Britton,1
Vanesti Tongue,1
Winslow Upper Level Bank,1
Washingtonville Member,1
Division 3,1
Oregonia,1
Semri Group,1
lower portion,1
Diatomaceous Earth,1
Romulus/Fosheim,1
Jet Rock,1
Wolfcamp Topmost,1
Cobham Mbr,1
English River Gritstone,1
Button Mold Knob Mbr,1
Rogers Creek,1
Point aux Barques,1
Swan Hills,1
Alla Cascina,1
Gypsiferous shale,1
Ithica Shale,1
Hayward,1
Pompey Shale,1
Lower Greensands,1
Bed 18,1
Barrancas Ls Mbr,1
Tichenor Ls.,1
Fontin,1
Cabo Blanco,1
Fashing Clay Member,1
Lebach Mbr,1
Glynboro Member,1
Upper Deer Creek limestone,1
Lacey's Farm Member,1
"""alpha""",1
AMES LS (PROBABLY),1
Kosho mudstone,1
Mafengpo,1
Lonfearn,1
7a Stage,1
Sheep Mbr,1
San Juan De Los Morros Mbr,1
Lower Globigerina Limestone,1
LOWER MARLEY,1
GROAT SS,1
Vaughn Bentonitic,1
lower member Chaffee Fm,1
Sabana Hoyos Ls Mbr,1
Fair Haven Mbr,1
Colvin Limestone,1
B?,1
Fulton Shale,1
Cou Falls Mbr.,1
Flaserschiefer Mbr,1
Davoei Zone,1
Ml,1
Hartland equivalent of Br. Creek Member,1
Itfer Limestone,1
Skunk Spring Limestone Bed,1
Fencepost Mbr,1
Montrose Member,1
Siltita Member,1
Mason City Member,1
Roxton Limestone,1
Big Shale,1
Anna Mbr.,1
Dye Mbr,1
Ridley,1
CRAVAT MEMBER,1
BROWNVILLE LIMESTONE,1
Homewood Ss Mbr,1
Meadville Ls Mbr,1
?Buena Vista Mbr.,1
New York Canyon,1
Tp cvd 3,1
Lane Member,1
BEAR GULCH LIMESTONE,1
?Ames Ls.,1
Mulde Marl,1
Demopolis,1
Mam Creek,1
Shell Rock Limestone,1
3/4,1
Taylor Ranch Member,1
Lias B,1
Brookevale Clay,1
maybe Takaharagawa Member,1
"1, 2",1
Sharpsville Mbr.,1
Yamanouchi Siltsone,1
Pichishui,1
Irrawady Series,1
Tumbling Falls,1
Dunderberg Shale; D,1
Ardvarney Limestone Member,1
Middle Wheeler Shale,1
Hughes Creek Shale?,1
Gene Autry Member,1
Vacaville Shale,1
"M4 (Tsuchida and Hirano, 1995)",1
LARGO,1
Div. E,1
Malm Gamma,1
MERRIAM LIMESTONE,1
Chemung Mbr ?,1
Berthelet Mbr.,1
Stettin,1
Middle post,1
S-4,1
Division 10,1
Sulzbach Beds,1
Boulder Clay,1
Dalton Sandstone,1
Como Ridge Member,1
D2 member,1
Bob Mbr,1
Mbr 2,1
unit L7,1
REDBIRD,1
Las Fraguas,1
Woolsey Sh Mbr,1
Rosiclare Mbr,1
Beech Creek Mbr,1
Division 10 (v),1
Laoshan Member,1
Ditch Creek,1
Totternhoe Stone Member,1
Indian Creek Shale Member,1
Mitsugano,1
Joes Valley Mbr,1
Schuylkill Mbr,1
MILLERS CREEK LS,1
Belcher Ss Mbr,1
Scandinavian Drift Limestone No. 5,1
Falls City Ls,1
Missiquoi Zone 1,1
Placid Shale Member,1
Akazu Fagus bed (lower),1
Devils Kitchen,1
Leavenworth Member,1
lower mbr.,1
Nunda Ss Mbr,1
Lower Cava Inferiore beds,1
Sietini,1
Sheffield Sh Mbr,1
Jerome Mbr,1
Basal Member,1
Santos Sh Mbr,1
Upper part of Upper Shale,1
Mount Tabor,1
Moncos Shale,1
Neshanic,1
Thatcher Mbr,1
Visser,1
Coleman Junction Mbr,1
Remus,1
Chacritas,1
Cangalli Siltstone,1
HUNTER WASH,1
upper coal,1
Benson Member,1
Tawhnyunshinagh Member,1
Baytree,1
Parrish Limestone,1
Gasport Ls Mbr,1
Griley,1
Fynselv,1
Cleveland Mbr.,1
CURZON,1
Dexter Member,1
Kacak Mbr,1
Upper Scenic,1
Bethany Falls Limestone,1
Rio Bonito,1
Tsukunai M.,1
Gleesons,1
Taylor's Falls Mbr,1
Otani Conglomerate,1
Giran El Ful,1
Bobcaygean Limestone,1
Wallangullass,1
Fairhaven Mbr ?,1
"Mj (Asai and Hirano, 1990)",1
Claiborne Member,1
Jacque Mountain Ls Mbr,1
Gryphaea beds,1
Shai'ba Member,1
Fuganji Member,1
Unterer Stein,1
Blue Argillaceous Siltstone,1
Upper Caithness Flags,1
Bells Landing Member,1
Fiddlers Green Ls Mbr,1
BLackjack Creek ls,1
Balumtun Sandstone,1
Assiniboine,1
Kirberg Folge Mbr,1
Degrey Mbr,1
Eowotan,1
CLARENDON,1
Ireland Sandstone?,1
Sudmoor Sandstone Member,1
Croweburg Coal,1
Kazinga Beds,1
Puesto Almada,1
Anchor Bay,1
Orchard Creek,1
Edgecliff Mbr.,1
Indecision Cr. Ss. Mbr.,1
Mowry,1
Etage F-f2,1
Ktanoyama Member,1
Gasaway/Carp Run Mbr.,1
Gun River zone 2-4,1
D3 Mbr,1
Texas,1
Salem School Limestone,1
Nicholas Limestone Member,1
Trig. Hik. zone,1
Chouteau Limestone,1
Rogoznik Member,1
West Point Member V,1
Potter Farm Member,1
Striatulum Beds,1
Gould Sh Mbr,1
Iola limestone,1
Unit S6,1
Edwardsville Member,1
GWYNNED SHALE,1
Rio Bauta Member,1
Lias epsilon II/5,1
Florence Flint,1
Denton Marl,1
Bairdienkalk,1
Chesapeake,1
Bull Bluf,1
Morgan Creek Ls Mbr,1
Babia Stage,1
Low part of cardium bed,1
Dixoni Limestone,1
Bed 14a,1
upper chert and shale,1
Chai-li Mbr,1
Middle Barton Beds,1
Zone 8 ?,1
Unit 2 or 32,1
Sni Mills Ls Mbr,1
Poolville Member,1
Jupiter Zone 3-4,1
Palatteville Limestone,1
Grey Sands,1
"Nodular Limestone, Unit D or E",1
Bamboo Clay,1
Byram Marl,1
DUNBAR CREEK?,1
Jupiter zone 8-10,1
Nancy Member,1
"Sands of Oude Biezen, Sands of Berg",1
Houx Ls Mbr,1
MORGARTS BEACH MEMBER / MOORE HOUSE MEMBER,1
Black Ven Marl Member (Shales-with-Beef),1
Long Creek Sh,1
Fort Atkinson Limestone Member,1
Colony Creek Shale Member ?,1
KlB 9,1
"TURNER SANDY, BASAL",1
Sands of St.Niklaas,1
Gowanda Shale,1
top of the Pilares,1
Spring Canyon Mbr,1
Kullsberg Limestone,1
Rockaway Dol Mbr,1
middle Chamisa Mesa,1
Black Bed Mbr,1
Burditt Mbr,1
Collingwood Mbr.,1
Bashi (Hatchetigbee Bluff only),1
Island Creek Mbr.,1
Vanport LS Member,1
Muds,1
Tichenor Mbr,1
Schweitzer Mbr,1
Natsy,1
Pipy Beds,1
Nunda Sandstone,1
