lifeStage	reps
\N	688700750
0 adults, 5 Juveniles, 0 Cysts, 0 Cystoids, 0 Egg sacs	15
0Adult	1
1 Adulto, 3 polluelos	1
1 Juv	5
1 Young Fledged	5
1 addled, 2 young; infertile	1
1 adult + 3 larvae	16
1 fresh, 2 far advanced	1
1 fresh, 2 started	1
1 infertile, other pipping	1
1 larva (metamorphosing. Gills m	1
1 male adult	4
1 ninfa,1 larva	1
1, 2E	2
1-2 eggs starting	15
117 adults + 5 larvae/pupa	1
11F	5
12 Days	3
13 adultos 3 juveniles	1
13 larva	1
13 oeufs	1
13 years, 3 months	1
13-14mm	2
14 adults + 26 larvae/pupae	1
16 adults + 2 larvae	7
161 adult	3
189 adult	1
19 years	1
1C	2
1F 27J	1
1M  2F  2J	3
1f 5j	1
1m28	1
2 Adult 2 Juvenile	2
2 Adult males	6
2 C yr	2
2 FEMALES, GRAVID	1
2 adults + 14 larvae	1
2 broken, 1 fresh	1
2 fresh a & b; other varying	1
2 larvae + 4 skins	1
2 males, 3 females	4
2 small embryos	4
2 well formed embryos, 4 fresh	1
20 Adult, 4 Infant	1
2196-97 moderate	1
25 juveniles, 2 adultos	1
2697 fresh	1
2Adult+2Pup	1
2M, 1F	53
2M5F	2
3 adults + 12 larvae/pupa	2
3 large embryos, 1 infertile	1
33 larvae, 2 pupae	1
38 años	8
3M 5F 1J	3
3x3mm	106
4 Juvenile, 2 Infant, 14 Indeterminate	1
4 adults + 10 larvae	1
4 indeterminados	2
4590 slight-detached; 4591 fresh	1
5 females	1
5 juvenile; 24 adult	1
5 pupae	5
5.335 cm	1
64 adult	9
6m 3f	1
7 Adults, 3 Juveniles	1
7 days advanced	1
7,0g	4
8 ADULT; 5 JUVENILE	2
8 Adults, 6 Juveniles	1
8 juvenile	9
8 months, 13 days	2
8/9/10D	1
9 Adult, 2 Juvenile, 1 Infant, 3 Indeterminate	1
9 Adult, 3 Infant	1
9 day old calf	1
9 eggs, 13 larvae	1
9 males juveniles,  1 female adult, 3 females juveniles	1
96 adults	1
98 larvas	3
9M 6F	2
; larvae;;	1
A Large Dead Embryo	1
A trace advanced	1
A trace in all eggs	1
ABOUT 278 DAYS OLD	1
ADULT PREGNANT FEMAL	2
ADULT.	1
ASY by bill measurements	6
About one third	32
About to 1/4	1
Adult Female: 8; Adult: 17; Adult Male: 9	1
Adult and larvae	1
Adult: 100; Adult Male: 0; Adult Female: 0	1
Adult: 114	2
Adult: 16; Adult Male: 8; Adult Female: 8	4
Adult: 2; Juvenile: 9	1
Advanced-far	1
Age Class I	190
Age: 24 days	1
All 3 large embryos	5
Almost Hatching	1
At point of hatching.	1
BA1. Adulto 1.	8
Begun. Trace.	1
Bird Formed	1
Both Hatched	1
Both One-Third Incubated	1
Both slight	1
Broken--appears hatched	2
C1-CV	25
Cartilaginous embryos.	1
Coniaciano inferior	2
EGGS	64
EXT:37.5".; age by plumage	1
Egg #84-hatched in captivity, eg	1
Egg 179 hatched; egg 180 died; e	1
Eggs #3:Fresh; #4, #5: trace Of	1
Eggs with very small embryos	2
Embryo and egg shell	2
Embryo-1 Infertile-1	1
Esteril	17006
Euring 4 | subadult	4
FEMALES, NEONATAL?	1
Feathered Embryo	1
Flower [?]	6
Flowering and Fruiting	36523
Four or five days	3
Fragments from 3 hatched eggs, a	1
Fresh & Slight Trace Of Bllod	1
Fresh (incomplete set?)	1
Fresh but commenced	1
Fresh, feathers	1
Fresh.	80
G&D 46-48: larva w/no hind limb digits	39
HATCHING EMBRYO	1
HY/nestling	1
I; juvenile;; juvenile	280
IMMATURE,	21
In flower	617
Intact, unhatched fertile egg; F	1
Juvenile: 134	1
Juvenile: 3; Adult Male: 5; Adult Female: 9	1
L:228mm; age by plumage	1
L:253; EXT:350; age by plumage	1
L:399mm; WCH:189mm; EXT:640mm; a	1
L:5.8"; EXT:10.52".; age by plum	1
Large embryo - shell very soft	1
Larva megalopa	11
Larval and Post-larval	3
MALE, 2 FEMALES	1
Male, Tissue-scale clips	1
NEST	1
No eggs- Parent seen building on	1
No shiner eggs found	1
Not far advanced	1
One week.	8
One-third	26
POSTMETAMORFICO	3
Preadulta	4
Pupal cases, 34	1
SUBADULT,	1
Showing blood, small embryos, in	1
Skull double	1
Skull not ossified	48
Skull unossified	2
Small embryo. Nest contained 1 y	1
Small embryo; cracked and rotten	1
Small soft embryos.	1
Some fresh and other begun	1
Started (1/4)	1
Trace In 2	1
Two-thirds Incubated	11
Twoo eyases fledged from eyrie,	1
Unknown, 2	32
Variable from fresh to slight em	1
Variable, fresh to slight	1
Variable- slight to trace embryo	1
Varying from slight to advanced	1
WCH: 57mm  TL: 54mm; age by plum	1
[=Im.?]	1
about 1/4 incubated	5
about 10 years, 3 months	1
ad?	653
adult + exuviae	4
adult 103|adult 59	1
adult 107|adult 86	1
adult 1|egg	1
adult 20|adult 15	1
adult 50|adult 78	1
adult 6|adult 13	1
adult 6|adult 8	7
adult female:2; adult male:2; adult:10	1
adult male:21; adult female:1	1
adult, juvenile	1606
adult/embryos	3
adult; 15 mo 10 day	4
adult; 405 day	2
adult; 43 day	14
adult; 44 C day	2
adult; 81 day	8
adult; skull fully pneumatized	1
advanced 3/4	1
advanced but "pourri"	1
advanced, 1 far advanced	1
all fresh to slightly addled	1
approx. 2 yrs	2
begun in all eggs of set	1
cercariae and rediae	4
