nomenclaturalCode	reps
\N	662376630
(Linnaeus 1767)	1
ICZN	24904123
(Borkhausen 1789)	3
Denis & Schifferm�ller, 1775	2
(Hufnagel, 1766)	2
Berry, William B. 1960. Graptolite faunas of the Marathon region, West Texas. Texas University Publication. n.6005: 179pp.,3tf.,20pl.	132
noncompliant	6619
Linnaeus 1767	1
Lpk.	3
ZIN	218
(Rottb.)	3
Animalia	1686
Turati	1
Lempke	1
(Clerck 1759)	2
(Linnaeus, 1758)	23
(Sauber, 1916)	1
APG III	11103
(Hubner 1790)	1
(L.)	8
Palaeophyllum	1
Seilacher, Adolf & Gishlick, Alan D. 2014. Morphodynamics. 553 p., 145 Pl.	4
(Scopoli, 1763)	1
Acutiramus	11
ICBN, ICNB	1
NA	729
(Rottemburg 1775)	1
Gunung Leuser, Ketambe	1
(Linnaeus 1758)	26
ICBN/ICSP	2813
(Doubleday, 1850)	1
Cronquist81; APG III	2020
(Linnaeus 1761)	12
Illiger, 1806	2
(Fuessly, 1775)	2
Gerstaecker, 1869	4
Berry, William B. 1966. Climacograptus hastatus T.S. Hall--its lectotype and some local populations. Journal of Paleontology. v.40 (n.1): pp.162-176,2tf.,1tbl.,1pl.	1
Hufnagel, 1766	1
Tutt.	4
Blows, William T. 2001. Dermal armor of the polacanthine dinosaurs., in Carpenter, Kenneth. The Armored dinosaurs. 363-385.	1
Taxon indet.	1
noncomplaint	2
unknown	25093
(Doubleday 1847)	2
(Denis & Schiffermuller 1775)	6
ICN	5859634
(Esper 1785)	2
([Denis & Schifferm�ller], 1775)	1
Ichnofossil	171
Lahn	1
Dahlbom, 1832	1
Fuessly, 1775	1
ICNafp	4874185
Ginsburg, Leonard. 1962. Les Tritylodontes. Problemes actuels de Paleontologie ( evolution des vertebres). 104: 187-192.	1
undefinable	7
Cronquist	53
(H�bner 1806)	2
(Denis & Schifferm�ller, 1775)	9
Plantae	1
Tutt	1
Clerck, 1759	1
Seilacher, Adolf. 2007. Trace Fossil Analysis. 226 p., 75 pl.	1
ICBN	14359550
ICZN.  Update per WoRMS id 746168	2
Código Internacional de Nomenclatura Zoológica	8033
Linnaeus, 1758	22
