reproductiveCondition	reps
\N	710701305
"Ovaries not developed"	1
06 Mar 1946	1
1 Emb; CR-13	1
1 emb, 12 mm	3
1 emb, 19x14 mm	1
1 emb, 2x1 mm	3
1 emb, 7 mm	3
1 emb.; CR=17 mm	1
1 emb=4	1
1 embryo 16mm	1
1TA/1TS (13 X 8)	1
2 embs, 1L, 1R, 25 mm	1
2 embs, 1R, 1L, 9 mm	1
2 embs., CR=7	1
2 embs/1 R/1 L/cr = 17 mm	1
2 placental scars	14
2+1=3 this year placental scars, 1+2=3 last year placental scars	1
2-9 mm	1
265413~ANTPA.004511	79
3 embs, 1L, 2R, 25 mm	2
3 embs:2lf&1rt=12mm&5mm	1
4 embryos = 11 mm	1
4 embs: 1lf,3rt = 2mm	1
5 embs, 2L, 3R, 5 mm	2
5 embs: 15mm	1
5R, 4R, 10 mm	1
6 embs, 5 mm	3
6 embs, 5L, 1R, 12 mm	1
7 embryos, R=2, L=5, vagina opened	1
A in cop. with B.	1
Bred, ex larva	1
Charles Oliver Phyciodes Broods: Br. 77-63	1
Cocoons taken wild at Brownsville; continued to emerge at Wilmington Delaware for next 3 years	1
Cross 10-72 (1972): Broken-eye male (F1 9-71) X Normal Female (F1 12-71)	1
Ecl. late Jun 1982. Bred by G. Darryl Willis.	1
Emerged St. Louis, MO	1
En ponte ; trois oeufs. Plaques incubatrices.	1
Esteril	156
Ex ovis, female from Hamden Conn. larva, May-July 1980 on Carya ovata ecl. 5 Aug 1980 bred D.F. Schweitzer	1
F1 of CGO female 76-3	1
F1 of CLR #119. Out 6-12 May 1958. Female archippus (Mansfield, CT) x Male floridensis (Highlands County, Fla.)	1
F1 of Cross No. 12, reared in lab 1957-1958, Charles L. Remington	1
Flowering and Fruiting	2
GONADS EVICERATED WITH AUTOPSY, NO GONADS FOUND	1
GONADS MISSING.	1
Gonades : 5 mm	4
Gonades : 7	2
Grappe ovarienne bien prononcée.	1
HOW SEXED: BREEDING CONDITION, BROOD PATCH.	1
HOW SEXED: GONADS DRAWM.	1
