taxonomicStatus	reps
\N	692574863
(Crantz) Beck ex Fritsch	1
Sin opinión	1
aceptado	58700
no resuelto	5626
Invalid	22
Cephalanthera longifolia	1
Sinonimia homotípica	162
(L.) Gaertn.	1
valid	78118
Temporal	317255
No opinion	7630
SYNONYM	10942
synonym	13159
unaccepted	7
Synonym	138
(L.) Drejer	1
Sinonimo	1398
Sinónimo homotípico	1064
nomen dubium	1
Nombre mal aplicado	20
1	76361
NO DISPONIBLE	2001
ACCEPTED	336521
Accepted	18325
Valido	692
válido	2309143
Válido	63861
accepted	12449938
No resuelto	172
Sinónimo	751
endémico	12
DOUBTFUL	40
sinónimo	465974
Nombre legítimo	2
VALID	4
unavailable, other	2
Synoniem	3
Unknown	1
L.	6
Unresolved	20
unresolved	1
(L.) DC.	1
Trin.	1
Inválido	51
NO APLICA	156224
En Desuso	11860
Nomen inval.	112
Aceptado provisionalmente	8
junior synonym	7
(L.) Delarbre	1
Recommended name	42823
Aceptado	3428954
