type	reps
\N	631171414
event	109343
Topotype	1
physical object	2531
MovingImage	52339
StillImage	14680
Objeto fisico	13482
Sonido	20705
stillImage	3
Evento; Sonido	50
Image	69731
"	3
decora	1
Imágen	151
Observation record	831
Paratype	1254
objeto fisico	7629
objeto físico	8038
"Evento;Sonido"	45
Objeto f’sico	144
NA	4
exigua	1
Sound	168010
Evento	27917
sound	2195
Imagen Estática	160
Imagen movimiento	1
NBDB	57218
Physical object	322094
Imagen en movimiento	350
Photograph	14
Physicalobject	2
PreservedSpecimen	38660
Hard	1908
Objeto físico	324679
Allotype	36
Imagen estática	1872
HumanObservation	372222
Objeto Físico	704
Specimen	13
Acrostichus medius	1
Mixed	118
Other material	27
Avistamiento/Vocalización	151
specimen	8955
Catch	2008
es	202
Objeto Fisico	98
Unknown	1778
"Evento; Sonido"	186
S	3772
dataset	5414
Pinned specimen	9380
Herbarium Specimen	1
Dataset	848987
on slide	2
Objecto físico	7621
Occurrence	510992
Still Image	309
Especimen preservado	126
Imagen estatica	1002
physicalObject	274590
Collection	6910200
Text	22106
Soft	98
"Sonido;Evento"	25
Vocalización	211
text	2127
Physical Object	901262
collection	27087
PhysicalObject	39518091
evento	1200
Avistamiento	3889
Event	30580530
SonidoObjeto físico	1
