verbatimCoordinateSystem	reps
\N	686557101
1°32,53''N,75°28,25''W	8
1°36'23''N,35°39'6,2''W	2
1°4'51,8''N,76°37'54,4''W	2
1°4''89,4''N,75°40'47''W	1
1°42'68,4''N,75°42'86,5''W	1
4°03'49,7''N,73°21'54,3''W	3
RT 90	48
RT90	102
0°48'11,5''N,75°11'58,3''W	3
1°29'96,7''N,75°39'40,7''W	8
1°30'15,4''N,75°39'59,9''W	2
1°36'23,3''N,76°39'6,2''W	1
Unofficial 5km MGRS	291402
1°26'30,3''N,75°42'52''W	2
1°39'50,8''N,75°36'55,9''W	1
0°31'20,7''N,75°58'43,8''W	1
0°48'115''N,75°11'583''W	1
1°20'42,7''N,75°49'14,5''W	1
2°23'57,1''N,70°2'51,8''W	1
decimal degrees from DMS	640
1°13'54,9''N,75°29'30,3''W	7
1°42,68'N,75°42,86W	1
UTM WGS 84	240
1°29,71''N,75°39,23''W	1
1°29,967'N,75°39,4070'W	1
1°36,37''N,75°36,46''W	6
1°36,374'N,75°36,457'W	1
1°37'138''N,75°39'343''W	1
1°52'684''N,75°42'865''W	1
UTM 17	380
1°25'51,2''N,75°30'58,6''W	1
3°48'33,02''N,16'04'29''W	1
Decimales	62
Degrees, minutes, seconds	1
0 35.454' SS;130 18.012' EE	1
1°42,68''N,75°72,87''W	1
0°31'20,7''N,72°58'43,8''W	4
1°42'43''N,75°17'37''W	8
1°25,058''N,75°30,827''W	1
1°36'45''N,75°39'2,59''W	3
1°36'23''N,75°39'65''W	3
4°21,8''N,73°23'01,2''W	1
0°44'44,8''N,75°14'3,94''W	1
1°30'35,4''N,75°36'56,3''W	1
1°39,85''N,75°36,39''W	2
1°4'34,6''N,76°37'53,2''W	1
Grados, minutos y segundos	541
"Grados, minutos, segundos"	525
1°25'55,6N,75°31'48''W	1
1°44'56,9''N,75°59'27''W	2
IFBL 4km	1137073
W091°43.108'W	1
1°42,324''N,75°42,926''W	1
1°43,324'N,75°42,926W	1
0°33'15,14''N,74°23'52,08W	1
1°35'17,78''N,75°33'39,33''W	5
1°43'492''N,75°39,981''W	2
1°37'138''N,76°39'4,34''W	1
Greus e minutos	1
YKJ; ETRS89	2
1°42'43''N,75°17'97''W	1
5°36'36,5''N,70°21'48,6''W	1
Grados decimales	19506
1°37'03''N,75°37'03''W	3
1°37'23,89''N,75°40'19,91''W	1
W094°33.095'W	1
0°28'09,5''S,73°31'44,1''W	1
1°29'59,7''N,75°39'23''W	1
1°56'14,5''N,75°12'32,3''W	6
2°18'1,674''N,75°23'12,565''W	1
Grados, Minitos y Segundos	262
1°36,4''N,75°39,11''W	1
1°44,464'N,75°35,073''W	1
graus decimais	28
1°23'29''N,75°45'54''W	2
1°27'10,8''N,75°49'49''W	1
1°39,102''N,75°34,473''W	1
ykj	82
1°21,11''N,75°55,99''W	2
1°25'53,1''N,75°29'34,7''W	1
1°29°20,56''N,75°24'17,64''W	1
1°36,23'N,75°39'6,5''W	1
1°39,543'N,75°36,128''W	1
1°42,68''N,75°42,87''W	6
1°5'152''N,75°28'219''W	1
6°9'54''N,73°8'15''W	2
NULL	758577
TRS	725
etrs-tm35fin	12
1°25'27''N,75°3'58''W	1
1°30,765'N,75°39,758'N	1
1°19'43,4''N,75°48'44''W	2
1°19'52''N,75°48'43,7''W	1
1°39'0''N,75°36'24''W	1
grados decimales	3948
1°25'27''N,75°30'58''W	28
