waterBody	reps
\N	703385227
"Arroyo del medio, cuenca Caribe"	2
"Quebrada El Zancudo, cuenca Cauca"	6
"Quebrada Montañitas, cuenca Magdalena"	1
"Quebrada Santa Ana, cuenca cauca"	9
5 SHALLOW FRESHWATER SPRINGS	1
ALTAMAHA RIVER-WESTERN CE	2
Adamah	1
Akers Branch	1
Alabaha R.	2
Alaska - No Pacific	251
Allione	2
Amazon R.	2
Amstelbach	255
Antreff	357
Arrestra	8
Arroyo Vitel	2
Asbecker Muehlenbach	5
Assawoman Bay	2
Atlantic Ocean, Gulf Of Mexico	1
Atlantic Ocean, off Western Sahara, on continental shelf, on line 25°19'N to 16°30'N and 15°25'W	1
Atlantic Ocean; Gulf of California	1
Atlantic Ocean; Hudson Bay	6
Atlantic, Caribbean Sea, Pirates Bay	85
Atlantic, Mediterranean Sea, Saint George Bay	11
Atlantic, Passamaquoddy	12
BAHIA DE BANDERAS	19
BOEZINGEGRACHT	641
Bahía Río Deseado	1
Banderas Bay	31
Bayano	1
Biewerbach	39
Bille & Kumba	1
Bivuse River	4
Bodega Bay	46
Bodega Lagoon	18
Boise R.	6
Bolinao Lagoon	3
Bonnabel Canal	1
Boundary Bay	1
Brahmaputra basin	2
Brasimone	7
Broadman River	1
Burt Lake	3
Cache la Poudre R.	3
Calfpasture River	2
Camel	9
Caney Fork  - Cumberland River - Mississippi River	1
Caney Fork River - Cumberland River - Mississippi River	11
Carpino	8
Caño Palagua	8
Ceresolo	37
Chatmika	1
China - Shantung (=Shando	1
Ciénaga de Pune	2
Cooper	1
Copper Mountain Creek	1
Cosa	14
Cotuit Harbor	2
Cranberry	1
Cranberry R.	9
DELAWARE RIVER - CHESAPEA	3
Davidson R.	25
Dawson	1
Demerara River - Atlantic Ocean	45
Dhuenn	46
Double Spring Creek	71
Drainage: PYRAMID LAKE	1
Drainage: RIO PORTOVIEJO	1
Dye Branch	11
ELK RIVER	2
Eastern Atlantic Ocean	134
Emmer	232
English Bay	1
Feamster Lake	11
Feather River, San Joaquin River	1
Fellerbach	33
Frafjord	4
GULF OF SANTA CATALINA-EA	2
Garden Cove	1
Gibbons Bay	1
Gibons Creek	1
Gold Creek	1
Greenleaf Lake	36
Groot Riv.-Gouritz System	1
Große Schmalenau	111
Grundbach	91
Grüne-Mühle-Bach	13
Guadalquivir	7
Guayas	373
Gulf Of Mexico	117
Gulf of Lawrence	1
HIUCHI NADA	1
Haines Creek	1
Hannas Lake	1
Hatchery Creek	1
Haven Creek	4
Heerener Mühlbach	6
Highland Cr.	4
Hilm	1
Hornungstal, mittlerer Stauweiher, Ostufer, Laubeintrag, Schlamm;	1
Indian Ocean, Red Sea, Landing Bay	1
Indian, Arabian Sea, Gulf of Kutch	57
Indo-West-Pacific	1
Ishikari Wan	4
Jim Blue Creek	8
Juniata R.	1
Kaktovik Lagoon	2
Kamuzwadsi	3
Kandawgyi Lake	3
Kissimee River	1
L'Aia	31
L. Indawgyi	2
LAWA RIVER-MAROWIJNE RIVE	16
Lac Milone	1
Lac Tomahawk	1
Lac des Roches	7
Laguna Chis Chis	6
Laguna de Pozuelos	1
Lagunita Lake	9
Lake Eyasi	11
Lake Hugo	8
Lake Togo	1
Lamine River	37
Limpopo	650
Litte	5
Little Bear Creek	25
Losse	279
Louros	5
Lozzo	40
Luck Lake	1
Lúa R.	1
MONTEREY BAY DRAINAGE; ELKHORN SLOUGH	1
Mad River	5
Magriola	2
Mahoico	1
Malawi Lake (= Nyasa Lake	9
Mar CantÃ¡brico	1
Matamohuri basin	10
Mediterranean Sea, Mediterranean Sea; Tyrrhenian Sea	81
Mexico - Baja CA Norte	567
Milia	5
Miramontes beach (Moss Beach)	7
Mittelgraben	8
Muger	1
N. Branch Independence Creek	8
NATCHES RIVER	2
NE Bering Sea/Chukchi Sea	1
NEVERSINK RIVER - DELAWAR	10
NORTHWESTERN PACIFIC	1
Nampung	2
Nore River	2
North Atlantic Ocean, Bay Of Fundy	31
North Atlantic Ocean, Caribbean Sea, Gulf of Santa Fe	3
North Atlantic Ocean, English Channel, Saint Aubin'S Bay.	1
North Atlantic Ocean, Kilbrannan Sound	2
North Atlantic Ocean, Mediterranean Sea, Strait Of Sicily	1
North Atlantic Ocean, Mediterranean Sea, Tyrrhenian Sea, Salerno Gulf	1
North Atlantic Ocean, Myrtlegrove Sound	1
North Fork of Saline River	2
North Pacific Ocean, Alaska Canada Coastal Waters, Small Pox Bay	1
North Pacific Ocean, Gulf of California, Salinas Bay	2
North Pacific Ocean, Kagoshima Gulf	164
North Pacific Ocean, San Luis Gonzaga Bay	1
North Sea, Nord Schillgrund, N of Witte Bank	2
North Sea, Southern Bight, Duitse Bocht	1
North Sea, Southern Bight, Westerschelde / de Wielingen	3
Northwest Pacific Ocean, Northwest Pacific Ocean; Yellow Sea	155
Nottamasaga River	1
OKAVANGO RIVER	4
Ohio River drainage	4
Oregon - Jackson	1
Oslob, Cebu	8
Ouse River	1
PLATTESTEENBEEK	2
POSSIBLY PACIFIC OCEAN	1
POTOMAC R. SYSTEM; HAWKSBILL CREEK	1
Pacific, Ragay Gulf, Caima Bay	52
Pacific, South China Sea, Ulugan Bay	292
Pacific, Taiwan Strait	11
Padma River - Bay of Bengal	38
Palk Bay	4
Papua New Guinea - W Pac	2
Paraíba do Sul	5237
Pease R.	1
Ponta Creek	18
Pools at edge of swamp	15
Pra R. Drainage	1
Preto	1
Primrose Lake	6
Prosser Creek	5
Quebrada Barranco catangueo	1
Quebrada Madroñero	114
Quebrada Sabaletero, cuenca San Juan	2
R. Amazonas basin; R. Maranon	12
R. Guarico	25
R. Magdalena basin ; Bernal Creek	9
R. Meta basin	1
R. Motatan	15
R. Patia Basin; R. Patia	2
R. SAN DIEGO	3
R. TONTO	2
R. Virgh'S	1
RIO OBISPO	4
RIO TEHUANTEPEC	5
RIO YAQUI BASIN	1
Rahmede	21
Ranschgraben	22
Revuelto Creek	4
Rhein	551
Rijiliwong	1
Rio Manabi	1
Rio Tamana	2
Rio VacacaÃ­	1
River Galma	1
Rivière Rat Musqué	1
Rukuru & Mzimba	2
Russian Riv.	3
RÃ­o Meta drainage	1
Río Dubaza	9
Río Guabas	7
Río Guayalejo	6
Río Madeira - Río Amazonas	86
Río Santa Lucia	3
Río Vaquero	1
SALINAL RIVER	1
SAN FRANCISCO MARKET	1
SE Atlantic Ocean	24
SOLOMON SEA	1
Sacramento R. Basin; Georgiana Slough	3
Sacramento R. Basin; Little Butte Cr.	2
Salmon Falls Creek	1
Salt Fork Creek	9
San Gregorio Lagoon	1
San Pedro R.	1
Schloitzbach	45
Schwarzbach (Weiße Elster)	1
Seine River	1
Shebeli	3
Sipsey Fork Black Warrior River - Tombigbee River - Mobile Bay	140
South Pacific Ocean, Cook Strait, Golden Bay	3
South Pacific Ocean, Gulf of Hauraki	21
South Pacific Ocean, Timor Sea, Fog Bay	3
Southwest Altantic Ocean	2
Spizzirò	2
Spring Creek - Tennessee River	50
St Francis Bay Rivers	1
Subcuenca Río Paez, Cuenca Río Magdalena	6
Subcuenca Río Tulua, Cuenca Río Cauca	1
Südliche Umflut	91
Tarume	1
Three	1
Tigris River	17
Tributary of Canadian River	2
Tualatin River	4
Unterer Modenbach	13
Uphapee Creek - Tallapoosa River - Mobile Bay	30
Upper Tallapoosa River	1
Vitiverter Bach	99
Wadi Sahtan	3
Walgerbach	23
Walker River	1
Watershed 9	1
Whitefish Lake	3
Wicomico R.	4
Yockanookany River	25
ZWARTESLUISBEEK	619
Zaire Basin	2
amazonas	9
ampasina	2
main channel rapids/falls	8
sangha	1
seine	494
tone	31
vardar	5
"Quebrada La Picacha, cuenca Cauca"	1
AMPANOBE RIVER	1
Adada	1
Aegean	1
Aki-nada Sea	1
Alaba	4
Alpbach	69
Altamaha River	530
Altamaha River - North Atlantic Ocean	24
Arctic Ocean, Pechora Sea	3
Arnalda	8
Aterno	8
Atlantic Ocean; Massachusetts Bay	10
Azore Is - No Atlantic	2
BAHIA DE NEIBA-CARIBBEAN	2
Bacia Potiguar	110
Baixo Amazonas	2
Balung River	1
Bama	2
Bandera Bay	15
Baragera	1
Bañados Río Curuzú Cuatiá	1
Beaver	3
Bittenbach;	4
Bogue Homa	17
Bogue Homo Creek	1
Bristol Bay Drainage; Naknek R.	1
Broken Bay	2
Buthier	4
CLEAR CREEK	20
CROSS BASIN	4
CZ.	1
Cali	6
Cane  River	1
Chaffin Creek	2
China	1
Chisolm Creek	15
Corbiolo	2
Corsonna	6
Crogga River	2
DELAWARE RIVER-DELAWARE B	1
Dallmann Bay	16
Delaware Bay Basin (misc. creek tribs)	139
Dickopsbach	96
Dießenbach	13
Donau River	8
Drainage: Cabiúnas	2
Drainage: LITTLE KERN RIVER	1
Drainage: R. Patia; R. Telembi	2
Drainage: Rio Ribeira Da Iguape	1
Drainage: Russian R. Estuary	1
EMPTY	2
East Fork Pigeon R.	5
Eleven Point River - White River - Mississippi River	5
Elsebach	125
Elter-Muehlenbach	27
Eltingmuehlenbach	42
Ema	25
Embalse Sogamoso	12
Emscher	10
Emsdettener Mühlenbach	148
Ensenada de Cajon	1
Erebus and Terror Gulf	1
Estrecho de Magallanes	25
Evansville Creek	13
FALL CREEK	3
Fiora	11
Florida - Flagler	1
Foce del Tagliamento	56
Franca	6
G. lac des Roches	6
Gibdo	1
Glover River	401
Gota	4
Gramizza	2
Great Australian Bight	525
Gruppa	5
Guama R.	1
Gulf of Cariaco	3
Hasenbach	76
Highwood River	1
Hoppecke	331
Hudson	15
Humboldt R.	1
Humboldt River	7
Humedal El Conchal	11
Huon Gulf; Adler	1
ISABELLAVAART	384
Illinois - Dekalb	2
Incomati sp.	4
Indian Creek	549
