continent,reps
North America,9383650
,2505759
South America,1759381
Australasia,1282134
Asia,1229473
Africa,1103250
Europe,583158
NORTH AMERICA,368234
Oceania,362467
Atlantic Ocean,170565
Central America,148120
Afrique,99575
Indo-West Pacific,57452
Australia,57423
Eurasia,37834
Pacific Ocean,37407
NE Pacific,35817
Asie,31521
Gulf of Mexico,31492
CARIBBEAN ISLANDS,27094
West Indies,25940
no higher geography recorded,23775
Caribbean Sea,23645
New Guinea,22577
Locality Unknown,22272
Antarctica,17288
South Pacific,14917
Indian Ocean,12734
NW Atlantic,10375
NW & Central Pacific,9316
Caribbean,9266
Wallacea,8238
Amérique du Sud,8113
Amérique,8069
Water Body,8007
No data,6756
SOUTH AMERICA,4747
Océanie,4600
SE Pacific,4238
"Unknown, Captive",3789
ASIA,3482
Afrique du Nord,3378
Australian,3070
Unknown,2770
Pacific,2602
SW Atlantic,2543
Antillean Islands,2417
North Pacific Ocean,2381
Arctic Ocean,2167
WEST INDIES,2012
Amérique centrale,1931
Amérique du Nord,1740
NE Atlantic,1395
unknown continent,1350
ATLANTIC,1345
N.E. Africa,1283
SE Atlantic,1104
W. Africa,1074
Pacific ocean,1057
West Indian Ocean,990
W Africa,900
CENTRAL AMERICA,884
Red Sea,828
Afrique centrale,822
Greater Antilles,795
7,768
Antarctic,763
Àfrica,759
Atlantic ocean,648
N.W. Africa,648
Americas,637
Mediterranean Sea,629
Indoaustralia,601
unknown,566
E. Africa,526
Amèrica,525
UNKNOWN,456
S.W. Africa,449
Bering Sea,373
Ozeania,369
Amérique Centrale,363
AFRICA,347
North America?,333
Antarctique,330
6,302
Afrique de l'Ouest,284
5,282
Indéterminé,270
8,263
South America ?,254
N.E Africa,227
4,220
Oceanic,219
PACIFIC,215
Àsia,210
Amérique Tropicale,205
Europa,200
Afrique Orientale,180
Indian,168
Afrique de l'Est,167
Afrique orientale anglaise,167
EUROPE,162
South America?,158
Asia / Australia,147
N. Africa,145
CAPTIVE,143
Southeast Asia,140
North America ?,138
Mediterranean,119
Afrique orientale,112
9,110
10,109
S.E. Africa,106
Asia?,102
Oceania*,100
Southern Ocean,99
Europe; Asia,98
Persian Gulf,85
OCEANIA,84
Oceanic Islands,82
Atlantic,80
Antilles,79
Austalasia,74
Arctic,72
Asia ?,70
Africa?,66
Indian ocean,54
Asie centrale,54
3,52
1,49
Carribbean,43
Australia ?,40
Océan Indien,38
CENTRAL & SOUTH AMERICA,36
Europe ?,36
Oceania?,35
Coral Sea,34
11,33
Asia/Indoaustralia,32
Australasia?,29
Asia/Europe,29
Europe?,29
Unplaced,29
Arabian Sea,28
Gulf of Guinea,28
Asie mineure,27
Greenland,27
North and Central America,27
Central America*,26
N Africa,25
E Africa,25
North America*,25
12,24
Europe*,24
Africa ?,22
South America*,22
Central/So. America,21
South China Sea,20
Gulf of Thailand,20
Asia*,20
Gulf of California,19
2,19
Central America?,18
Undefined,17
ANTARCTICA,16
Cent. Africa,16
Europe/Asia,16
Pacific O,16
North Atlantic Ocean,16
West Africa,16
S. Africa,16
Gulf of Panama,15
Atlantique,13
Afrique australe,13
East China Sea,12
Afrique occidentale,12
Gulf of Tadjoura,12
Eurasie,12
Sea of Japan,12
Antartica,11
South Atlantic Ocean,10
Asie septentrionale,10
NE Africa,9
Asie ?,9
North E. Africa,8
?,8
Tasman Sea,8
S. America,8
Amérique septentrionale,8
North America; Central America; South America,7
Afro-Eurasie,6
Europe (?),6
Asie du Sud-Est,6
North America*?,6
NORTH OR CENTRAL AMERICA,6
Bay of Bengal,5
Africa*,5
Asia; North America,5
Pacifique,5
S.E Africa,5
Amérique méridionale,5
N. America,5
Asia/Indoaustralia?,4
Atlantic?,4
Amérique centrale ?,4
Océan Pacifique,4
Pacific/Indian Ocean,4
Asia / Australia ?,4
Palearctic,4
Lesser Antilles,4
Afr.,4
Europe?; North America?,4
Afrique ?,3
N.C. Africa,3
North American,3
Afrique occidentale française,3
Andaman Sea,3
North Americav,3
Java Sea,3
South America*?,3
No Data,3
Philippine Sea,3
ASIA?,3
/,3
Pacific O.,3
South Pacific Ocean,3
North America (?),2
P.E. Africa,2
NORTH SEA,2
Asia?/Indoaustralia?,2
Antilles françaises,2
Amérique du Sud ?,2
sans origine,2
Sulu Sea,2
Amérique centrale et du Sud,2
French East Africa,2
Mediterranean/Atl?,2
Malay Penin.,2
Bering Sea?,2
PACIFIC OCEAN,2
Africa/Asia/Europe,2
Baltic Sea,2
Caribbean Ocean,2
N. W. Africa,2
Asie du Sud-Est et Océanie,2
N. Cent. Africa,1
Afrique du Sud,1
Afrique équatoriale,1
C. Africa,1
north America,1
Mediterranean and Black Sea,1
Bismarck Arch.,1
Amérique ?,1
Eastern Hemisphere,1
S America/N America,1
Centr. Africa,1
Windward Island,1
"Austràlia, Oceania i altres terr",1
CENTRAL AND SOUTH AMERICA,1
Australia*,1
West Indies?,1
CENTRAL AFRICA,1
Pacific Ocean?,1
Brit. Central Africa,1
Australia?,1
N.E. of Africa,1
Afrique noire,1
Asia/Indian Ocean,1
North of Iceland,1
Bali Sea,1
North America; South America,1
New Zealand,1
North america,1
Laccadive Sea,1
Black Sea,1
North Sea,1
.,1
Eastern China Sea,1
E. Tropical Pacific,1
Africa; Asia,1
Afrique centrafricaine,1
Central Africa,1
Trinidad and Tobago,1
Ross Sea,1
British West Africa,1
?Santa Cruz Ids.,1
Tyrrhenian Sea,1
Banda Sea,1
Pet Trade,1
AFRICA ?,1
Cent. E. Africa,1
W.C. Africa,1
Asia; Europe,1
Sin Pen.,1
No. Africa,1
Celebes Sea,1
Central or N.America,1
British W. Africa,1
S Africa,1
Africa*?,1
West Indies*,1
Caribbean Sea?,1
OLD WORLD,1
Noth America,1
ATLANTIC OCEAN,1
Sinai Pen.,1
Windward Islands,1
North Africa,1
Europe?; Asia?,1
"Africa, Asia ?",1
Adriatic Sea,1
