license,reps
CC0,7741397
Actinopterygii,30
http://creativecommons.org/publicdomain/zero/1.0/,321953
ex coll. K. Post,7952
ex coll. C. Eykman,117
ex coll. A.B. van Deinse,135
ex coll. Bauke Hoekstra,24
ex coll. Harold van der Steen,1
dominicanus,1
inesperatus,2
ex coll. W. Hofman (Moordrecht),6
hybrida,2
ex coll. Universiteit van Utrecht,2
ex coll. J.H. v.d. Velden,10
"ex coll. Princeton University, Dept. of Geological and Geophysical scienses, New Jersey",5
ex coll. K. Post (Stolzenbach),2
swainsoni,2
atricapillus,3
unicolor,2
pusilla,3
ex coll. Universiteit Utrecht,4
"ex coll. Afdeeling Handelsmuseum der Kon. Ver. Koloniaal Instituut. Mauritskade 64, Amsterdam",1
grantii,3
caribou,1
consobrinus,1
hypospodius,1
ex coll. Risdon Beazley Marine Ltd.,1
rufipennis,1
Mammalia,183
fish indet.,11
ex coll. B.Z. Salomé,13
ex coll. Kabinet van Deinse / schoolcollectie Erasmiaans gymnasium,40
ex coll. H. Apon,13
melanota,33
ex coll. Erasmiaans gymnasium,10
ex coll. Anton van Schip,7
nivalis,3
ultimus,3
ex coll. W.C. van Heurn,23
ex coll. M.C. van Leeuwen,1
ex coll. J.H. Drenth,40
mexicanus,1
ex coll. Missie Museum Steyl,15
iliaca,3
ex coll. Tropen Instituut,2
brachyrhynchus,1
dinemelli,1
cinnamominus,1
americanus,1
asio,1
specularioides,3
domesticus,1
nearctica,3
talpoides,1
rubescens,1
ex coll. South African Museum Capetown,1
sonoriensis,1
vociferus,2
ex coll. K. Post (Zeeuws Genootschap der Wetenschappen Middelburg),1
splendens,1
major,1
yucatanicus,1
"ex coll. E.J.O. Kompanje, D. van Duijn & O.E.P. van Duijn",1
derbianus,1
athinus,1
egretta,1
ex coll. E. van Rijckevorsel and ex. coll. Historisch Museum Rotterdam,1
ex coll. J.B. Maas,67
ex coll. ZMA,1
ex coll. B. Hoekstra,31
ex coll. Stolzenbach,88
ex coll. Rijkskweekschool voor Vroedvrouwen Rotterdam,65
ex coll. Davies,1
ex coll. P.Y. Sondaar,218
CCBYNC,203669
pollicaris,3
ex coll. A. van Schip,37
ex coll. Rotterdams Lyceum,4
ex coll. Missie Museum Steijl,15
ex coll. Zoölogisch Museum Utrecht,11
bromia,1
yucatanensis,5
picta,5
alascensis,11
hyemalis,4
"ex coll. RMNH, Leiden",15
ex coll. Harold Baron Loudon,3
stolidus,2
ex coll. mw. Prof.dr. J. v.d. Brink,1
niger,2
blatteus,2
texensis,2
princeps,2
ex coll. Erasmiaans Gymnasium,2
pyrope,2
ex coll. Natuurmuseum Enschede,8
ex coll. Educatieve Coll. Naturalis,2
ex coll. G. Th. de Vries,1
marinus,1
pinnatus,1
ex coll. Roeleveld,3
ex coll. A.B. van Deinse ?,1
palmeri,1
ex coll. C. Geeratz,2
semiatra,3
sadai,1
ex coll. G. Willemsen,1
tristis,1
ex coll. Rotterdamsche Diergaarde / Lutkie,1
leucophaeus,2
ex coll. C. van den Berg,1
ex coll. Berlijn Zoo,1
guatemalensis,1
conspectus,2
ex coll. J.N.J. Post,449
ex coll. Tschüsi ?,1
ex coll. A.H.M. van den Bogaard,20
ex coll. H.W. Oosterink,66
no migrator,9605
ex coll. P. Slootweg,31
ex coll. J.W.G. Schoterman,7
ex coll. van Rhijn,1
ex coll. J.A.W. Lucas,13
ex coll. Dick Stam,2
ex coll. C.M. Esser,9
flavirostris,3
melodia,6
ex coll. Zoologisch Lab. Leiden,11
flavinucha,1
hudsonicus,2
strepera,3
ex coll. Goois Lyceum Bussum,2
australis,3
ex coll. PABO Rotterdam,5
ex coll. W.F. Guilonard,1
acuflavidus,1
ex coll. K. Post (D. Mol),1
minor,1
ex coll. Wijdooge,2
ex coll. S.Y. Kan,2
lomvia,1
ex coll. Ned. Mij. v.d. Walvischvaart,1
fedoa,1
ex coll. W. Hofman,1
ex coll. Minderhoud,1
elucus,2
ex coll. H.P.M.G. Menkhorst,1
CCBY,2292875
mammal indet.,6
ex coll. A.F.de Jong,5
ex coll. P.H.F. Bor,421
ex coll. W.F.A. Guilonard,266
ex coll. ZMU,86
ex coll. Rotterdamsche Diergaarde,37
ex coll. A.C.V. van Bemmel,6
ex coll. A. Ten Dam,49
ex coll. kabinet van Deinse,78
fuscus,4
arborea,4
ex coll. A.W. Ritman,15
magellanicus,6
sandwichensis,7
ex coll. Accent College Vlaardingen,4
ex coll. A.H.M. van den Boogaard,5
xanthetraea,1
suahelicus,2
ex coll. RMNH,3
luteus,1
trichas,2
rufescens,1
olivaceus,1
pallidiceps,1
assamense,1
ex coll. E.J.O. Kompanje & J.N.J. Post,2
fretensis,1
alle,1
ex coll. Kabinet van Deinse,1
alba,2
ex coll. E. van Rijckevorsel and ex coll. Historisch Museum Rotterdam,1
velox,1
phoeniceus,2
palliatus,1
coronata,1
leucopterus,1
ex coll. Ecomare Texel,1
polyosoma,1
hypoleucos,1
ex coll. NAMEZ (Stichting Natuurmuseum en Milieueducatie Zwolle),1176
ex coll. W. Beekhuizen,703
ex coll. G.Th. de Vries,411
ex coll. E.J.O.Kompanje,349
obscurus,1
ex coll. F.J.A. Slieker,1
ex coll. A. Slabber,12
couesi,9
ex coll. G.H. Lambert,77
ex coll. Zoölogisch Museum Amsterdam,6
chimango,3
ex coll. J.W.F. Reumer,14
magna,1
ex coll. A.Slabber,5
atriceps,1
purpureus,2
ex coll. B. Verhoeff,2
ex coll. Mark Bosselaers,2
thermophila,2
ex coll. kabinet van Deinse ?,1
ex coll. Educatieve Collectie Naturalis,3
ex coll. E.J.O. Kompanje & F.J.A. Slieker,1
ex coll. Zoölogisch Laboratorium Utrecht,1
loyca,7
praticola,2
gambelli,3
migratorius,2
ex coll. Jhr. W.C. van Heurn,3
ex coll. van Roon,1
ex coll. Kabinet van Deinse / Schoolcollectie Erasmiaans gymnasium,1
ex coll. R.S. Struiksma-Hassoun,1
arizonae,1
aranea,1
pinus,4
malouinus,3
melanopis,1
ex coll. biologiekabinet Wilhelmina PABO Rotterdam,1
CC-BY-NC,3134866
,5460463
https://creativecommons.org/licenses/by-nc/4.0/,443287
ex coll. J.P. Thomassen,1
ex coll. E.J.O. Kompanje,787
ex coll. David Mayhew,150
ex coll. Bezemer,1
ex coll. Natuurhist. Mus. Brouwenerzand,1
Reptilia,58
purpuroptera,2
ex coll. Nationaal Onderwijs Museum,3
ex coll. J. Veegers,4
ex coll. van Dashorst & Partners,11
nelsoni,11
ex coll. H.L. Blonk,18
gramineus,2
ex coll. I. Fernandez,1
spinicauda,6
ochracea,3
magnus,1
ex coll. H. Bax,7
ex coll. Nederlandsche Handels-Hoogeschool,1
ex coll. Drenth,2
hypochrysea,1
ex coll. B.A. v.d. Velden,2
ex coll. J.G.B. Nieuwenhuis,5
ruficollis,1
ex coll. Blijdorp ?,2
ex coll. Ing. J.C. Groenendijk,2
erythrophthalmus,1
umbellus,2
rufa,1
marginella,2
superbus,2
ex coll. F. Kagei,1
campestris,2
ex coll. Embryologisch Instituut Utrecht,1
ex coll. R.S. Struiksma - Hassoun,1
crissalis,1
brasilianus,1
louisianensis,1
ex coll. A.F. de Jong,2
ex coll. Ichthus Hogeschool Rotterdam,1
leucogaster,1
exilipes,1
