day,reps
10,499945
,4661816
17,460170
1,868147
22,469212
13,458684
6,398113
01,72447
08,61951
07,65218
1993,1638
2003,2182
1978,715
1928,608
1987,2186
1930,1503
1990,3032
1904,1169
1953,2233
1896,498
1897,376
1952,3362
1958,1161
1911,505
1910,282
1889,73
78,471
62,366
68,456
40,17
-6.8297222222,1037
-7.8800000000,240
-9.0169444444,130
-7.1700000000,47
-8.1700000000,32
-3.2300000000,92
-6.1997222222,131
1879,48
1887,77
-10.5297222222,6
-3.8497222222,29
94,5
1883,17
97,8
45,6
83,27
1873,4
1852,1
-9.5833333333,3
1882,10
15 and 18,2
-6.3497222222,14
2-5,4
2013,2
42,3
-7.7800000000,2
2215,1
-7.2800000000,6
-7.6166666666,7
-6.2833333333,6
1850,2
1872,4
148,1
2021,2
1854,1
-8.3666666666,2
1700,2
25,466775
3,386947
0,56350
1888,114
1989,1401
1970,906
1944,480
2004,3279
1929,3164
1898,1034
1985,2654
1922,1680
1954,3517
1905,668
1983,1529
1955,1309
1942,436
2002,2096
1901,2007
1899,816
1909,246
1893,149
1918,87
00,8795
63,791
85,21
47,101
-3.0497222222,395
-7.8697222222,102
-10.6497222222,42
-1.2200000000,33
-7.8897222222,105
-5.5666666666,6
-9.4700000000,33
-5.9200000000,30
4-5,7
198,1
54,44
-8.1197222222,38
-8.5000000000,30
-4.2500000000,22
39,23
1415,15
810,2
33,29
-5.0797222222,29
13-14,2
34,29
-8.1897222222,8
29-03,1
-6.3697222222,1
-7.8666666666,2
1878,8
269,1
-8.0297222222,7
2009,3
-10.4500000000,1
-7.5797222222,3
-8.6800000000,5
2526,1
1863,4
10142009,1
511,4
308,1
42007,1
-3.3800000000,1
1528,1
10-11,3
42099,2
14,469763
30,458279
29,422161
27,456903
23,467062
09,64727
92,5
1977,1055
1982,654
1975,1037
1941,1316
1971,1246
1912,1076
1938,1112
1991,3193
1973,1320
1920,490
1969,986
1926,2195
1908,409
1925,1645
79,90
82,64
-10.5500000000,283
-6.0000000000,159
-6.6197222222,67
-6.8800000000,50
-9.4938888888,154
1819,12
2022,28
1618,6
57,20
-5.1000000000,1
-4.0597222222,43
-9.9200000000,4
-9.2500000000,3
-6.1666666666,19
2324,24
1885,15
-4.7697222222,1
-8.5200000000,4
-6.7500000000,5
93,14
-9.5797222222,59
-6,6
"4, 14, 25",2
86,15
89,1
11-12,5
99,5
-7.7500000000,4
?,2
1869,4
-7.0500000000,3
-8.6497222222,3
192021,1
-7.2666666666,1
-3.7000000000,7
-6.9697222222,1
-7.8916666666,1
113,1
1851,2
-7.8333333333,1
1015,1
44,3
1824,1
20-24,1
0.2,1
1216,1
-6.5500000000,1
19,458028
8,403363
2,387399
15,508878
18,474487
12,482012
06,60304
04,59913
1886,155
1964,2950
1959,985
1923,2186
1963,4801
1934,2032
1913,739
1895,2832
2001,2272
1999,1888
2005,2630
1998,2067
1876,8
77,303
64,300
75,257
76,236
53,38
36,40
-10.2797222222,1446
-5.0997222222,63
-9.1300000000,51
-4.0797222222,115
-5.9800000000,33
-7.0997222222,54
38,81
-6.6700000000,23
-6.9297222222,27
-2.9800000000,13
3-4,7
8-14,1
2728,3
1-3,8
1621,1
-6.8000000000,10
-4.7138888888,4
9-10,6
ca. 01,1
-7.1666666666,3
1625,2
96,3
-2.0697222222,1
614,1
"25 July,",1
11,462104
26,457871
05,61387
1967,1459
2530,90
67,43
1877,22
8-11,6
1997,3007
1996,2087
1995,2030
1972,1790
1961,1906
1980,727
1936,661
1951,3404
1940,1537
1949,2254
1956,1970
1932,2532
1931,2775
1933,482
1950,4391
1891,118
1906,1243
1924,763
2000,1996
1921,270
1957,1612
84,51
69,615
81,241
51,117
-6.1300000000,67
-6.2800000000,176
-3.7797222222,132
