georeferenceVerificationStatus,reps
verified by DEK,1372
verified by RS,1979
requires verification,4121780
unverrifed,112
Verified 20030729,1
Needs georefrencing,1
verified by KC,3086
verified by JLW,560
,12941869
unverifed,19
Needs georeferencing,9755
not georeferenced,1418
verified,14020
"verified by KC, RS",6
needs georeferencing,19
e=requires verification,1
verified by collector,12159
not verified,948
Not verified,12525
',1
requires verrification,1
Verified by contributor,15425
Unverified,172562
checked by curator,21844
CoGe_skipped_2015-02-04,7201
need verification,1
unverrrified,2
"verified by DEK, KC",2
unverified,1790878
checked by collector,4399
"Tyner, Megan",1
verified by RC,4
requres verification,1
Verified by data custodian,49514
unverrified,256
Requires verification,27
verification required,157171
verified by curator,162177
Verified by data contributor,324
CoGe_corrected_2015-02-04,119658
needs verification,6
needs validation,1
"verified, 20081023",1
