taxonRank,reps
species,6505114
,9450250
Scorpaeniformes,19
Characiformes,38
Onychodontiformes,28
Cimolesta,101
Class,3510
Condylarthra,210
Rajiformes,3
Falconiformes,5
Caprimulgiformes,5
Siluriformes,13
Petromyzontiformes,5
Procreodi,5
Kingdom,8
Piciformes,9
Cete,17
Pachycormiformes,1
Cladoselachiformes,1
Lagomorpha,2
Cetacea,2
Perciformes,100
variety,69
Family,7987
Order,5669
Primates,91
Crocodylia,34
Genus,5562
var.,105
Beryciformes,6
Coraciiformes,2
Lophiiformes,5
Gaviiformes,1
Bucerotiformes,4
Galliformes,24
Amiiformes,1
Pelecaniformes,7
Musophagiformes,2
Aulopiformes,4
Chiroptera,5
Thecodontia,1
Percopsiformes,2
genus,379009
specificEpithet,165265
class,56211
order,51260
Genus or Species,991
Artiodactyla,160
Pterosauria,46
Perissodactyla,316
Superorder,108
Sauropterygia,6
Ornithischia,1
Salmoniformes,45
Charadriiformes,76
undefinable,7
Myctophiformes,3
morpha,22
Cuculiformes,8
holotype,4
Ichthyodectiformes,4
Gruiformes,1
Suliformes,3
Clupeiformes,1
family,112128
Cypriniformes,108
Pleuronectiformes,2
Species,198830
Infraorder,133
Superfamily,337
Passeriformes,205
Tribe,11
Superclass,13
Captorhinida,1
Sparassodonta,1
Chimaeriformes,2
Ichthyornithiformes,1
||||,1
Procellariiformes,1
Caudata,130
Anura,182
Gadiformes,11
Osteoglossiformes,8
phylum,6491
Subfamily,331
Squamata,164
Dermoptera,9
Saurischia,1
Subspecies,107845
Rodentia,31
Strigiformes,4
Columbiformes,4
|||||,3
Ptyctodontida,1
Notoungulata,2
Myxiniformes,1
subspecies,2545750
Testudines,17
Accipitriformes,8
infraspecificEpithet,4943
kingdom,10974
Creodonta,23
Esociformes,20
Cyprinodontiformes,11
Soricomorpha,5
Clade,13
Stomiiformes,10
Proboscidea,4
Multituberculata,7
Atheriniformes,3
hypodigm,1
Apodiformes,4
Squaliformes,1
Temnospondyli,1
Gasterosteiformes,10
Suborder,992
Subclass,382
Carnivora,65
Subphylum,200
Anseriformes,47
Anguilliformes,13
Zeiformes,6
Didelphimorphia,1
insectivore? indet.,1
Osmeriformes,3
Hesperornithiformes,1
insectivore indet.,4
Polymixiiformes,1
