identificationQualifier,reps
A,1641371
A {string},2249
sp. nov.,952
kobelti sp. nov.,1
cf. leptacanthus,1
sp. indet.,212
Undetermined,11
cf. aestivalis C,3
near,6
macrochirus X sp.,2
proserpina X Notropis sp.,1
x punctulata,1
chrysocephala sp. nov.,1
cf. septemfasciatum,2
oreas x Nocomis sp.,1
cf. clarki,1
haematodus x Eos sp.,1
cf. aestivalis “C”,2
cf. gagei,2
Unccertain,1
nachtriebi x Chrosomus sp.,1
sp. div.,1
Possible Hybrid,1
sp. aff. lysina,1
x hybrid,1
"J. Mamm., 61 (1): 66-75, 1980",1
A ?,1644
aff.,45
Uncertain,112
cf. aestivalis “A”,14
cf. zonistium,62
cf. occidentalis,1
cf. duryi,4
cf. episcopa,2
cf. parvus,2
Bridger Fm,68
cf. austrinum,1
cf. ditrema,50
cf. swaini,5
Hornerstown Fm,17
cf. phaeton,1
x harlani,1
cf. aestivalis B,1
aff. galaxias,7
wood-masoni sp. nov.,1
cf. saylori,1
cf. rhytisma,1
cf. alfari,1
x americana,1
cf. hemiurus,2
cf. floridae,1
cf. cyprinus,2
aff. punctitaeniatus,1
cf. aestivalis D,2
sp. near,1
Severn Fm,1
x oreganus,1
colchicus mongolicus X colchicus ssp.,1
x lupus,1
cf. melanonotata,1
species in question,4812
genus in question,4428
C. sp. X P. colchicus,11
?,740
sp. incert.,71
A or B,649
cf. lentignosum,2
cf. carbonaria,81
A and B,156
cf. bairdi,43
cf. stigmaeum,12
cyanellus x L. sp.,2
Questionable,55
Nacimiento Fm,26
cf. bellator,41
cf. asprigene,1
cf. fenestratum,1
cf. elongatus,1
novecrinita sp. nov.,1
San Jose Fm,1
ssp.,8927
subspecies in question,2837
cf. aestivalis,132
AFF.,116
Niobrara Fm,192
Harrison Fm,36
cf. beldingi,2
cf. aestivalis A,20
janitor sp. nov.,1
cf. macrocephala,4
Uinta Fm,1
cf. maculata,1
Chadron Fm,2
Chinji Fm?,1
S. ellioti X G. sp.,2
cf. caprodes,2
fusca sp. nov.,5
Green River Fm,1
cf. pteroides,1
"genus in question, species in question",1
hybrid,1
cf. albifimbria,1
x luteus,1
cf. platiceps,1
,17682125
cf.,2318
A / B intergrade,241
cf. carolinae,183
cf. spectrunculus,47
cf. lachneri,1
x geolthlypis,10
Santa Cruz Fm,2
Brule Fm,6
Lower Harrison Fm,13
cf. balteatus,1
cf. cyrano,2
cyanellus X sp.,3
sp. hybrid,3
x cafer,1
sp. X sp.,7
aegyptiaca X sp.,3
cf. nigrofasciata,2
cf. aureum,2
incertae sedis,2
aff. marinus,2
cf. vitreus,3
cf. erythrogaster,1
cf. cubana,1
malthe x sp.,1
Cutler Fm,1
cf. palmaris,1
uncertain,1133
sp.,196335
cf. aestivalis “B”,35
in question,1118
A cf.,627
cf. ramseyi,28
Willwood Fm,786
cf. vitreum,5
"van Zyll de Jong, C.G. 1980. Journal of Mammalogy, 61(1); 66-75",1
cf. velifer,6
ssp. nov.,3
Cleveland Sh,1
Dhok Pathan Fm?,2
pipilodryas sp. nov.,2
cf. caeruleum,2
cf. cognatus,4
cf. asperifrons,1
cf. munitus,2
cf. pantostictum,1
cf. leuciodus,1
cf. mykiss,2
cf. sapo,1
gardineri sp. nov.,1
x virginianus,1
asper gen. nov.,1
cf. arcticus,1
Ogallala Fm,1
A sp.,28697
cf. winchelli,251
A x B,5333
A ssp.,21033
cf. longirostris,64
x caerulescens,1
CF.,12235
A aff.,18
cf. bairdii,3
x tolmiei,5
sp. cf. rubellus,8
cf. punctulatum,8
cf. coosae,5
cf. rubellus,1
egregia or sp. nov.,2
cf. spectabile,1
Nemegt Fm,1
philadelphia X tolmei,1
50%,1
cf. hypselopterus,2
x macrovra,1
Allegheny Fm,2
C. sp. X G. nycthemerus,10
cf. poecilurum,2
Chinji Fm,2
venusta X sp.,2
x genus changed from Amphispiza according to Clements 6.7,2
sp. cf. sollasi,1
Dakota Fm,1
cf. caeruleomentum,2
curiosus sp. nov.,1
+,1
cf. vulgaris,1
Andalgala Fm,1
