continent,reps
North America,10412051
,2486584
South America,1817152
Australasia,1286112
Asia,1280483
Africa,1149704
Europe,635552
Oceania,395436
Central America,173875
Atlantic Ocean,168897
Afrique,99575
Indo-West Pacific,58720
Australia,47666
Eurasia,37861
NE Pacific,35922
Pacific Ocean,34773
Gulf of Mexico,31559
Asie,31521
Caribbean Islands,29188
no higher geography recorded,27598
West Indies,27435
NORTH AMERICA,23898
Caribbean Sea,23730
Locality Unknown,23531
New Guinea,22577
Antarctica,17953
South Pacific,15008
Indian Ocean,12166
NW Atlantic,10373
Caribbean,9356
NW & Central Pacific,9321
Wallacea,8238
Amérique du Sud,8113
Amérique,8069
Water Body,8007
No data,6756
Océanie,4600
SE Pacific,4240
"Unknown, Captive",3840
ASIA,3440
Afrique du Nord,3378
Australian,3070
Pacific,2796
Unknown,2776
SW Atlantic,2547
Antillean Islands,2439
North Pacific Ocean,2385
Arctic Ocean,2183
WEST INDIES,2126
Amérique centrale,1931
Amérique du Nord,1740
SOUTH AMERICA,1459
Atlantic,1425
NE Atlantic,1401
Red Sea,1364
unknown continent,1350
N.E. Africa,1283
SE Atlantic,1104
W. Africa,1074
Pacific ocean,1057
West Indian Ocean,990
W Africa,900
CENTRAL AMERICA,881
Afrique centrale,822
Greater Antilles,795
Antarctic,784
Àfrica,756
N.W. Africa,648
Atlantic ocean,648
Americas,637
Mediterranean Sea,634
CAPTIVE,573
unknown,569
E. Africa,526
Amèrica,521
UNKNOWN,486
Indoaustralia,481
S.W. Africa,449
Bering Sea,373
Ozeania,369
Amérique Centrale,363
Antarctique,330
North America?,324
AFRICA,298
Afrique de l'Ouest,284
Indéterminé,270
South America ?,257
N.E Africa,227
Oceanic,219
Àsia,211
Amérique Tropicale,205
Afrique Orientale,180
Afrique de l'Est,167
Afrique orientale anglaise,167
South America?,148
Asia / Australia,147
N. Africa,145
North America ?,143
EUROPE,139
Mediterranean,118
Afrique orientale,112
S.E. Africa,106
Oceania*,101
Southern Ocean,99
Europa,95
Persian Gulf,86
Oceanic Islands,82
Antilles,79
Europe ?,77
Asia ?,74
Austalasia,74
Indian,74
OCEANIA,73
Africa?,64
Asia?,61
Europe; Asia,61
Central America*,57
Asie centrale,54
Indian ocean,54
Arctic,51
Australia ?,45
Carribbean,43
Océan Indien,38
South America*,36
Oceania?,35
Coral Sea,35
North America*,34
Asia/Indoaustralia,32
Europe?,29
Unplaced,29
Australasia?,29
Asia/Europe,29
Gulf of Guinea,28
Arabian Sea,28
Asie mineure,27
E Africa,25
N Africa,25
Europe*,24
Asia*,24
Africa ?,24
Central/So. America,21
South China Sea,21
Gulf of Thailand,20
Gulf of California,19
Undefined,17
Pacific O,16
Europe/Asia,16
S. Africa,16
Central America?,16
West Africa,16
Cent. Africa,16
North Atlantic Ocean,16
Greenland,15
Gulf of Panama,15
East China Sea,13
Atlantique,13
Afrique australe,13
Gulf of Tadjoura,12
Eurasie,12
Sea of Japan,12
Afrique occidentale,12
South Pacific Ocean,12
Antartica,11
Asie septentrionale,10
South Atlantic Ocean,10
Tasman Sea,10
NE Africa,9
Bay of Bengal,9
Asie ?,9
Africa*,9
North E. Africa,8
S. America,8
Amérique septentrionale,8
?,8
North America; Central America; South America,7
Andaman Sea,6
Afro-Eurasie,6
Asie du Sud-Est,6
North America*?,6
Asia; North America,5
Lesser Antilles,5
Amérique méridionale,5
No Data,5
Asia / Australia ?,5
Pacifique,5
N. America,5
S.E Africa,5
North American,4
Amérique centrale ?,4
Palearctic,4
Afr.,4
Océan Pacifique,4
Pacific/Indian Ocean,4
Philippine Sea,3
South America*?,3
/,3
Pacific O.,3
Afrique ?,3
N.C. Africa,3
North Sea,3
Southeast Asia,3
Europe?; North America?,3
Java Sea,3
ASIA?,3
Afrique occidentale française,3
North and Central America,3
French East Africa,2
Antilles françaises,2
Baltic Sea,2
Bering Sea?,2
Caribbean Ocean,2
Africa/Asia/Europe,2
Asie du Sud-Est et Océanie,2
sans origine,2
Malay Penin.,2
N. W. Africa,2
Asia?/Indoaustralia?,2
Amérique centrale et du Sud,2
PACIFIC OCEAN,2
Amérique du Sud ?,2
Sulu Sea,2
P.E. Africa,2
Asa,1
Laccadive Sea,1
Sin Pen.,1
"Austràlia, Oceania i altres terr",1
Africa*?,1
?Santa Cruz Ids.,1
Banda Sea,1
Central Africa,1
S America/N America,1
Trinidad and Tobago,1
Celebes Sea,1
N.E. of Africa,1
Amérique ?,1
Noth America,1
British W. Africa,1
Asia / Europe,1
British West Africa,1
Captive specimen,1
North of Iceland,1
Asia; Europe,1
north America,1
Europe?; Asia?,1
West Indies*,1
Africa; Asia,1
Bismarck Arch.,1
Black Sea,1
Australia?,1
Brit. Central Africa,1
Pacific Ocean?,1
Afrique noire,1
No. Africa,1
Central or N.America,1
New Zealand,1
Pet Trade,1
W.C. Africa,1
Adriatic Sea,1
Afrique du Sud,1
-78.943648,1
Australia*,1
Sinai Pen.,1
Afrique centrafricaine,1
Bali Sea,1
S Africa,1
Afrique équatoriale,1
C. Africa,1
North America; South America,1
N. Cent. Africa,1
Tyrrhenian Sea,1
Ross Sea,1
North Africa,1
Asia/Indian Ocean,1
ATLANTIC OCEAN,1
Centr. Africa,1
Eastern Hemisphere,1
Cent. E. Africa,1
.,1
North america,1
