geodeticdatum,reps
,9718046
not recorded (forced WGS84),3310733
not recorded,2457991
WGS84,2337467
North American Datum 1927,631937
NAD27,617014
World Geodetic System 1984,445826
unknown,440024
NAD83,215028
WGS 84,124497
AGD66,84164
North American Datum 1983,39629
PRP_M,27726
NAD 27,19162
Japanese Geodetic Datum 2000,9840
Ocotepeque 1935,8653
GDA94,8039
Fundamental de Ocotepeque,7463
WGS 1984,5647
WGS1984,5256
AGD84,3852
Provisional South American 1956,3034
World Geodetic System 1972,2808
Not recorded,2557
NAD1927,2069
Bogota Observatory,2054
Australian Geodetic 1966,1858
Geodetic Datum of Australia 1994,1551
Hu-Tzu-Shan,1442
GPS,1151
Australian Geodetic 1984,1019
Not Recorded,1011
NAD 83,959
"UTM NAD27, NAD83 Decimal Degrees",909
South American Datum 1969,899
"UTMG NAD27, Decimal Degrees NAD83",896
New (1960) Arc,739
Clarke 1858,468
Guam 1963,459
Kenya Colony,405
Kusaie Astro 1951,373
World Geodetic System 1966,339
Amersfoort,317
Corrego Alegre,245
WGS 1984 (WGS 84),236
Arc 1960,219
European 1950,211
Djakarta (Batavia),207
WGS72,201
WGS84/NAD83,182
Luzon,176
wgs84,174
GUX 1 Astro,141
Indian 1960,139
Australian Geodetic Datum 1966,122
Schwarzeck,103
NAD 1983,102
WGS,94
Reunion,90
NAD 1927,85
Ordnance Survey of Great Britain 1936,77
Lemuta,74
Indonesian 1974,73
New (1950) Arc,70
NAD83/WGS84,64
Unknown,63
WGS 163,54
Ireland 1965,52
Kertau 1948,49
Geocentric Datum of Australia 1994,48
18 43' 46.6 N 109 52' 34.2 E,47
Indian 1975,43
American Samoa 1962,43
Provisional La Conoa 1956 (Venezuela),42
NAD27BAH,40
"NAD27 UTM, NAD83 Decimal Degrees",36
Tokyo Datum,33
POS,31
NAD28,29
NAD - 1927,28
Viti Levu 1916,27
UNKNOWN,27
NAD1983,26
WGS 159,26
18 54' 20.2 N 109 40' 48.6 E,22
Montserrat Island Astro 1958,22
Ain el Abd 1970,20
Fort Thomas 1955,19
CAPE,18
19 06' 55.3 N 109 05' 52.5 E,18
UTM projection,18
Ocotepeque,17
WGS85,17
GRA,14
International 1924 ellipsoid,13
WGA84,13
18 42' 24.0 - 18 41' 14.1 N  109 52' 55.5 - 109 52' 45.8' E,11
UTM NAD27,10
18 42' 24.0 N 109 52' 55.5 E,10
(NAD27) North American 1927,10
NAD83/WGS128,9
1962 American Samoa,9
Indian 1954,8
NAD29,8
WGS83,8
WGS 102,8
18 44' 01.4 N 109 32' 54.0 E,8
WSG84,8
19 56' 15.4 N 110 14' 38.9 E,7
NWS84,6
NAD30,6
WGS86,6
WGS87,6
WGS 89,5
UTM,5
WGS 88,5
18 41' 14.1 N 109 52' 45.8 E,4
WGS48,4
WG84S,4
NAD,3
NAd27,3
3635.192,3
Antigua Island Astro 1943,3
Trib. To Na,3
NAD83/WGS100,3
NAD83/WGS94,3
Astronomic Station Ponape (1951),3
WGS84 (transferred from UTM),3
Wgs84,3
"NAD, WGS84",3
-84.845,2
2267.192,2
NAD34,2
NAD36,2
0.3 km,2
North American 1983,2
NAD32,2
18 43' 29.5 N 109 52' 07.4 E,2
NAd83,2
18 40' 27.6 N 109 36' 15.9 E,2
NAD33,2
WGS 1972,2
WGS88,2
NAD35,2
NAD31,2
