license,reps
CC0,8576648
,2629121
CC-BY-NC,2041215
https://creativecommons.org/publicdomain/zero/1.0/,1647550
CCBY,1473234
http://creativecommons.org/publicdomain/zero/1.0/,1351366
http://creativecommons.org/licenses/by/4.0/deed.en_US,647167
https://creativecommons.org/licenses/by-nc/4.0/,522274
http://arctosdb.org/home/data/,498472
http://creativecommons.org/publicdomain/zero/1.0,237885
CCBYNC,203669
http://creativecommons.org/licenses/by-nc/4.0,189976
CC-BY,149745
http://creativecommons.org/licenses/by-nc-sa/3.0,133389
http://creativecommons.org/licenses/by-nc/3.0,96714
English,58819
http://creativecommons.org/licenses/by/3.0/,34837
http://fieldmuseum.org/about/copyright-information,20992
Sam Noble Oklahoma Museum of Natural History,18055
ex coll. K. Post,7952
https://creativecommons.org/licenses/by-nc/4.0/legalcode,4258
ex coll. NAMEZ (Stichting Natuurmuseum en Milieueducatie Zwolle),1176
ex coll. E.J.O. Kompanje,787
ex coll. W. Beekhuizen,703
ex coll. J.N.J. Post,449
ex coll. P.H.F. Bor,421
ex coll. G.Th. de Vries,411
ex coll. E.J.O.Kompanje,349
ex coll. W.F.A. Guilonard,266
ex coll. P.Y. Sondaar,218
ex coll. David Mayhew,150
ex coll. A.B. van Deinse,135
ex coll. C. Eykman,117
ex coll. Stolzenbach,88
ex coll. ZMU,86
ex coll. kabinet van Deinse,78
ex coll. G.H. Lambert,77
ex coll. J.B. Maas,67
ex coll. H.W. Oosterink,66
ex coll. Rijkskweekschool voor Vroedvrouwen Rotterdam,65
ex coll. A. Ten Dam,49
ex coll. Kabinet van Deinse / schoolcollectie Erasmiaans gymnasium,40
ex coll. J.H. Drenth,40
ex coll. A. van Schip,37
ex coll. Rotterdamsche Diergaarde,37
ex coll. P. Slootweg,31
ex coll. B. Hoekstra,31
ex coll. Bauke Hoekstra,24
ex coll. W.C. van Heurn,23
ex coll. A.H.M. van den Bogaard,20
ex coll. H.L. Blonk,18
ex coll. Missie Museum Steyl,15
ex coll. A.W. Ritman,15
"ex coll. RMNH, Leiden",15
ex coll. Missie Museum Steijl,15
ex coll. J.W.F. Reumer,14
ex coll. J.A.W. Lucas,13
ex coll. B.Z. Salomé,13
ex coll. H. Apon,13
ex coll. A. Slabber,12
ex coll. van Dashorst & Partners,11
ex coll. Zoologisch Lab. Leiden,11
ex coll. Zoölogisch Museum Utrecht,11
ex coll. Erasmiaans gymnasium,10
ex coll. J.H. v.d. Velden,10
ex coll. C.M. Esser,9
ex coll. Natuurmuseum Enschede,8
ex coll. Anton van Schip,7
ex coll. H. Bax,7
ex coll. J.W.G. Schoterman,7
ex coll. W. Hofman (Moordrecht),6
ex coll. A.C.V. van Bemmel,6
ex coll. Zoölogisch Museum Amsterdam,6
ex coll. A.Slabber,5
ex coll. A.H.M. van den Boogaard,5
ex coll. A.F.de Jong,5
ex coll. PABO Rotterdam,5
ex coll. J.G.B. Nieuwenhuis,5
"ex coll. Princeton University, Dept. of Geological and Geophysical scienses, New Jersey",5
ex coll. Universiteit Utrecht,4
ex coll. Accent College Vlaardingen,4
ex coll. J. Veegers,4
ex coll. Rotterdams Lyceum,4
ex coll. Harold Baron Loudon,3
ex coll. Educatieve Collectie Naturalis,3
ex coll. Roeleveld,3
ex coll. Nationaal Onderwijs Museum,3
ex coll. RMNH,3
ex coll. Jhr. W.C. van Heurn,3
ex coll. Ing. J.C. Groenendijk,2
ex coll. B. Verhoeff,2
ex coll. E.J.O. Kompanje & J.N.J. Post,2
ex coll. C. Geeratz,2
ex coll. Universiteit van Utrecht,2
ex coll. Educatieve Coll. Naturalis,2
ex coll. Dick Stam,2
ex coll. Goois Lyceum Bussum,2
ex coll. Blijdorp ?,2
ex coll. Wijdooge,2
ex coll. Mark Bosselaers,2
ex coll. K. Post (Stolzenbach),2
ex coll. S.Y. Kan,2
ex coll. A.F. de Jong,2
ex coll. Drenth,2
ex coll. Erasmiaans Gymnasium,2
ex coll. Tropen Instituut,2
ex coll. B.A. v.d. Velden,2
ex coll. biologiekabinet Wilhelmina PABO Rotterdam,1
ex coll. Kabinet van Deinse,1
ex coll. Risdon Beazley Marine Ltd.,1
ex coll. Harold van der Steen,1
ex coll. South African Museum Capetown,1
ex coll. Bezemer,1
ex coll. Nederlandsche Handels-Hoogeschool,1
ex coll. G. Willemsen,1
ex coll. H.P.M.G. Menkhorst,1
ex coll. Natuurhist. Mus. Brouwenerzand,1
ex coll. M.C. van Leeuwen,1
ex coll. kabinet van Deinse ?,1
ex coll. Berlijn Zoo,1
ex coll. Rotterdamsche Diergaarde / Lutkie,1
ex coll. F.J.A. Slieker,1
ex coll. W. Hofman,1
ex coll. Embryologisch Instituut Utrecht,1
ex coll. ZMA,1
ex coll. E.J.O. Kompanje & F.J.A. Slieker,1
ex coll. Davies,1
ex coll. mw. Prof.dr. J. v.d. Brink,1
ex coll. Zoölogisch Laboratorium Utrecht,1
ex coll. Minderhoud,1
ex coll. C. van den Berg,1
"ex coll. Afdeeling Handelsmuseum der Kon. Ver. Koloniaal Instituut. Mauritskade 64, Amsterdam",1
ex coll. K. Post (Zeeuws Genootschap der Wetenschappen Middelburg),1
ex coll. W.F. Guilonard,1
ex coll. R.S. Struiksma-Hassoun,1
ex coll. J.P. Thomassen,1
ex coll. E. van Rijckevorsel and ex. coll. Historisch Museum Rotterdam,1
ex coll. I. Fernandez,1
"ex coll. E.J.O. Kompanje, D. van Duijn & O.E.P. van Duijn",1
ex coll. van Roon,1
ex coll. Ecomare Texel,1
