lifestage,reps
,16928414
adult,977937
unknown,273646
adult/juvenile,235014
Adult,214523
juvenile,165557
larva,136000
Adult/juvenile,94282
immature,86474
u ad.,79077
U-Ad.,62731
ad,62024
egg,60052
Juvenile,53856
fresh,36890
NA,36574
Fresh,33609
Immature,32969
larval,32823
Pullus,30142
not applicable,28551
U,27392
Not recorded,25538
Ad,24714
ad.,24109
têtard,23516
Juv,23456
possible adult(s),22044
Unknown,21876
Adult or juvenile,20259
juv,16120
subadult,14649
Indéterminé,14408
imm.,13016
not recorded,12408
Larva,11715
imm,11219
2K+,10960
juv.,10627
2 adult,10343
J/A,9539
Adulte,8425
juvénile,8205
ad.sk.,7794
slight,7672
Ad.,7571
AHY,7342
AD,6859
Larvae,6618
ADULT,6363
young,6356
yolk sac,6073
Slight,5985
begun,5849
subad.,5704
adulte,5575
chick,5451
young of year,5404
Young,5229
3K+,5178
Subadult,5101
Begun,4789
embryo,4688
nestling,4674
3 adult,4620
Adult or Juvenile,4349
yg,4243
U-Ad,3994
2K,3969
advanced,3840
Estimate - minimum date,3605
Chick,3554
Range Estimate - minimum date,3469
started,3369
Juv.,3256
HY,3180
4 adult,2888
1K,2879
Advanced,2871
n/a,2842
undetermined,2784
hatch-year,2771
TADPOLES,2718
juvenile(s),2691
Started,2685
hatchling,2660
u imm.,2489
YOUNG,2463
natal,2381
Hatchling,2354
skull,2321
snco,2317
Imm.,2230
no bursa,2216
2 unknown,2204
commenced,2168
Larval,2166
5 adult,2121
Embryo,2090
imago,1898
Tadpoles,1855
downy,1833
Gosner 25-27: tadpole w/no legs,1791
Not recorded.,1748
Commenced,1728
larvae,1711
6 adult,1704
larva(e),1700
JUVENILE,1683
adult skull,1680
LARVAE,1665
u juv.,1619
sk.oss.,1576
Gosner 42: tadpole w/forelimbs emerged,1557
1 years,1512
U-Imm.,1509
Im.,1492
per,1474
hatched,1469
adults,1448
sy,1404
4 egg,1380
U-Juv.,1377
NST,1358
sco,1338
7 adult,1289
No Data,1275
52 WEEKS,1265
juvenil | Euring 3,1238
3 egg,1226
Tadpole,1199
Juvénile,1191
Nestling,1172
Metamorph,1127
hy,1121
infant,1106
im.,1082
TADPOLE,1069
full grown,1060
age by plumage,1041
Hatched,1024
22 WEEKS,1022
small embryos,1021
Mature,1016
not indicated,1005
adult | Euring 4,1004
fledgling,1001
Infertile,996
8 adult,989
[Ad.],980
Neonate,978
Eggs,974
NO BURSA; SKULL 100% OSS.,971
nat.,959
unk,945
2 egg,893
Leptocephalus,888
Euring 3,880
sub-adult,871
JUV,867
adult | Euring 6,856
Euring 4,845
39 WEEKS,838
imm.sk.,835
Ind,833
Estimate - 13640,830
SY,828
trace,827
23 WEEKS,825
showing blood,824
10 adult,820
meta-young,819
neonate,798
metamorph,788
nestl,785
Not Recorded,780
IMMATURE,766
Egg,766
well begun,761
D,753
3 unknown,745
9 adult,742
1,738
mature,735
after hatch year,728
BURSA NOT FOUND,724
Gosner 43: early anuran metamorph,723
of recorded,718
53 WEEKS,718
25 WEEKS,717
1/3,702
44 WEEKS,696
Fetus,695
1K+,693
24 WEEKS,692
just begun,691
other,680
Larva(e),677
large embryos,676
juveniles,674
5 egg,670
Gosner 46: anuran metamorph,667
fr,666
Euring 5,664
48 WEEKS,646
1/2,643
Gosner 44: anuran metamorph,631
adult; adult,629
11 adult,628
50 WEEKS,626
foetus,617
at time of field collection,617
45 WEEKS,613
CLASS,607
FR,606
49 WEEKS,597
TRANSFORMING,596
Trace,591
larve,591
began,581
[Juv.],576
Downy,575
Small embryos,574
51 WEEKS,573
embryon,573
skull ossified,572
56 WEEKS,566
41 WEEKS,560
DNY,559
over-winter,559
40 WEEKS,555
ADULTS,554
s.o.,553
55 WEEKS,549
47 WEEKS,546
1/4,544
57 WEEKS,542
HATCHED,535
adult(s),535
43 WEEKS,534
46 WEEKS,532
Euring 6,529
Gosner 45: anuran metamorph,527
Well begun,526
Adult(s),525
54 WEEKS,524
SKULL 100% OSS; NO BURSA,521
0 years,518
Old adult,510
60 WEEKS,508
Imm,507
s.n.o.,503
LARVA,498
nestlings,497
well started,496
12 adult,496
Euring 5 | Immadur,495
yearling,495
fetus,493
2 years,481
Adulto,478
59 WEEKS,477
42 WEEKS,476
1.5 years,470
[ad],464
Skull ossified,461
juv.sk.,460
tadpoles,459
Second year,456
58 WEEKS,448
adults(s),439
62 WEEKS,437
larvae or tadpole,436
after second year,434
estimated from premolar sections.,431
Showing blood,426
0.5,425
adult; adult; adult,423
eggs,420
juvenile; juvenile,420
4 unknown,418
IM,411
26 WEEKS,407
Embryos,404
64 WEEKS,401
61 WEEKS,399
ad?,398
Hatchlings,395
63 WEEKS,392
ATY,391
Just begun,390
Gosner 41: tadpole w/forelimbs inside,390
tadpole,389
Euring 1 | cria,387
based,386
13 adult,381
second year,378
Juveniles,371
Adult; skull oss.,367
0,364
Large embryos,363
Began,362
well along,361
far advanced,356
just started,356
hatchlings,353
5 unknown,347
Not Given,346
3 years,345
21 WEEKS,341
15 adult,340
UNKNOWN AGE,339
very slight,339
Fry,330
10 days,330
pullus,328
HATCHLINGS,328
14 adult,327
38 WEEKS,327
[juv],326
65 WEEKS,323
adult?,319
U-Imm,316
Minimum date,314
Yg.,310
12 years,306
[Summer],301
adult(s) and juvenile(s),297
juvenile; cementum-0,294
yg.,290
Sex,287
1st.,285
infertile,284
addled,284
Far advanced,283
Ad. Summer,283
Well started,282
1St Winter,281
13 years,278
11 years,277
2.5 years,277
about 1/3,275
10 years,275
Emb,274
SUB-ADULT,274
G&D 53-54: larva w/5 hind limb digits,273
half,272
larve ou imago,271
16 adult,270
heavy,270
1.5,269
estimated,269
3 days,268
[Winter],267
20 adult,265
Young adult,264
1st calendar year,264
egg case,262
66 WEEKS,262
adult; adult; adult; adult,261
14 years,260
Juvenile(s),260
TY,259
Just started,258
HATCHLING,256
4 days,254
4 years,253
5 days,253
juvenile; 1 yr,251
2 days,248
9 years,245
15 years,244
2/3,242
5 years,242
16 years,242
8 years,238
pull,237
17 adult,236
2 juvenile,235
juvenil | Euring 5,234
0.5 yrs.,233
19 adult,232
rotten,232
Ad. Winter,230
Euring 2,230
6 egg,229
Fresh or barely started,229
nouveau-né,224
67 WEEKS,224
6 unknown,223
Heavy,222
indeterminable,222
Very slight,221
1 week,219
SKULL OSS,219
Slightly incubated,218
pull.,218
Well along,216
17 years,214
19 years,214
[im],212
7 years,211
6 years,211
imm?,210
subad,209
18 years,209
Not reported,207
Euring 3 | Immadur,207
first year,207
Estimate - maximum date,206
18 adult,205
Poussin,205
well advanced,205
1st year,203
[Im.],203
nearly fresh,202
1 adult,201
20 years,200
hatch year,199
0.5 years,199
Adults,196
soft embryos,196
young of the year,196
2,194
oeuf,192
68 WEEKS,191
bloody,191
chicks,190
young-of-the-year,190
Age Class I,189
Sub,187
skull unossified,187
hatching year,186
Addled,186
104 WEEKS,185
about half,180
2.5,179
imm.?,178
metamorph(s),177
sk.unoss.,176
Gosner 34-36: tadpole w/hind toes,173
Juvenil,173
29 WEEKS,172
3K,171
21 adult,171
pup,171
Fragments,170
2nd calendar year,170
No data,169
1st.yr.sk.,166
moderate,166
Fr,164
im,164
fry,163
NESTLING,161
about 1/4,161
21 years,160
36 WEEKS,160
adult; cementum-1,160
37 WEEKS,160
69 WEEKS,159
2nd.,159
ad. sk.,158
27 WEEKS,157
see card,156
Immadur,156
adult; adult; adult; adult; adult,155
about 1/2,155
leptocephale,155
1.5 yrs.,154
Downy-Juv.,154
medium,153
4,153
CHICK,153
"adulte, têtards",153
skull fully ossified,152
mort-né,152
3,152
22 adult,151
Subad,151
adult; 399 C day,151
possible juvenile(s),150
19 WEEKS,149
Euring 1,149
adult adult,149
35 WEEKS,149
hatch-year adult,149
Yearling,149
immature?,148
23 adult,148
Imago,148
incubated,147
3/4,147
7 unknown,145
slightly,143
0 ou 1,143
70 WEEKS,142
neonates,141
adult | Euring 8,140
12 days,139
ASY,138
Nearly fresh,137
6 days,137
sk.wind.,137
Slightly,136
BURSA NOT FOUND; SKULL 100% OSS.,135
large skull windows,135
About 1/3,134
SUBADULT,134
Gosner 28-30: tadpole w/hind limb buds,134
Fresh to slight,133
3 or 4 days,133
egg(s),133
jeune,132
Well advanced,131
SKULL COMPLETELY OSSIFIED,130
MATURE,130
ovum,130
adult; 1.5 yr,129
half-grown,128
AD ?,128
adult; 2.5 yr,128
25 adult,128
u d.,128
1 day,127
8 days,127
one week,127
Gosner 37-38: tadpole w/later toe stage,127
Premetamorph,127
Sub-adult,126
Nouveau-né,126
small embryo,126
10 unknown,126
22 years,126
after hatching year,126
34 WEEKS,125
24 adult,125
Bloody,123
28 WEEKS,122
Soft embryos,122
33 WEEKS,122
juv?,121
N/A,120
1St Summer,120
After hatching year,120
sk.imm.,119
no aplicable,119
Yg,118
fledgeling,118
Juv. ?,116
adult; 2 yr,116
"egg, larva",116
30 adult,116
cria,115
Juvenile/Subadult,115
HY ?,115
subadulte,114
2 or 3 days,114
fresh to slight,113
18 WEEKS,112
Ad. ?,112
medium skull windows,112
0.5 YRS.,112
ad.?,110
Metamorphs,110
3.5,109
over-wintered,109
23 years,108
8 unknown,108
24 years,107
25 years,107
3.5 years,106
4 or 5 days,106
not begun,106
LARVAL,105
31 WEEKS,105
ADULT ; NO BURSA,105
Pup,105
Not indicated,105
Moderate,104
juvenile; adult,104
Small embryo,104
Half,104
juv.?,103
Br.,103
hy; sy,103
young adult,103
4K+,103
sa,102
1st,102
About 1/2,102
Large embryo,102
32 WEEKS,102
SKULL 100% OSS.,101
74 WEEKS,101
7 days,100
2.5 yrs.,100
75 WEEKS,99
2 UNKNOWN AGE,99
Renacuajo,98
br.,98
100%,97
20 WEEKS,96
Adolescent,96
Newborn,96
SKULL 100% OSS; BURSA NOT FOUND;,96
76 WEEKS,96
Larvae and metamorphs,96
sk.ad.,96
métamorphosé,95
28 adult,95
27 adult,94
2Nd Winter,94
Depredated,94
26 adult,94
one third,94
85 WEEKS,94
80 WEEKS,94
ADULT BY PLUMAGE,93
third year,93
FLG,93
Ad. Breeding,92
Medium,92
Broken,92
Slightly Incubated,92
83 WEEKS,92
One week,92
7 egg,92
larves,92
ADULT ; SKULL 100% OSS; NO BURSA,91
Têtards & imago,91
[downy young],91
Foetus,90
81 WEEKS,89
82 WEEKS,89
sk.doubled,89
almost fresh,88
29 adult,88
egg mass,88
17 WEEKS,87
Juv.-1St Winter,87
subadult/adult,87
unkn.,85
Few days,85
84 WEEKS,85
few days,85
G&D 52: larva w/4 hind limb digits,85
30 WEEKS,84
71 WEEKS,84
"tétards, imagos",84
One third,84
Aged Adult,84
73 WEEKS,84
large emrbyos,83
Not noted,83
About half,83
one half,83
4 WEEKS,83
5,83
juvenile skull,82
88 WEEKS,82
adult; cementum-2,82
adult; juvenile,81
JUVENILES,81
Fresh.,80
leptocephalus,80
nulle,80
eft,79
Euring 3j,79
1/3 advanced,79
large embryo,79
1 yr,79
One half,79
Eft,79
quite fresh,78
Transformed or nearly so,78
0.5 yr,78
SKULL NOT COMPLETELY OSSIFIED,77
several days,77
Subadult/Adult,77
u natal,77
BURSA NOT FOUND;,77
sk.double,77
ammocoetes,77
sk.not oss.,77
2 weeks,76
U-Juv,76
All stages,76
"ADULT, JUVENILE",76
adult; 3.5 yr,75
considerable,75
just began,75
Age Class II,75
26 years,75
G&D 55: larva w/gills reducing,74
1/2 advanced,74
about 5 days,74
Small Embryos,74
A trace,73
78 WEEKS,73
uad.,73
very advanced,73
79 WEEKS,73
metamorphs,73
adult; adult; adult; adult; adult; adult,72
S.A.,72
QP et imago,72
ponte,72
slightly advanced,72
ad. sk.oss.,72
Adv.,71
Considerable,71
old adult,71
1 year.,71
6,71
72 WEEKS,71
3 juvenile,71
hard embryos,70
well under way,70
adullt,70
77 WEEKS,70
adv.,69
pouch young,69
just commenced,69
No development,69
89 WEEKS,69
32 adult,68
U-Nestling,68
NEONATE,68
nestling(s),68
Just commenced,68
one-third,68
33 adult,68
Sa,68
Skull 100% ossified,68
87 WEEKS,68
Gosner 40: tadpole w/hind foot complete,67
4.5,67
slightly incubated,67
small skull windows,67
Skull windows,67
15 WEEKS,67
adult; Rudd's age class 3-,67
about 4 days,67
34 adult,67
Hatched in wild.,67
IMM,66
Euring 8,66
Fresh; showing blood,66
One fourth,66
Postmetamorph,66
31 adult,66
NO BURSA; SKULL 100% PNEUM,65
28 years,65
indeterminate,65
About 1/4 advanced,65
U-1St Year,65
96 WEEKS,64
Recent metamorph,64
Skull fully ossified,64
about 3 days,64
36 adult,64
juvenil | Euring 3j,64
Showing Blood,64
9 unknown,64
SKULL 100% OSS,63
adult; 1 yr,63
LEPTOCEPHALUS,63
About one-third,63
subadult | Euring 5,63
8 egg,62
4yr. old,62
5 WEEKS,62
Several days,62
1.5 YRS.,62
First winter,62
SY imm,61
Incubated,61
93 WEEKS,61
3.5 yrs.,61
38 adult,60
4-5 days,60
subadult; adult,60
Half incubated,59
1 YR,59
u imm,59
9 days,59
All fresh,59
about 1 week,58
35 adult,58
G&D 34-38: larva w/no front limb digits,58
a trace,58
3-4 days,58
very heavy,58
12 unknown,57
3rd.,57
about 10 days,57
Hatchling and egg shell,57
age class 0,57
Fledgling,57
No sign of development,57
2 yr,56
YG,56
Not given,56
Euring 4 | indeterminable,56
Not begun,56
larves + juveniles,56
egg or embryo,56
2-3 days,56
About 1/4,55
37 adult,55
well on,55
perfectly fresh,55
Stage 25,54
juvenile?,54
im.sk.,54
See card,54
subadult; adult; adult,54
Summer,54
juvenile ?,54
About 1/3 advanced,54
95 WEEKS,54
juvenile; Rudd's age class 32+,54
1 UNKNOWN AGE,54
Not provided,53
1st winter,53
105 WEEKS,53
5 or 6 days,53
Immature - Hatchling,52
Fresh or started,52
a few days,52
all fresh,52
Subad.,52
about 1/3 advanced,52
30 years,52
27 years,52
ready to hatch,52
adult; 3 yr,52
sk. oss.,52
"JUVENILE, ADULT",52
11 unknown,52
50 adult,51
Série têtard DP,51
skull windows,51
SKULL OSSIFIED,51
adult | Euring 2,51
série têtards,51
tétard / larve,51
No incubation,51
Slight.,51
Ad?,51
adult | Euring 10,50
Nestlings,50
bad,50
known,50
7,50
Soft Embryos,50
1 year,50
Calf,50
Collected post nesting. See addi,49
42 adult,49
40 adult,49
u,49
medium embryos,49
Série têtards,49
U-S.A.,49
u subad.,48
lrg.sk.wind.,48
Skull not ossified,48
91 WEEKS,48
Very fresh,48
39 adult,48
Gosner 23-24: tadpole w/external gills,48
Ad. Sum.-Ad. Win,48
about 2/3,48
Euring 2 | indeterminable,48
all stages,48
9 egg,47
Gosner 31-33: tadpole w/hind foot,47
downy-Juv.,47
well set,47
29 years,47
"ADULT, SKULL OSSIFIED",47
Euring 7 | Immadur,47
0 years.,47
Stillborn,47
14 WEEKS,46
newborn,46
eggs fresh,46
adult; 4.5 yr,46
41 adult,46
very fresh,46
Premetamorphs,46
86 WEEKS,46
eft(s),46
skull not pneumatized at all,46
adult; 8.5 mo,46
jv.,46
Juveniles and metamorphs,45
3-5 days,45
No recorded,45
u ad,45
bill,45
Advanced.,45
16 WEEKS,45
two-thirds,45
Skull oss,45
NO BURSA; SKULL 10% OSS.,45
1 juvenile,45
5.5,45
103 WEEKS,45
uncertain,45
adult; 1 C yr,44
G&D 41-42: larva w/3 front limb digits,44
All Fresh,44
about 1/4 advanced,44
3 yr,44
têtard stade 26,44
embryons,44
(Fh),44
Gosner 39: tadpole w/hind subtubercles,44
109 WEEKS,44
skull 100% ossified,43
sk.gran.,43
A few days,43
Almost fresh,43
Not available,43
ad.sk.oss.,43
s.1/2 o.,43
1/8,43
Well on,43
4.5 years,43
Ad.Sum.-Ad.Win.,43
IM ?,43
têtard stade 29,43
skinned,42
AHY?,42
+,42
showing,42
subadult; subadult,42
adult; adult; adult; adult; adult; adult; adult,42
Ad. Win.-Ad. Sum,42
Four days,42
Slightly advanced,42
2/5,41
1/5,41
sk.clear,41
Gravid adult,41
strictly fresh,41
45 adult,41
very small embryos,41
Larvae and metamorph,41
94 WEEKS,41
1St Win.-1St Sum,41
Large Embryos,41
of,41
Gosner 19-22: pretadpole,41
3rd calendar year,41
2 nestling,41
adult; 3+ yr,40
92 WEEKS,40
Very advanced,40
G&D 46-48: larva w/no hind limb digits,40
Failed,40
Egg mass,40
3rd summer,40
partial,40
HY/SY,40
Fresh to advanced,40
sub.,40
15 unknown,40
2 adults,40
"Adult, skull oss.",39
Aged adult,39
After second-year,39
juvs,39
90 WEEKS,39
Slightly developed embryo,39
2nd,39
Well developed embryo,39
no development,39
AHY; NO BURSA; SKULL 100% OSS.,39
101 WEEKS,39
10,39
97 WEEKS,39
Branchiate adult,39
Fresh or slight,39
adult on eggs,38
1St Year,38
14 unknown,38
feathered embryos,38
Ju.,38
43 adult,38
ADULT ; SKULL OSS,38
immature;subadult,38
31 years,38
unborn young,38
Well Begun,38
12 WEEKS,38
adult | subadult,38
sk.comp.oss.,38
juvenile; .5 yr,38
Metamorfo,38
>1st calendar year,38
13 unknown,37
embryos formed,37
10 egg,37
98 WEEKS,37
moderate to advanced,37
5-6 days,37
Age Class III,37
11 days,37
three days,37
102 WEEKS,37
4 juvenile,37
bloodshot,37
Bad,37
20 unknown,36
first-year,36
1St Spring,36
well formed embryos,36
4.5 yrs.,36
lg.sk.wind.,36
1st yr.,36
None over 3 or 4 days,36
SY ?,36
1-2 days,36
sk. ad.,35
hard set,35
Quite fresh,35
sk. imm.,35
petit,35
juv. sk.clear,35
class 2 or 3,35
juvenile; Rudd's age class 31,35
16 unknown,35
AHY; NO BURSA,35
"têtards, imagos",35
bill smooth,35
oeufs,35
16 days,35
adult; subadult,35
skull double,35
v. small embryos,34
adult; cementum-3,34
adult; 6 mo,34
6 WEEKS,34
and sex,34
adult; 12 mo,34
DEVEL,34
4K,34
stale,34
NO BURSA; SKULL 25% OSS.,34
SKULL FULLY PNEUM,34
[Young],34
Two days,34
adult; cementum-0,34
U-Subad,34
one day,34
5 months,34
1/10,33
about 25%,33
44 adult,33
Egg fragments,33
fairly advanced,33
100 adult,33
Pregnant,33
immatures,33
Three days,33
SY?,33
46 adult,33
2 YR,33
almost complete,33
one fourth,33
107 WEEKS,33
imagos,33
About 5 days,33
About one third,32
skull doubled,32
advanced-feathered,32
juvenile; Immature,32
st.31,32
adult; adult; adult; adult; adult; adult; adult; adult,32
4 yr,32
2 years.,32
œuf,32
JUVENILE; ADULT,32
Infant,32
47 adult,32
Perfectly fresh,32
gravide,32
About 2/3,32
[imm],32
5 to 7 days,32
Not Reported,32
3 WEEKS,32
9 WEEKS,31
ADOLESCENT,31
About 3 days,31
well commenced,31
126 WEEKS,31
Stade 45-46,31
Hatched eggs,31
têtard 4 pattes,31
Juv.-1St Win.,31
108 WEEKS,31
one-half,31
10 WEEKS,31
sub-adulte,31
49 adult,31
Adult ?,31
Immature - hatchling,31
G&D 31-33: larva w/branching gills,31
imm. sk.,31
1ST YEAR SKIN,31
checked,30
Range - Minimum date,30
s.n.c.o.,30
11 WEEKS,30
13 WEEKS,30
adult; adult; adult; adult; adult; adult; adult; adult; adult; adult,30
3Rd Winter,30
2/3 advanced,30
ADULT PLUMAGE; NO BURSA,30
hatched-W,30
neotenic,30
skull not ossified,29
2.5 YRS.,29
5 yr,29
6 juvenile,29
56 adult,29
immature skull,29
2Nd,29
and sex checked,29
About 4 days,29
sk.1/2 oss.,29
5K+,29
Mostly Fresh,29
about 2 days,29
no record,29
st. 39,29
About 1/2 advanced,29
100 WEEKS,29
growth series,29
Natal,29
Eggs fresh,29
8,29
Fresh and well begun,29
106 WEEKS,29
Winter,29
BURSA 3 X 3 MM,28
male,28
51 adult,28
tiny sk.wind.,28
over-winter; over-winter,28
