sex,reps
,12003853
male,3980639
female,3087796
undetermined,1372385
in question,17368
fêmea,6285
and incubation data.,5947
1,5357
2,5357
m-gonads,4386
larvae,3902
female ?,3889
data,3748
male ?,3116
f-gonads,2886
indeterminable,2625
[male],2603
"male,female",2070
[female],1696
c&s,1630
skel,1606
male female,1539
female | male,1200
male?,1112
males,1105
m; skel,1031
ind,974
male; male,865
m; c&s,853
"female,male",833
"male,male",772
f; skel,743
female; female,723
não_determ,604
females,584
f?,555
f; c&s,508
eggs,501
couple,495
m?,455
m-verified,431
male male,423
female?,410
"female,female",367
f-verified,352
"males,females",331
"male , male",302
female female,290
"males, females",287
?,283
male; male; male,283
female; female; female,264
hermaphrodite,263
multiple animals of mixed sex,258
"f; skel, skull, shell",232
male; male; male; male,196
"skel, skull, shell",161
"females,males",159
and nest data.,158
adult,158
no data,156
"m; skel, skull, shell",151
female; female; female; female,144
juv,143
determination,139
f;,139
data.,137
male; female,137
"males,female",117
mâle ?,117
probably male,115
femelle ?,112
han,110
m;,106
male; male; male; male; male,105
shell,100
female; female; female; female; female,95
[female?],91
f + m,90
"male,males",89
+ skull,88
[male?],88
female; male,87
juvenile,87
"males,male",85
adults,82
"male,females",76
dob,76
skull,73
1 male; 1 female,66
"females,male",63
dry skin,59
1f + 1m,58
breeding status,56
skin,55
2 male,51
"males,males",50
indeterminate,49
"female,males",48
eft; c&s,47
incubation,47
hatchlings,46
juv; c&s,44
female; female; female; female; female; female,42
specified,42
males and females,39
checked,39
"juvs, lot of 9",39
larvae; c&s,38
male(s) & female(s),37
"skel, shell",37
male and female,37
male; male; male; male; male; male,36
x,36
female; female; female; female; female; female; female,35
3,34
"skel, skin",34
not,31
immature,30
both,30
adult male checked,30
of,30
2 adults,30
"male, female and a juvenile",29
na,29
2f + 1m,29
"f; skel, shell",28
larva,27
data. incomplete clutch,25
measurements color etc,24
+ ser-sec head,24
female; female; female; female; female; female; female; female,24
juv.,24
1f + 2m,22
"females,females",21
skel;f,21
embryo,21
male; male; male; male; male; male; male,21
c&s m,21
general climate,20
and reproductive data,20
gen. climate,20
head,20
nestling,20
female; female; female; female; female; female; female; female; female; female,20
not recorded; female,19
m;  + skull,19
egg,18
indefinido,18
one adult,18
10,17
maturity,17
data taken,17
probably,17
m; tl 1280 + 248,17
m-plumage,16
not recorded; male,16
female; male; female; female; female,15
gilled adult; c&s,15
data taken.,15
behav. context,14
"skel, skull",13
"larvae, c&s",13
age,13
macho e fêmea,12
2f + 2m,12
skin removed,12
from ku 260289 (as x9998),12
f; skull,12
prob. male,12
f; ser-sec skull,12
embryos from as v20364,12
"m; skin , skull",12
-,11
1 male,11
stage vi; c&s,11
juv; skel,11
m; hatchling,11
f-plumage,11
"female, male",11
juv;  + skull,11
f;  + skull,11
"male, female",11
4,11
male; male; male; male; male; male; male; male; male; male; male,11
"f; skin , skull",11
"f; skel,shell,skull",11
2 male; 1 female,11
skull oss.,11
shell;  + soft-parts,11
female; female ?,11
ncsm,11
male; male; male; male; male; male; male; male; male; male,10
indeterminado,10
"male , female",10
one,10
gynandromorph,10
1f + 3m,10
n,10
4 adults,10
skull not oss.,10
normal adult; c&s,10
1 adult,10
age 70 days,10
male; male; female,9
12,9
recordist,9
female; female; female; female; female; female; female; female; female,9
questionable,9
stage iii; c&s,9
female; male; male,9
female; male; female,9
+ ser-sec skull,9
m; ser-sec,9
"female,females",9
3f + 1m,9
m; 2n,9
male; male; male; male; male; male; male; male; male,9
meta yg,9
female;;,9
embryos,9
female with eggs,8
1f,8
3 adults,8
"c&s h,s & feet;  + ser-sec vert col",8
c&s + guts,8
adult males,8
indicated.,8
pair,8
f; shell,8
male; male; male; male; male; male; male; male,8
stage iv; c&s,8
male; male; male; female,8
m; skull,8
5,8
m; ser-sec skull,8
ratio,7
"m; skel, shell",7
the fish.,7
"m; skel,shell,skull",7
sil,7
skel; m,7
"f; skel, shell;  + soft-parts",7
"eggs laid 24 m;ay, hatched 9 aug 1967",7
female; male; female; female; female; female; female,7
c&s m; sv 28.5,7
2? adults,7
f; ser-sec,7
wt,7
ser-sec head,7
6,7
o?,7
hatchling,6
body c&s + skul + skin + guts,6
nestlings,6
male; female; female,6
pair?,6
m;f,6
female; female; male; female; female; female,6
feminino,6
"larvae , adult",6
m; sv 66.3; c&s,6
"01 macho, 01 fêmea",6
"m; skull, caudal vert, skin",6
not determined,6
shell only,6
judged,6
c&s + skull +skin + guts,6
"female , female",6
c&s;  + skin & eggs,6
mixed,6
f; hatchling,6
several,6
f; juv; c&s,6
prob,6
"m; skel, shell;  + soft-parts",6
remark,6
f; ser-sec head,6
likely,6
number,6
appears,6
