"data.dwc:day","reps"
"20",1480927
"15",1470781
"10",1470267
"12",1396440
"18",1394482
"25",1379233
"19",1371551
"21",1369402
"22",1366583
"23",1363488
"14",1361067
"16",1358446
"1",1357057
"17",1355392
"24",1346020
"13",1343475
"28",1339503
"26",1334490
"11",1320636
"27",1314446
"30",1239588
"29",1210392
"8",1056333
"7",1018232
"9",1010189
"6",1009425
"5",1002012
"4",983430
"3",979558
"2",973527
"0",767438
"31",706300
"01",356018
"08",300968
"05",300353
"07",300299
"09",299874
"06",297906
"04",290281
"02",287724
"03",282187
"00",15588
"redacted",3328
"2326",520
"1516",481
"1967",328
"1966",256
"1968",188
"2930",122
"78",121
"1213",117
"45",99
"2530",94
"1718",84
"1920",82
"3031",79
"607",72
"614",70
"1416",64
"1965",63
"2728",63
"1517",61
"1314",59
"2526",59
"1617",57
"35",54
"1415",53
"1631",51
"1112",50
"2022",48
"90",45
"2324",45
"2224",44
"1530",42
"1819",42
"910",41
"1011",41
"2124",40
"2026",39
"1114",37
"80",34
"79",31
"708",31
"1319",31
"2223",31
"r",31
"56",30
"1012",29
"304",28
"2021",28
"70",27
"102",27
"34",26
"1923",26
"405",25
"2527",25
"1113",24
"406",23
"1318",23
"1418",23
"124",22
"2830",21
"506",20
"1223",20
"2729",20
"57",19
"110",19
"612",19
"1121",19
"2628",19
"60",17
"210",17
"414",17
"710",17
"33",16
"50",16
"67",16
"809",16
"2426",16
"2528",16
"2829",16
"38",15
"40",15
"203",15
"1921",15
"2122",15
"gminosperma",15
"58",14
"98",14
"512",14
"618",14
"2023",14
"2228",14
"32",13
"36",13
"37",13
"811",13
"2225",13
"39",12
"46",12
"1013",12
"1820",12
"1821",12
"2130",12
"1014",11
"1214",11
"1216",11
"2425",11
"2427",11
"2531",11
"111825",11
"818",10
"1315",10
"1618",10
"1922",10
"810",9
"1630",9
"2024",9
"2025",9
"2328",9
"2428",9
"68",8
"89",8
"620",8
"1520",8
"41",7
"44",7
"69",7
"207",7
"515",7
"911",7
"916",7
"2123",7
"2131",7
"717",6
"1215",6
"1218",6
"2627",6
"2931",6
"511",5
"812",5
"1119",5
"1524",5
"2226",5
"2630",5
"72",4
"81",4
"96",4
"97",4
"103",4
"131",4
"611",4
"715",4
"1116",4
"1118",4
"1120",4
"1719",4
"1850",4
"2128",4
"2325",4
"2730",4
"2831",4
