"data.dwc:establishmentMeans","reps"
"native",5762544
"wild",2384395
"caught",2324495
"managed",47659
"captive",15438
"unknown",15399
"cultivated",10242
"kill",4917
"found",2600
"adult",2301
"dead",2221
"tower",2016
"tv",1038
"road",993
"in",985
"window",791
"at",786
"introduced",694
"collected",681
"nest",597
"lighthouse",582
"hrs",550
"from",549
"taken",476
"not",469
"of",336
"trap",289
"beach",276
"on",261
"building",247
"killed",246
"one",188
"injured",176
"mouse",176
"by",167
"501",161
"birds",157
"alive",145
"net",134
"trapped",128
"netted",127
"planted",127
"for",121
"a",119
"days",105
"died",103
"cat",98
"ca",94
"mist",88
"casualty",84
"known",81
"origin",81
"bought",80
"shot",80
"after",78
"drowned",73
"over",73
"also",72
"under",62
"and",61
"1",59
"bred",59
"car",59
"falls",57
"fish",57
"banding",56
"with",56
"captivity",52
"0",51
"1000",51
"1400",51
"swept",50
"excavated",48
"wire",46
"market",45
"nets",44
"the",43
"farm",42
"seized",42
"8",41
"dying",41
"house",41
"1830",38
"brood",38
"26",37
"hwy",37
"storm",37
"1500",36
"1679",36
"1721",36
"am",36
"cold",36
"date",36
"english",36
"occupation",36
"albany",35
"fort",35
"poisoned",35
"to",34
"death",33
"experimental",32
"hunter",32
"ottawa",31
"24",30
"1330",30
"central",30
"fna",30
"yrs",30
"4",29
"accidental",29
"end",29
"gill",29
"ill",29
"martin",29
"weather",29
"wet",29
"2",28
"aviary",28
"emaciated",28
"lawn",28
"eggs",27
"muskrat",27
"3",26
"london",26
"raised",26
"egg",25
"impaled",25
"mummified",25
"train",25
"0930",23
"since",23
"wing",23
"0900",22
"0945",22
"months",22
"hatched",21
"parking",21
"1430",20
"bird",20
"cactus",20
"lot",20
"1930",19
"broken",19
"confiscated",19
"day",19
"water",19
"1030",18
"cholla",18
"england",18
"fence",18
"had",18
"up",18
"1100",17
"between",17
"colony",17
"decoration",17
"snare",17
"cultivation",16
"oiled",16
"hole",15
"june",15
"migration",15
"near",15
"september",15
"12",14
"0600",14
"decomposed",14
"leadenhall",14
"naturalized",14
"tree",14
"6",13
"captured",13
"december",13
"ice",13
"picked",13
"10",12
"1996",12
"as",12
"box",12
"fathoms",12
"frozen",12
"garden",12
"hand",12
"line",12
"oil",12
"ontario",12
"snap",12
"5",11
"9",11
"1600",11
"dog",11
"fran",11
"hurricane",11
"may",11
"pesticide",11
"toronto",11
"18",10
"area",10
"before",10
"cannon",10
"escape",10
"fresh",10
"ft",10
"game",10
"rio",10
"seed",10
"snow",10
"barn",9
"catalogue",9
"centro",9
"cientifico",9
"destroyed",9
"down",9
"during",9
"euthanized",9
"field",9
"forest",9
"madras",9
"night",9
"palenque",9
"partly",9
"poisoning",9
"presumably",9
"side",9
"when",9
"wires",9
"14",8
"16",8
"25",8
"1200",8
"1946",8
"about",8
"airplane",8
"bank",8
"below",8
"burdock",8
"condition",8
"customs",8
"neck",8
"no",8
"or",8
"wounded",8
"11",7
"20",7
"22",7
"30",7
"1300",7
"1630",7
"1730",7
"1800",7
"0700",7
"april",7
"birth",7
"blood",7
"cage",7
"eaten",7
"escaped",7
"floating",7
"fox",7
"heavy",7
"it",7
"july",7
"kept",7
"nov",7
"november",7
"ont",7
"pm",7
"rain",7
"shore",7
"soaked",7
"spray",7
"victim",7
"weakened",7
"zoo",7
"7",6
"13",6
"1115",6
"1545",6
"1700",6
"1941",6
"0950",6
"chimney",6
"creek",6
"e",6
"fell",6
"fog",6
"gorged",6
"head",6
"hydro",6
"incubator",6
"northern",6
"noxious",6
"old",6
"owl",6
"photo",6
"prob",6
"probably",6
"rom",6
"sandbank",6
"shrike",6
"skin",6
"tunnel",6
"wolf",6
"young",6
"yr",6
"15",5
"1045",5
"1050",5
"1515",5
"1933",5
"1939",5
"1967",5
"2030",5
"0730",5
"abondoned",5
"an",5
"base",5
"beside",5
"buildings",5
"cliff",5
"dec",5
"exposure",5
"fallen",5
"feb",5
"fly",5
"four",5
"gallery",5
"hatchery",5
"indian",5
"injury",5
"jan",5
"left",5
"lodo",5
"male",5
"montreal",5
"nesting",5
"netting",5
"oct",5
"out",5
"pot",5
"rabbit",5
"railway",5
"received",5
"seen",5
"set",5
"shed",5
"ship",5
"specimens",5
"summer",5
"tangled",5
"transit",5
"two",5
"verandah",5
"village",5
"went",5
"wes",5
"21",4
"23",4
"27",4
"28",4
"45",4
"54",4
"100",4
"1130",4
"1345",4
"1350",4
"1615",4
"1900",4
"1934",4
"1985",4
"1992",4
"00",4
"0530",4
"0800",4
"0915",4
"aug",4
"been",4
"boys",4
"breeding",4
"british",4
"bush",4
"city",4
"columbia",4
"dessicated",4
"eagle",4
"eight",4
"established",4
"exhausted",4
"feathers",4
"february",4
"flesh",4
"flying",4
"ground",4
"hanging",4
