"data.dwc:geodeticDatum","reps"
"wgs84",7319650
"not",1658753
"recorded",1658424
"forced",1618309
"nad27",1286684
"gda94",1159307
"unknown",827389
"geodetic",669058
"1984",663026
"system",655569
"world",655569
"datum",650855
"american",642089
"north",638111
"1927",599336
"nad83",596063
"agd84",500078
"wgs",444941
"84",435158
"desconhecido",251702
"wgs1984",161901
"epsg",154068
"4202",153969
"nad",144797
"27",104076
"sad69",92992
"agd66",66292
"1983",54029
"83",31223
"prp_m",28056
"agd",18874
"66",18850
"96",18500
"geo",18500
"sirgas2000_egm",18500
"ocotepeque",16137
"2000",9840
"japanese",9840
"1935",8653
"de",7486
"w",7477
"fundamental",7467
"2009",7296
"rsa",7210
"null",4368
"navigator",3944
"terrain",3944
"south",3932
"1956",3075
"provisional",3075
"australian",3000
"1972",2856
"1966",2549
"utm",2254
"bogota",2057
"observatory",2057
"pro",1987
"1",1953
"3",1949
"decimal",1842
"degrees",1842
"gps",1731
"24,000",1699
"nad84",1570
"hu",1442
"shan",1442
"tzu",1442
"google",1296
"nad1983",1282
"map",1194
"conus",1143
"1960",1107
"on",1046
"by",1045
"image",1045
"jcc",1045
"plot",1045
"satellite",1045
"visual",1045
"arc",1039
"wsg84",942
"1969",899
"utmg",896
"new",809
"7",779
"of",772
"agm66",699
"1994",695
"australia",695
"astro",539
"guam",529
"unk",509
"n",498
"1858",468
"clarke",468
"1963",459
"wgs94",414
"colony",405
"kenya",405
"12",377
"1951",377
"kusaie",373
"usd",369
"wgs86",365
"wgs34",358
"georef",329
"d",320
"luzon",318
"amersfoort",317
"wgs83",291
"wgs72",290
"mga94",289
"zone",286
"1950",283
"earth",250
"29966",249
"alegre",245
"corrego",245
"gda",244
"wgs66",231
"16",220
"european",212
"batavia",208
"djakarta",208
"redacted",202
"indian",190
"nad1927",179
"amg66",164
"philippine",159
"e",156
"gux",141
"agd94",139
"amg",135
"100.4545230000",133
"109",126
"estimate",122
"94",115
"ed50",114
"18",109
"24000",105
"5.03",105
"schwarzeck",103
"wgs8444.126448",101
"gst",100
"4326",99
"gda84",96
"reunion",90
"1313",88
"sd",86
"wgs8",79
"1936",77
"britain",77
"great",77
"ordnance",77
"survey",77
"nad8",76
"52",75
"lemuta",74
"1974",73
"59.1641670000",71
"gs84",69
"8000",68
"id",67
"100.5961650000",65
"80",62
"wgs80",61
"geolocate",59
"wgs85",57
"11595",55
"17",54
"163",54
"1962",52
"1965",52
"decimaldegrees",52
"ireland",52
"samoa",52
"1948",50
"43",49
"100.4974400000",49
"kertau",49
"geocentric",48
"34.2",47
"46.6",47
"100.4633500000",46
"1975",43
"conoa",42
"la",42
"venezuela",42
"58.7000000000",41
"amgr",41
"m",40
"nzgd2000",37
"marathon",36
"201",35
"wg84",35
"tokyo",33
"1510",32
"l",32
"1859",31
"nad28",31
"pos",31
"54",30
"366",30
"100.7166700000",30
"aus84",30
"h",30
"100.4760880000",29
"100.6873700000",28
"19",27
"1916",27
"levu",27
"viti",27
"40",26
"72",26
"159",26
"1981",26
"102",25
"island",25
"wga84",25
"102.2398800000",24
"gazetteer",24
"unknwon",23
"1958",22
"20.2",22
"48.6",22
"80.7900000000",22
"agda84",22
"montserrat",22
"san",22
"42",21
"1451",21
"7844",21
"102.0843660000",21
"24.0",21
"55.5",21
"at",21
"line",21
"nad27nad27",21
"seaweed",21
"tide",21
"under",21
"1970",20
"100.5179900000",20
"abd",20
"ain",20
"el",20
"seamount",20
"1955",19
"2289",19
"antonio",19
"cape",19
"cobres",19
"fort",19
"los",19
"nad27nad27nad27",19
"thomas",19
"withheld",19
"4",18
"329",18
"05",18
"06",18
"100.5087060000",18
"52.5",18
"55.3",18
"59.9223806",18
"a",18
"projection",18
"usd83",18
"wbs84",18
"dms",17
"41",16
"1500",16
"6558",16
"14.1",16
"45.8",16
"holzmaden",16
"1421",15
"59.9442694",15
"59.9531056",15
"59.9565750",15
"114",14
"1718",14
"1821",14
"1959",14
"2132",14
"104.6871820000",14
"59.9340278",14
"adg84",14
"gra",14
"0",13
"1381",13
"101.4783300000",13
"international",13
"spheroid",13
"topo",13
"32",12
"1556",12
"1618",12
"59.9513722",12
"97.3961100000",12
"c3",12
"garson",12
"wgs87",12
"5",11
"110",11
"401",11
"1431",11
"1551",11
"2252",11
"100.5016260000",11
"100.5086410000",11
"54h",11
"approx",11
"grs",11
"manning",11
"mga",11
"wg584",11
"ws84",11
"wss84",11
"11",10
"320",10
"1738",10
"102.5381470000",10
"59.9251083",10
"74.0847060000",10
"gda66",10
"nad82",10
"wgs128",10
"347",9
"1505",9
"1668",9
"1732",9
"1777",9
"2061",9
"2158",9
"2829",9
"3036",9
"59.9415417",9
"adg66",9
"agd666",9
"ca",9
"ft",9
"geod",9
"minna",9
"nad29",9
"14",8
"44",8
"56",8
"419",8
"750",8
"1372",8
"1445",8
"1524",8
"1659",8
"1734",8
"1923",8
"1954",8
"2014",8
"2265",8
"01.4",8
"100.5143480000",8
"100.5461790000",8
"100.6799300000",8
"54.0",8
