"data.dwc:georeferenceVerificationStatus","reps"
"verification",2907777
"requires",2748800
"unverified",2686659
"reviewed",782915
"confidence",714159
"high",689237
"by",623269
"georeferencing",537683
"complete",453329
"verified",379815
"curator",337497
"checked",290520
"unknown",266430
"collector",166760
"required",159088
"02",126859
"04",126859
"coge_corrected_2015",119658
"not",116949
"data",104512
"custodian",93627
"needs",82165
"contributor",18369
"georeferenced",16577
"low",16013
"locality",11251
"g",10536
"incomplete",10535
"unreviewed",10447
"medium",8898
"coge_skipped_2015",7201
"migration",6228
"label",3678
"country",3635
"falls",3635
"name",3635
"on",3635
"or",3635
"point",3635
"province",3635
"within",3635
"kc",3094
"source",2380
"verbatimcoordinate",2380
"need",2229
"rs",1985
"dek",1374
"4",1085
"be",614
"cannot",613
"located",613
"correct",564
"jlw",560
"3",475
"unverrified",256
"5",245
"hconfidence",137
"unverrifed",112
"n",102
"description",100
"dubious",100
"redacted",95
"veriification",83
"reasonable",40
"w",40
"certainty",39
"moderate",38
"2",29
"review",26
"varification",23
"further",20
"unverifed",19
"from",18
"custodin",14
"in",13
"have",12
"i",12
"lo",12
"this",12
"to",12
"undecipherable",12
"approximate",8
"cen",8
"uncertain",7
"verifacation",7
"generated",6
"verfication",5
"zconfidence",5
"1509",4
"rc",4
"aconfidence",3
"area",3
"field",3
"lowconfidence",3
"lucanus",3
"mediumconfidence",3
"notes",3
"piep",3
"2012",2
"ambiguous",2
"google",2
"lar",2
"location",2
"no",2
"null",2
"require",2
"reviewede",2
"too",2
"unverrrified",2
"16",1
"800",1
"975",1
"20030729",1
"20081023",1
"08",1
"1150m",1
"a",1
"and",1
"bradley",1
"ce",1
"concession",1
"conferenced",1
"e",1
"earth",1
"ed",1
"egbot",1
"estuary",1
"expert",1
"familiar",1
"find",1
"ft",1
"general",1
"georeferecing",1
"georeference",1
"georefrencing",1
"go",1
"gps",1
"l",1
"liz",1
"lopw",1
"lot",1
"maps",1
"may",1
"med",1
"medioum",1
"megan",1
"millen",1
"narrow",1
"nwr",1
"person",1
"questioned",1
"re",1
"requres",1
"reveiw",1
"reveiwed",1
"reviewee",1
"reviews",1
"rom",1
"seems",1
"specimen",1
"teichler",1
"the",1
"tijuana",1
"tyner",1
"unable",1
"uncertainty",1
"validation",1
"vereification",1
"verficication",1
"verifiation",1
"verificaton",1
"verify",1
"verrification",1
"woods",1
"wrong",1
"zanders",1
