,84729
"Abapeba",79
"Abapeba grassima",3
"Abapeba hoeferi",1
"Abapeba lacertosa",4
"Abapeba taruma",5
"Acacesia",14
"Acacesia benigna",20
"Acanthoctenus",2
"Acanthoscurria",226
"Acanthoscurria ferina",8
"Acanthoscurria geniculata",4
"Acentroscelus",27
"Achaearanea",17
"Achaearanea canionis",2
"Achaearanea dalama",1
"Achaearanea hieroglyphica",14
"Achaearanea hirta",1
"Achaearanea migrans",3
"Achaearanea nigrovittata",2
"Achaearanea taeniata",2
"Achaearanea tesselata",1
"Achaearanea tingo",12
"Achaearanea trapezoidalis",39
"Acragas",1
"Actinopodidae",1
"Actinopus",89
"Actinosoma pentacanthum",6
"Aculepeira",4
"Aff Holothele",18
"aff. Apochinomma",2
"Aff. Bryantella",2
"Aff. Hapalopus",2
"Aff. Holothele",13
"aff. Matiotia",1
"Aff. Megaphobema",1
"aff. Neoxyphinus",10
"aff. Otoniela adisi",5
"Aff. Sadala",2
"aff. Sassacus",13
"Aff. Tapinauchenius",1
"aff. Titidius",13
"aff. Xyccarph",68
"Agalenocosa",15
"Aglaoctenus",6
"Aglaoctenus castaneus",5
"Aglaoctenus lagotis",10
"Agoristenidae",1
"Agyneta",30
"Aillutticus",1
"Akela ruricola",2
"Alcmena",22
"Allocosa",5
"Allocosinae",1
"Alopecosa moesta",1
"Alpaida",169
"Alpaida antonio",1
"Alpaida bicornuta",6
"Alpaida cuyabeno",1
"Alpaida delicata",17
"Alpaida gutoi",32
"Alpaida leucogramma",2
"Alpaida negro",1
"Alpaida simla",10
"Alpaida tabula",1
"Alpaida tayos",4
"Alpaida truncata",12
"Alpaida urucuca",9
"Alpaida utiariti",1
"Alpaida veniliae",2
"Amatorculus",2
"Amatorculus cristinae",2
"Amaurobiidae",2
"Amazodysderina?",16
"Amazonepeira beno",1
"Amazonepeira callaria",4
"Amazonepeira herrera",3
"Amazonepeira manaus",2
"Amblypygi",62
"Ami",2
"Ammoxenus",1
"Amycinae",9
"Amycus",3
"Amycus flavicomis",6
"Anapidae",14
"Anapis",6
"Anapistula",4
"Ancylometes",63
"Ancylometes concolor",1
"Ancylometes rufus",656
"Anelosimus",12
"Anelosimus eximius",8
"Anyphaenidae",107
"Anyphaenoides locksae",1
"Aphantochilus",47
"Apopyllus",52
"Apopyllus silvestrii",7
"Araneae",6
"Araneidae",87
"Araneus",19
"Araneus guttatus",3
"Araneus venatrix",17
"Architis",5
"Architis altamira",1
"Architis brasiliensis",1
"Architis cymatilis",1
"Architis maturaca",5
"Architis spinipes",6
"Architis tenuipes",3
"Architis tenuis",130
"Argiope",1
"Argiope  argentata",39
"Argyrodes",12
"Ariadna",14
"Ariamnes",12
"Ariamnes attenuatus",20
"Artema",1
"Aschnaoonops",11
"Ashtabula",1
"Aspidolasius branicki",1
"Attacobius",1
"Attacobius blakei",1
"Attacobius carranca",1
"Attacobius luederwaldti",1
"Attacobius tucurui",1
"Attacobius uiriri",1
"Avicularia",35
"Avicularia avicularia",124
"Avicularia versicolor",4
"Aviculariinae",1
"Azilia",24
"Azilia histrio",7
"Balmaceda",1
"Banks. 1905.",1
"Banks. 1908.",1
"Banks. 1911.",1
"Banks. 1924.",1
"Barrisca",1
"Barychelidae",3
"Beata",2
"Beata maccuni",4
"Belemulus  annulatus",1
"Bellota",2
"Berlandiella",17
"Bertrana elinguis",7
"Bertrana striolata",1
"Blood",77
"Bolostromus",48
"Breda",8
"Breda apicalis",3
"Breda lubomirskii",2
"Brignolia cubana",7
"Calluga",23
"Camillina",40
"Capeta cachimbo",3
"Capidava",1
"Capidava auriculata",1
"Capidava biuncata",19
"Capitato",130
"Caponiidae",1
"Caponina papamanga",2
"Carapoia",5
"Carapoia  fowleri",44
"Carapoia  ocaina",30
"Castianeira",17
"Castianeirinae",2
"Centroctenus",89
"Centroctenus auberti",17
"Centroctenus ocelliventer",19
"Ceraarachne",3
"Cerocida",1
"Cerocida ducke",21
"Cerocida strigosa",4
"cf. Allocosa",1
"cf. Ariadna obscura",1
"cf. Ariamnes",3
"cf. Chirothecia",2
"cf. Chrysso",3
"cf. Coleosoma",3
"cf. Dipoena",9
"cf. Erissus",1
"cf. Ero",1
"cf. Eutimesius",41
"cf. Gradungulonoops",2
"cf. Habronatha",1
"cf. Habronattus",9
"cf. Hahnia",7
"cf. Hapalopus",1
"cf. Kimulidae",1
"cf. Mesabolivar aurantiacus",8
