"day","reps"
,34545387
"-",2
"/1",460
"/2",29
"[Redacted]",3551
"0",759794
"0/",157
"00",1243
"001",1
"006",3
"01",333634
"016",1
"017",1
"02",266334
"02��1",1
"023",1
"03",271275
"04",292996
"05",293055
"06",278466
"07",296915
"08",278028
"09",293446
"1",1301506
"-1",2
"1*",2
"1/",236
"10",1435945
"-10",1
"1011",41
"10-11",3
"1012",29
"1013",12
"1014",11
"10142009",1
"1015",3
"1017",2
"102",27
"1020",1
"1021",1
"1026",1
"103",4
"105",3
"108",1
"109",2
"11",1314776
"110",19
"111",3
"1112",50
"11-12",11
"1113",24
"1114",37
"1115",1
"1116",4
"1117",1
"1118",4
"111825",11
"1119",5
"112",1
"1120",4
"1121",19
"1123",1
"1124",1
"1127",1
"113",2
"115",2
"116",2
"118",1
"119",1
"12",1220562
"120",2
"121",1
"1213",117
"1214",11
"1215",6
"1216",11
"1217",1
"1218",6
"122",1
"1220",1
"1223",20
"1226",2
"1227",2
"1228",1
"1229",1
"1230",1
"1231",2
"124",22
"125",2
"126",1
"128",1
"129",1
"13",1322136
"1-3",8
"130",2
"1302",1
"131",4
"13136",2
"1314",59
"13-14",2
"1315",10
"1316",2
"1318",23
"1319",31
"1320",3
"1330",2
"136",1
"14",1355620
"141",1
"1415",39
"1416",64
"1417",1
"1418",23
"1419",2
"1420",3
"1425",1
"1428",1
"1430",1
"148",1
"15",1468111
"1516",481
"1517",61
"1520",8
"1521",1
"1522",1
"1523",1
"1524",5
"1528",2
"1530",42
"155",2
"158",1
"16",1336732
"-16",1
"1617",57
"1618",10
"161822",1
"1619",1
"162",1
"1620",3
"1621",1
"1622",1
"1624",4
"1625",2
"1626",1
"1628",1
"1629",1
"1630",9
"1631",51
"165",1
"168",1
"169",1
"17",1352148
"171",2
"1718",83
"-1718",1
"1719",4
"171976",1
"172",1
"1721",1
"1728",2
"1730",1
"1731",2
"175",2
"177",1
"178",1
"18",1354485
"18/24",1
"1808",1
"1819",42
"181992",1
"1820",12
"1821",12
"1822",1
"1825",1
"1827",1
"1827614",1
"1829",1
"1831",1
"1850",4
"1865",1
"187",1
"189",2
"19",1351666
"1901",3
"1902",1
"1903",1
"1909",1
"191",3
"1912",1
"1913",2
"1918",1
"1920",82
"192021",1
"1921",14
"1922",10
"1923",26
"1924",3
"1925",3
"1926",1
"1927",1
"1928",1
"1932",1
"1934",2
"1936",1
"1944",2
"1945",1
"1946",1
"196",1
"1965",63
"1966",256
"1967",328
"1968",188
"1969",1
"197",1
"1973",2
"1974",1
"1977",1
"1978",1
"1981",1
"1982",1
"1987",3
"1988",1
"199",4
"2",955455
"2/",200
"20",1441641
"200",2
"2013",1
"2021",28
"2022",48
"2023",14
"2024",9
"20-24",1
"2025",9
"2026",39
"2027",1
"2029",2
"203",15
"2030",2
"2031",1
"206",2
"207",7
"209",1
"21",1351112
"2122",15
"2123",7
"2124",40
"2127",1
"213",3
"2130",12
"2131",7
"215",1
"216",3
"218",1
"22",1343773
"2209",1
"221",2
"2215",1
"222",2
"2223",31
"2224",44
"2225",13
"2226",5
"2228",14
"223",1
"2230",1
"2231",1
"224",3
"226",2
"227",2
"228",1
"229",2
"23",1336202
"231",3
"2324",45
"2325",4
"2326",520
"2327",1
"2328",9
"2329",1
"2331",3
"234",1
"237",1
"238",2
"24",1326376
"2420",1
"2425",11
"2426",16
"2427",11
"2428",9
"24-28",5
"2429",2
"243",1
"2430",1
"2431",3
"244",2
"249",1
"25",1361179
"25 July,",1
"25 September",2
"251",1
"2526",5
"2527",25
"2528",16
"2529",4
"253",1
"2530",94
"25-30",1
"2531",11
"255",1
"26",1303135
"2622",1
"2627",6
"2628",19
"26-28",20
"2629",3
"2630",5
"265",3
"269",1
"27",1407736
"2728",63
"2729",20
"2730",4
"277",1
"28",1316246
"2817",2
"281962",1
"2829",16
"2830",21
"2831",4
"284",1
"285",1
"29",1176967
"29-03",1
"2919",1
"2929",1
"2930",122
"2931",6
"296",1
"299",1
"2nd week",3
"2o",1
"3",963250
"3/",134
"30",1198800
"30,",1
"300",2
"301",2
"3031",79
"304",28
"305",2
"308",1
"309",1
"31",680641
"310",1
"311",3
"31-1",1
"311986",1
"312",1
"315",1
"32",12
"327",1
"33",16
"330",1
"331",2
"34",26
"3-4",7
"35",54
"36",13
"3618",1
"367",2
"37",13
"38",13
"39",12
"39815",1
"4",981660
"4 October 1956",1
"4, 14, 25",2
"4/",120
"40",15
