"georeferenceVerificationStatus","reps"
"",67559118
"requires verification",2748559
"unverified",2514057
"reviewed - high confidence",673478
"georeferencing complete",453329
"unknown",266430
"Unverified",172600
"checked by curator",170919
"verified by curator",166035
"verification required",158985
"CoGe_corrected_2015-02-04",119658
"checked by collector",104453
"Verified by data custodian",93584
"Needs georeferencing",81060
"not reviewed",72095
"verified by collector",62297
"Verified by contributor",17390
"Not verified",16185
"reviewed - low confidence",15472
"not checked - not georeferenced",15146
"verified",14034
"incomplete locality data - not g",10535
"Unreviewed",9845
"reviewed - medium confidence",8542
"CoGe_skipped_2015-02-04",7201
"migration",6228
"high confidence",4458
"Point falls within province or country name on label",3635
"verified by KC",3086
"verbatimcoordinate source",2379
"need georeferencing",2227
"verified by RS",1979
"not georeferenced",1422
"verified by DEK",1372
"4",1085
"not verified",951
"Verified",732
"Verified by Contributor",655
"locality cannot be located - not",613
"unreviewed",602
"Correct",564
"verified by JLW",560
"reviewed",492
"3",475
"Reviewed",463
"reviewed-high confidence",395
"reviewed -medium confidence",346
"Verified by curator",331
"Verified by data contributor",324
"unverrified",256
"reviewed -low confidence",251
"5",245
"reviewed- low confidence",235
"Verified by Curator",188
"reviewed - hconfidence",137
"Reviewed - high confidence.",137
"unverrifed",112
"needs georeferencing",101
"dubious locality description - n",100
"[Redacted]",95
"veriification required",83
"reviewed -high confidence",69
"verified w/ reasonable certainty",39
"verified by data custodian",36
"Reviewed - High confidence",35
"Label",31
"2",29
"high",27
"Requires verification",27
"reviewed - moderate confidence",27
"Further varification required",20
"Reviewed- low confidence",20
"unverifed",19
"reviewed by curator",17
"reviewed-low confidence",16
"Requires Verification",15
"reviewed - high confidence.",14
"Verified by data custodin",14
"Needs review",13
"data from label undecipherable -",12
"I have low confidence in this lo",12
"reviewed -- high confidence",11
"reviewed-moderate confidence",11
"Georeferenced to approximate cen",8
"needs review",8
"needs verification",7
"requires verifacation",7
"Reviewed by curator",7
"reviewed - uncertain confidence",7
"generated from collector",6
"Reviewed-high confidence",6
"reviewed- medium confidence",6
"verified by KC, RS",6
"data custodian",5
"high confidence.",5
"Requires Verfication",5
"1509",4
"verified by RC",4
"locality needs review",3
"Lucanus field notes",3
"requires varification",3
"reviewed- high confidence",3
"reviewed - high zconfidence",3
"reviewed - low aconfidence",3
"reviewed - lowconfidence",3
"reviewed - mediumconfidence",3
"reviewed-medium confidence",3
"\\",2
"Ambiguous Location: area too lar",2
"need verification",2
"NULL",2
"Require Verification",2
"reviewede",2
"Reviewed - High Confidence",2
"reviewed ��� high confidence.",2
"reviewed low confidence",2
"reviewed - low zconfidence",2
"unverrrified",2
"Verified by collector",2
"verified by DEK, KC",2
"verified by Piep",2
"'",1
"1150m",1
"800 ft.",1
"975",1
"Bradley G. Millen (ROM)",1
"Checked in Google Earth",1
"Collector",1
"ed",1
"e=requires verification",1
"General area verified",1
"Google Maps",1
"GPS",1
"- high conferenced",1
"l",1
"liz",1
"may be wrong",1
"n",1
"#N/A",1
"narrow uncertainty to The No",1
"Needs expert",1
"needs georeferecing",1
"Needs georefrencing",1
"Needs review by person familiar",1
"Needs review - find specimen",1
"needs validation",1
"no",1
"not checked",1
"Questioned by Teichler",1
"Re",1
"Reasonable",1
"Requires Vereification",1
"requires verficication",1
"Requires Verifiation",1
"Requires Verificaton",1
"requires verrification",1
"requres verification",1
"reveiwed - high confidence",1
"RevieweD",1
"reviewed by collector",1
"reviewed ce",1
"reviewed - egbot (2012-08-16)",1
"reviewed - lopw confidence",1
"reviewed - med confidence",1
"reviewed - medioum confidence",1
"reviewed - medium",1
"reviewee",1
"Reviews",1
"Tijuana Estuary NWR seems to go",1
"Tyner, Megan",1
"unable to georeference",1
"Verified 20030729",1
"verified, 20081023",1
"Verified by Piep, 2012",1
"Verify concession and lot",1
