"identificationQualifier","reps"
,72562616
"��",11
"",1
"�� ?",4
"�� Agoseris glauca var. lacinata",1
"- complex",1
"- indeterminable",1
"- introgressed with B. lunaria (alleles nlnn)",3
"�� L. subopposita ?",1
"- mycenoid",1
"�� rubra L.?",1
"- Seri[ocybe]",1
"�� Steirochloa",6
""" Ulva lactuca f. lacinulata""",1
"!",722
"! cg",1
"! stet",1
"!!",3
"!!!",1
"!?",1
"!stet",1
"#1",12
"#2",11
"""#2""",1
"#3",2
"""#3""",1
"#NAME?",56
"& Ceratocystis",1
"& Collema",1
"& G. apoda",1
"& Hymenochaete",1
"& M. angusticeps",1
"&quot;wyomingense&quot; form",1
"(& physodes)",1
"(? = fuscosquamea?)",1
"(? dulcamara)",1
"(? flavoalba v. floridula?)",1
"(?)",126
"(?) sp. nov.",1
"(??)",1
"(???)",1
"(?armoricana)",1
"(?cremulata)",1
"(?lanatodisca)",1
"(?longicystis)",1
"(?nigrescens)",1
"(?oblectabilis f. decemgibbosa)",2
"(?sericella)",1
"(?subdestricta)",1
"(?turpis)",1
"(?xanthomelas)",1
"(= Boletus affinis)",1
"(= fragrans Smith)",1
"(= H. citrinovirens?)",1
"(= I. olympiana?)",2
"(= M. spinulosa)",1
"(= olympiana?)",11
"(= T. platyphyllum Murr.)",1
"(= U. substerilis Mot?)",1
"(=crassus)",1
"(=H. scrobiculatum var. zonatum)",1
"(=I. albodisca)",1
"(=olympiana?)",7
"(=ovatocystis)",1
"(=Polyp. tulipiferae ss. Overh.)",1
"(> E. divergens)",1
"(1 of 2)",1
"(1187 complex)",1
"(2 of 2)",1
"(2 tone, brown?)",1
"(A Freak!?!?)",1
"(A. ""caesarea"")",1
"(A. Nelson) Cronquist",1
"(A. polymorpha)",1
"(abietina?)",1
"(abnormal)",1
"(acyaneus group)",1
"(Adonidae)",1
"(adusta?)",1
"(Aeodes)",1
"(aeruginosus?)",1
"(aff. R. rhizoides)",1
"(agglutinata)",1
"(aka Omphalina epichysium)",1
"(albellus group)",1
"(albissima?)",1
"(also called H. lanatum)",1
"(Amazon)",6
"(Amblystegium)",1
"(amesiae ?)",1
"(Anomali) spilomeus/caninus",1
"(anomalus group)",1
"(aquaticum)",1
"(armoricana?)",1
"(as Inocybe echinata)",1
"(as P. atrovirens BSG)",1
"(as Polystictus abietinus)",1
"(as sterile Trailliella - phase)",1
"(Athelia)",1
"(atrosanguinea or nigrophyrea?)",1
"(atrovirens) Bab.",1
"(a-type)",1
"(Atypique)",1
"(Auriculata Group)",1
"(B. curtum form)",1
"(B. isabellescens Murr.)",1
"(Bolbitius - Conocybe?)",1
"(Boletinus)",1
"(boltonii complex)",1
"(boltonii complex?)",1
"(boltonii type)",2
"(boltonii type).",1
"(boltonii? sabuletorum?)",1
"(boltonii?)",3
"(""boltonii-sabulet[orum]"")",1
"(""boltonii-sabuletorum"")",1
"(boltonii-sabuletorum)",12
"(boltonii-sabuletorum?)",1
"(boltonii-sabuletorum??)",1
"(boltoni-sabuletorum)",1
"(boltoni-sabuletorum?)",1
"(bombycina?)",1
"(bonnevillensis)",1
"(brown)",2
"(""Brunnea"")",1
"(Bulbopodium)",48
"(Bulbopodium) ""caesiocyaneus""",1
"(Bulbopodium)?",1
"(Burnettia fabronifolia)",1
"(butyracea?)",1
"(c. fr.)",1
"(camphoratae)",1
"(""candy stripe"")",1
"(caninus group)",2
"(capistratum phase)",1
"(Caulorhiza)",1
"(Cephaloziopsis)",1
"(cerv. or tsug. fibrillosus)",1
"(cf. C. gentilis, C. speciosissimus ???)",1
"(cf. C. talus, C. rapaceus???)",1
"(check Cortinarius)",1
"(check Gymnopilus)",1
"(Chiajaea)",1
"(""chlorinossima"")",1
"(cilata)",1
"(cinnamomeus? croceifolius?)",1
"(Clitocybe)",1
"(Clitocybe?)",1
"(Clitocyboid)",1
"(close to H. cuneifolia)",1
"(Collybia or Clitocybe)",1
"(Collybia) /",1
"(Collybioid)",1
"(commutabilis? hypophaea?)",1
"(composite)",1
"(Cortinarius)",1
"(could be sambucella??)",1
"(Craterellus)",1
"(""Cream[?]"")",1
"(croceofolius)",1
"(Crossocalyx)",1
"(crustosa?) (spathulata?)",1
"(dark dusky Telamonia)",1
"(dark form)",1
"(Daubenmire ��� WSU)",1
"(DeGeer)",392
"(delibutus gp.)",1
"(delibutus group)",2
"(Derm)",1
"(Derm.)",7
"(Derm.) cf.",2
"(Derm.) sp.",1
"(Dermocybe)",79
"(Dermocybe) crocea group (= heuronensis?)",1
"(Dermocybe) ""croceus gp.""",2
"(Dermocybe) gp",1
"(Dermocybe) near zakii",1
"(Dermocybe) phoeniceus?",1
"(Dermocybe) ""rubrosemisanguineus""",2
"(Dermocybe), like sommerfeltii",1
"(Dermocybe/Telamonia) californicus?",1
"(Dermocybe?)",1
"(Dictyopanus)",1
"(doubtfully C. obovata)",1
"(dryinus group?)",1
"(Dulcamara)",1
"(Dulcamarae)",1
"(dura)",1
"(dura/vermiflua)",1
"(dwarf from)",1
"(dwarf)",1
"(Ecad)",12
"(""Ecad"")",5
"(Elfvingia)",1
"(elwahensis or augustus)",1
"(erythrinus?)",2
"(Euparmelia)",1
"(Evernia)",2
"(female)",1
"(festivella?)",1
"(Flammula)",2
"(flammulaster)",2
"(flavidum)",1
"(floculosa?)",1
"(form)",5
"(forma ?)",1
"(forma album)",2
"(forma-utahensis)",1
"(formerly Pleurotus elongatipes)",1
"(Fr.) Karst.",1
"(fraternus group)",1
"(fulva)",1
"(furcatus)",1
"(G. boryi form)",2
"(G. serrata form)",1
"(glandulatus?)",1
"(glaucopus group)",2
"(""glaucopus""?)",1
"(Gloeocystidiellum)",1
"(gr. serpae)",1
"(grammata)",1
"(grayer form)",1
"(green genotype)",2
"(""greyberi"")",1
"(griseoscabrosa?)",1
"(Group pseudofluitans)",1
"(group)",1
"(Guided by R. Mallis)",1
"(Gymnopus) sp.",1
"(Gyrophora)",1
"(H. revolutum [Mitt] Lindb. form.)",1
"(haematochephlus?)",1
"(Haliday, 1836)",3
"(Haliday, 1837)",1
"(Hemimycena?)",1
"(hepaticus, subviscidus)",1
"(hibbardae?)",1
"(Him.)?",1
"(hybrid)",1
"(hybrid? dumosa X scalaris ?)",1
"(Hybrid?)",1
"(Hydnum)",1
"(Hydrocybe)",2
"(Hygroph.?)",1
"(Hygrophanous)",7
"(hygrophanous) near obtusus?",1
"(hygrophorous species)",1
"(Hylocomium) cf.",1
"(Hyphoderma?0",1
"(Hypholoma velutinum Fr.)",1
"(hypogeous)",1
"(Hypophaea)",1
"(Hysterangium)",1
"(if sp. check)",1
"(Illegitimate name)",1
"(immature)",2
"(immature?)",1
"(in manuscript)",1
"(in Obscura)",1
"(in obscurae)",1
"(in part)",1
"(in St. Vaccina)",1
"(ined?)",1
"(inequalis?)",1
"(infundibuliformes)",1
"(infundibuliformis)",3
"(""Inoloma"")",1
"(iocephalus?)",1
"(isabellinipes or persimilis)",1
"(isabellinipes)",2
"(isalbellinipes?)",1
"(J.F. Gmelin) Herbert",1
"(jacobi type)",2
"(jacobi type?)",1
"(judaica)",2
"(L. turpis)",1
"(Lambertella?)",1
"(laniger group)",1
"(lanug. or lepto.)",2
"(lanug. or leptoph)",1
"(lanug. or leptophylla)?",1
"(lanug?)",1
"(lanuginosa or leptophylla)",1
"(lanuginosa, var. ??)",1
"(lanuginosa?)",1
"(large form)",1
"(laurocerasi? foetens?)",1
"(Leccinum)",1
"(leiocephala?)",1
"(Lep.)",2
"(Lep.) valgus group",1
"(Lepiota naucina)",1
"(Lepiota)",1
"(Lepista) sp.",1
"(Lepraria)",1
"(Lepro.)",1
"(Leprocybe)",21
"(Leprocybe) callisteus",1
"(Leprocybe) clandestinus group",1
"(Leprocybe) venetus",1
"(Leprocybe), cf.",1
"(Leprocybe), clandestinus group",1
"(Leprocybe), near",1
"(leptocystis?)",1
"(leptophylla?)",1
"(lilacina?)",1
"(linda type)",1
"(maculata group?)",1
"(Manza) Silva",1
"(manzanitae?)",1
"(Marasmius)",1
"(marginatus?) or coccineus?",1
"(Maritimae)",1
"(marmoripes)",2
"(mckennyae?)",1
"(McKennyi)",1
"(Meigen, 1830)",1
"(Melanistic form)",1
"(Melanolecia?)",1
"(Metaneckera)",1
"(microsporae)",1
"(minor?)",1
"(mixtilis complex)",2
"(mixtilis fulvoumbonata)",1
"(mixtilis?)",1
"(mollis? sepium?)",1
"(MS)",6
"(My Little Yellow Friend)",1
"(Mycena?)",1
"(Myx. Defibulati)",8
"(Myx. Myx.)",1
"(Myx.)",8
"(Myx.) ""collinitus""",1
"(Myx.) ""largodelibutus""",1
"(Myx.) ""luteobrunnescens""",2
"(Myx.) Ponderosus",1
"(Myx.) trivialis gp.",1
"(Myx.) vanduzerensis complex",1
"(Myxacium Defibulati)",1
"(Myxacium or Phlegmacium?)",1
"(Myxacium)",59
"(Myxacium) (Defib.) cf. mucifluus",1
"(Myxacium) (delibuti)",1
"(Myxacium) cf.",4
"(Myxacium) cf. muscigenus or (collinitus type)",1
"(Myxacium) collinitys/trivialis, proparte",1
"(Myxacium) delibutus",1
"(Myxacium) salor group",1
"(Myxacium) salor?",1
"(Myxacium) salor? griseoluridus?",1
"(Myxacium) vanduzerensis complex",2
"(Myxacium) vibratilis / white edge",1
"(Myxacium), cf. mucifluus",1
"(Myxacium, Defibulati)",4
"(Myxacium, Defibulatus)",1
"(Myxacium, delibuti sxn.)",1
"(Myxacium, sxn. delibuti)",1
"(N. sp.",1
"(N. Sp.)",4
"(N.sp.)",1
"(Naematoloma)",1
"(napipes)",1
"(napipes?)",1
"(napipesi)",1
"(narrow form)",1
"(nc. fusipes)",1
"(near collisteus)",1
"(near hebelomoides?)",1
"(near orbata)",1
"(near petig.)",1
"(near trivialis?)",1
"(near)",4
"(nearer the former)",1
"(need chem.)",1
"(Nematoloma)",2
"(Nemorosa)",1
"(new sp. acc. Sayre)",1
"(new var.)",2
"(Newest I. retiphyllus Atk.) probably a sp. nov.",1
"(nigrescens complex?)",1
"(nigrescens type)",2
"(nigrescens)",1
"(nigrescens?)",1
"(No.)",1
"(Nolanea)",1
"(nom prov.)",1
"(nom. prov.)",2
"(not acuta!)",1
"(not acuta)",3
"(not sure of species spelling)",1
"(not typical)",1
"(nov.?)",1
"(obscura group)",3
"(obscura stips)",2
"(obscura)",1
"(obscura, of Heim?)",1
"(obscuroides?)",1
"(occidentalis grp.)",1
"(old)",2
"(Omphalia)",1
"(Omphalina)",1
"(on Hymenena flabelligera)",1
"(Onnia)",1
"(ontariense) fr.",1
"(opuntia)",1
"(or �� R. woodsii?)",1
"(or Calvatia??)",1
"(or D. crispula)",1
"(or foetens)",1
"(or kaufmanii?)",1
"(or Lyophyllum?)",1
"(or nigrescens type)",1
"(or Pholiotina?)",1
"(or var.)",1
"(or variant)",2
"(Orinoco)",1
"(Osterhout) Beetle",2
"(ostreatus)",2
"(ostreatus?)",1
"(oversized)",1
"(Owyhee form lacking stalked glands)",3
"(oxycladia)",1
"(Oxyporus)",1
"(P. gaumeri Britton & Rose)",1
"(Paeruginosus)",1
"(pale form)",2
"(pale variant)",4
"(pale)",1
"(pallida group)",1
"(paragaudis/hematochelis)",1
"(Peniophora)",1
"(Peronospora also present)",1
"(petiginosa group)",1
"(phalloides?)",2
"(Phleg)",1
"(Phleg.)",17
"(Phleg.) arquatus",1
"(Phleg.) ""flavorubescens""",1
"(Phleg.) pseudovarius? aff. varius",1
"(Phleg.) ""purple""",1
"(Phleg.) ""snowbank""",1
"(Phleg.) sp.",1
"(Phleg.) ""varius""",1
"(Phlegmacium / Telamonia)",1
"(Phlegmacium)",94
"(""Phlegmacium"")",1
"(Phlegmacium) (pale allutus)",1
"(Phlegmacium) ""albobrunnoides""",1
"(Phlegmacium) allutus (yellow form)",1
"(Phlegmacium) allutus group",1
"(Phlegmacium) arquatus group",2
"(Phlegmacium) ""balteatus complex""",1
"(Phlegmacium) bluish",1
"(Phlegmacium) ""bluish""",1
"(Phlegmacium) diabaphus gp. fulvoincarnatus",1
"(Phlegmacium) elatioides",1
"(Phlegmacium) elotioides",1
"(Phlegmacium) elotoides",2
"(Phlegmacium) fradulosus",1
"(Phlegmacium) fradulosus? (cephalixus)",1
"(Phlegmacium) fulminoides group",1
"(Phlegmacium) himorensis[?]",1
"(Phlegmacium) largus group",1
"(Phlegmacium) latus group",1
"(Phlegmacium) multiformis group",1
"(Phlegmacium) odorifer group",1
"(Phlegmacium) orichalceus",1
"(Phlegmacium) orichalceus group",1
"(Phlegmacium) ""Orichalceus?"" cedretorum like",1
"(Phlegmacium) ""pale""",1
"(Phlegmacium) Purpuraceates",1
"(Phlegmacium) ""Purpuracentes"" ""adustus""",1
"(Phlegmacium) ""seidleae""",1
"(Phlegmacium) ""sodagnites""",1
"(Phlegmacium) ""sordidus""/""potatoe""",1
"(Phlegmacium) sp.",3
"(Phlegmacium) sp. ""luteolilacinus""",1
"(Phlegmacium) sxn. Calochroi ssn. Glaucopodes",1
"(Phlegmacium) ""varius""",1
"(Phlegmacium) ""violet""",1
"(Phlegmacium) ""volvatus"" type",1
"(Phlegmacium), crassus group",1
"(Phlegmacium), elatior group",1
"(Phlegmacium), form of",1
"(Phlegmacium), forma",1
"(Phlegmacium), glaucopus group",1
"(Phlegmacium), near",1
"(Phlegmacium), near lilacinopes",1
"(Phlegmacium), section Scauri, SSXn. Orichalcei",1
"(Phlegmacium), ""sodagnites group""",1
"(Phlegmacium)`",1
"(Phlegmacium, possibly section Scauri, subscection Orichalcei)",1
"(Phlg.)",1
"(Pholiota)",1
"(Pholiotina)",4
"(Pholiotina) stirps Arrhenii sensu Watling",2
"(Pleurocystidium)",2
"(Pleurotus)",2
"(Pluteolus) sp.",1
"(Polyporus) sp.",1
"(Porotheleum?)",1
"(possible new species, cf. baergi- in prep K. J. McWest)",1
"(possibly Marasmius?)",1
"(possibly R. californicus?)",1
"(possibly rufescens) (?)",1
"(possibly tenuissimum)",1
"(Posterula)",1
"(praetervisa or xanthomelas)",1
"(praetervisa?)",1
"(pro sp.) [quadrifolia �� terrestris]",1
"(prob. not terrestris grp.)",1
"(prob. same as 9165)",1
"(prob.)",1
"(probably esculenta)",1
"(probably)",6
"(prox.)",2
"(Psalliota)",1
"(pseudocarenata)",1
"(Pseudoisothecium, Grout)",1
"(purple)",1
"(R)",1
"(red genotype)",6
"(red variety)",1
"(red-capped form)",1
"(robust form)",2
"(robust)",1
"(Rondani, 1880)",3
"(root Fomes)",1
"(Rubrimarginata gr.)",1
"(rugicum)",1
"(Russulares)",2
"(Russularia thejogali) canadensis A. H. Smith?",1
"(Russularia)",2
"(rutilans)",1
"(rutilus or ochroceus)",1
"(s. str)",1
"(s. str).",6
"(s. str.)",31
"(sabuletorum-boltonii complex)",1
"(sabuletorum-boltonii)",1
"(same as 11948?)",2
"(same as 12996)",1
"(sarcocephala grp.)",1
"(sarcodon)",1
"(Schistidium)",1
"(sclero or hypoph)",1
"(scleropoda? hypophaea?)",1
