"identificationVerificationStatus","reps"
"",73236173
"legacy",1571199
"expert",283248
"field",193387
"student",163973
"taxonomic revision",94720
"geographic distribution",15724
"molecular data",6015
"ID of kin",2396
"type specimen",1772
"ID to species group",193
"published referral",102
"photograph",44
"erroneous citation",40
"confirmed",16
"Subspecies in question",3
"Subspecies in question; Original",3
"Species in question; Possibly C.",2
"Subspecies in question: either s",2
"Genus and species in question",1
"Genus in question",1
"R. A. Edgren",1
"species in question",1
"Species in question; Possibly S.",1
"Subspecies in question: could be",1
"x L. g. glaucescens",1
