"islandGroup","reps"
"",74380557
"Main Hawaiian Islands",204146
"Greater Antilles",169151
"Hawaiian Islands",45401
"Lesser Antilles",33432
"Alexander Archipelago",31030
"West Indies",24522
"Caroline Islands",21595
"Society Islands",18675
"Morobe Prov.",15335
"Viti Levu Group",14390
"British Isles",14201
"Aleutian Islands",13431
"Leeward Islands",13405
"Solomon Islands",13082
"Indonesian Archipelago",11756
"Northwestern Hawaiian Islands",10824
"Mindanao PAIC",10338
"Channel Islands",10045
"Marquesas Islands",9952
"New Guinea Ids.",9365
"Ralik Chain",9102
"Virgin Islands",8246
"Luzon PAIC",7788
"Marshall Islands",7728
"Bahamas",6873
"Gal��pagos",6853
"Greater Sunda Islands",6597
"Austral Islands",6361
"Mariana Islands",6304
"Palau Islands",6188
"Line Islands",6176
"New Caledonia Group",6089
"New Guinea Group",5988
"Florida Keys",5759
"Caroline Ids.",5573
"Tuamotu Archipelago",5308
"Visayan Islands",5290
"Galapagos Ids.",5156
"Canary",4927
"Bismarck Archipelago",4922
"Milne Bay Prov.",4799
"Southern Mariana Islands",4786
"Vanua Levu Group",4559
"Philippine Islands",4035
"Luzon Islands",3818
"Gal����pagos Is.",3816
"Tongatapu Group",3813
"Malay Archipelago",3749
"Ryukyu Ids.",3647
"Bahama Islands",3576
"Northern Mariana Islands",3532
"Mascarene Islands",3495
"Windward Islands",3429
"Kodiak Archipelago",3396
"West Sepik Prov.",3301
"Galapagos Is.",3266
"Japan",3148
"Pribilof Islands",3110
"Aldabra Group",3039
"New Caledonia Ids.",3014
"Visayas",2997
"San Juan Islands",2967
"Vancouver Island",2941
"kerguelen",2927
"Santa Cruz Islands",2818
"Indonesia",2786
"Yap Is.",2737
"Upolu Group",2635
"Central Prov.",2513
"Savaii Group",2505
"Polyn��sie Fran��aise",2440
"Galapagos Archipelago",2386
"Johnston Atoll",2335
"Hawaiian Is.",2331
"Dry Tortugas",2313
"Southern Highlands Prov.",2278
"Rotuma Group",2242
"North Solomon Ids.",2227
"Visayan PAIC",2068
"Manua Islands",2048
"Haida Gwaii",2025
"Lau Group",2000
"Queen Charlotte Islands",1942
"Loyalty Islands",1920
"Ratak Chain",1919
"Ha'apai Group",1850
"Ryukyu Islands",1850
"Falkland Islands",1781
"Leeward Ids.",1665
"Marianas",1658
"Mindoro PAIC",1649
"New Georgia Islands",1598
"ABC Islands",1566
"Papua [= Irian Jaya]",1564
"Sulu Archipelago",1556
"Revillagigedo Is.",1543
"Islas Revillagigedo",1528
"Madang Prov.",1526
"Tutuila Group",1521
"Channel Ids.",1502
"Japanese Archipelago",1501
"des vanuatu",1478
"Fiji Islands",1477
"New Hebrides",1469
"Long Island",1466
"des philippines",1438
"Gulf of California Islands",1434
"Samoa Islands",1417
"Vavau Group",1399
"Singapore",1386
"Grenadines",1378
"����les du Vent",1362
"Pelican Cays",1349
"New Caledonia",1348
"Lesser Sunda Islands",1337
"��les salomon",1309
"New Georgia Group",1303
"American Samoa",1286
"soci��t��",1280
"Gilbert Islands",1263
"Moluccas",1237
"Southern Cook Islands",1218
"Pitcairn Islands",1209
"Maluku Islands",1206
"Capricorn Group",1200
"Islas Mar��as",1159
"Kadavu Group",1142
"Pahang State",1142
"Wake Islands",1119
"Palawan PAIC",1117
"Gambier Islands",1102
"Samoan Islands",1101
"Admiralty Islands",1097
"Cargados Carajos Shoals (Saint Brandon Rocks)",1086
"Tonga",1066
"Banks Islands",1026
"Shepherd Islands",1023
"Western Highlands Prov.",1016
"Canadian Arctic Archipelago",1012
"Cuyo Islands",1012
"Seychelles",1010
"Palau SW Islands",1009
"Maritime Southeast Asia",1008
