"island","reps"
"",73876229
"Oahu",112742
"Hispaniola",90511
"New Guinea",61190
"Hawaii",43164
"Maui",41099
"Cuba",29123
"Kauai",28381
"Luzon",26374
"Borneo",25000
"Saint Lawrence Island",22265
"Bougainville Island",21608
"Madagascar",21295
"South Island",18114
"Jamaica",17517
"Bermuda",16219
"O`ahu",15773
"Viti Levu",15108
"Molokai",14832
"Trinidad",13959
"GUADELOUPE",13654
"Sumatra",12949
"Kaua`i",11126
"Java",10844
"Tahiti",10144
"Guam",10131
"Honshu",9136
"New Guinea Id.",9086
"Negros Id.",9052
"Luzon Island",8851
"North Island",8822
"Luzon I.",8604
"Mindanao",8481
"Sulawesi",8271
"Dominica",7442
"Hawai`i",7404
"Mindanao Island",6976
"Lanai",6818
"New Caledonia",6403
"Long Island",6326
"Enewetak Atoll",5934
"Hispaniola Island",5724
"Puerto Rico",5409
"Vancouver Island",5199
"Tenerife",5046
"Kapingamarangi Atoll",4878
"Hiva Oa",4852
"Babeldaob Island",4832
"Santa Cruz Island",4779
"Tobago",4753
"Negros",4723
"Carrie Bow Cay",4531
"Mindoro",4518
"Palawan",4108
"Nuku Hiva",3917
"Isla de la Juventud",3897
"Mindanao Id.",3884
"Mauritius",3871
"Raiatea",3720
"Plummers",3708
"Pohnpei",3690
"Upolu",3610
"Savaii",3538
"New Britain",3518
"Prince of Wales Island",3392
"Twin Cays",3382
"Taiwan",3340
"Martinique",3333
"Vancouver",3327
"Viti Levu I.",3298
"Mindanao I.",3286
"Samar Island",3167
"Bikini Atoll",3132
"Taiwan Id.",3105
"Tutuila",3065
"St. Croix",3026
"Moorea",3003
"Aldabra Atoll",2979
"Rapa",2954
"Little Diomede Island",2925
"Vanua Levu",2837
"Ifalik Atoll",2816
"Saint Croix",2735
"Celebes",2732
"Mindoro Island",2726
"Kodiak Island",2687
"Chichagof Island",2626
"Moloka`i",2605
"New Caledonia Id.",2585
"Hokkaido",2516
"madagascar",2482
"Fatu Hiva",2481
"Sarichef Island",2472
"Panay",2457
"Negros Island",2431
"Bohol Id.",2428
"Luzon Id.",2427
"Guadalcanal",2394
"New Providence",2365
"Raroia Atoll",2345
"Guadalupe",2328
"Curacao",2317
"Bougainville Id.",2227
"Guadalcanal Island",2221
"Yap I.",2215
"St. John",2157
"Midway Atoll",2098
"Baranof Island",2079
"Solomon Islands",2041
"Antigua",2020
"New Guinea Island",2003
"Hawaiian Islands",1998
"Honshu Id.",1985
"Laysan Island",1967
"Rarotonga",1963
"San Juan Island",1910
"Santa Catalina Island",1879
"Palawan Island",1827
"Arno Atoll",1781
"Palmyra Atoll",1770
"Johnston Atoll",1755
"Ua Huka",1747
"Raivavae",1738
"Singapore",1721
"Saipan",1715
"Palawan Id.",1712
"Tau",1674
"Rota",1666
"Laysan",1647
"Wake Island",1623
"French Frigate Shoals",1609
"Key West",1591
"Tasmania",1557
"Leyte Island",1556
"Okinawa",1551
"Saint Vincent",1534
"Saba",1532
"Galeta Island",1529
"Hainan",1529
"St. Thomas",1522
"Saint Thomas",1501
"Babelthuap I.",1497
"Pohnpei Island",1491
"Palawan I.",1487
"unknown",1474
"Yap Island",1474
"Basse Terre",1460
"Mindoro Id.",1459
"Neebish Island",1455
"Greenland",1452
"Bonaire",1419
"Ua Pou",1403
"One Tree Island",1402
"Vanua Levu I.",1398
"Grand Cayman",1367
"Tortola",1362
"Samar",1360
"Rurutu",1357
"Wrangell Island",1356
"Amami-O-Shima Id.",1348
"Ambon",1348
"Revillagigedo Island",1335
"Big Pine Key",1334
"Admiralty Island",1332
"nouvelle-cal��donie",1332
"Helen Reef",1318
"Inhaca",1303
"Cebu",1292
"Lana`i",1284
"Tongatapu Island",1283
"Taiwan [Formosa]",1278
"Cura����ao",1274
"New Zealand",1265
