"lifeStage","reps"
"1 fresh, 2 trace, 3 small embryo",$1.00
"1 fresh, 2 very slight",$1.00
"1 fresh, 2 very slight trace of",$1.00
"1 fresh, 2 very small embryos",$2.00
"1 fresh, 2 well along",$1.00
"1 fresh, 2 were 2-3 days",$1.00
"1 Fresh, 2-4 Small Embryo",$1.00
"1 fresh, 3 advanced",$1.00
"1 fresh, 3 began",$1.00
"1 fresh, 3 begun",$1.00
"1 fresh, 3 large embryos",$1.00
"1 fresh, 3 slight",$2.00
"1 Fresh, 3 Slight Trace Of Blood",$1.00
"1 Fresh, 3 Slight Trace, 1 Trace",$1.00
"1 fresh, 3 small embryos",$2.00
"1- fresh, 3- started",$1.00
"1 fresh, 3 started, 1 - 4 days",$1.00
"1 fresh, 3 trace",$1.00
"1 fresh, 3 trace of blood",$1.00
"1 fresh, 3 very slight",$2.00
"1 fresh, 3 very slight trace of",$1.00
"1 fresh, 4 begun",$1.00
"1 fresh, 4 half hatched, 1 nearl",$1.00
"1 fresh, 4 showing blood",$2.00
"1 Fresh, 4 Slight Trace Of Blood",$2.00
"1 fresh, 4 slightly bloodshot",$1.00
"1 Fresh, 4 Small Embryos",$1.00
"1 fresh, 4 very slight",$1.00
"1 fresh, 5 slightly incubated",$1.00
"1 fresh, 6 adooneed",$1.00
"1 fresh, 6 well incubated",$1.00
"1 fresh, incubated, medium",$1.00
"1 fresh, others 4-5 days",$1.00
"1 fresh, others well set (advanc",$1.00
"1 fresh, showing blood, small em",$1.00
"1 fresh, well begun",$1.00
"1 fresh. 1 started. 3- 1/2. 3 -",$1.00
"1 fresh. 2 started. 6 one quarte",$1.00
"1 fresh; 1 - 1/2",$1.00
"1 fresh; 1 about 2 days",$1.00
"1 fresh; 1 advanced",$1.00
"1 fresh; 1 begun",$1.00
"1 fresh; 1 commenced",$1.00
,$60790535.00
"����",$13.00
"'",$1.00
"-",$3.00
"--",$55168.00
"�� 7 days",$1.00
"�� 8 days",$1.00
"! F chick banded. 1/2 had a smal",$1.00
"#1 & #2: Large embryo, #3: Small",$1.00
"#1 & #3 Medium embryos, #2 Infer",$1.00
"#1 Addled, #2 Large Embryo",$1.00
"#1 and #2: trace of blood; #3: v",$1.00
"#1 broke in nest, fragments only",$1.00
"#1 broke in nest, fragments; #2",$1.00
"#1 eyes formed; #2 small embryo",$1.00
"#1 fresh, #2 & 3 showing blood",$1.00
"#1 Fresh, #2 Developed Embryo",$1.00
"#1 fresh, #2 large embryo",$2.00
"#1 fresh, #2 showing blood",$2.00
"#1 fresh, #2,3 trace of blood",$1.00
"#1 Fresh, #3, 4, 5 Very slight t",$1.00
"#1 fresh, 2,3 &4 Full grown",$1.00
"#1 fresh; #2 showing blood",$1.00
"#1 infertile #2 embryo",$1.00
"#1 Infertile, #2 infertile, #3 s",$1.00
"#1 infertile, fragments; #2 crus",$1.00
"#1 large embryo, #2 infertile, #",$1.00
"#1 Large embryo; #2 Infertile",$1.00
"#1 medium embryo; #2 small embry",$1.00
"#1 No inc, #2 No yolk. Nest cont",$1.00
"#1- rotten, #2- no inc, 1 young",$1.00
"#1&2 fresh, #3 trace of blood",$1.00
"#1&2 small embryo, #3 fresh",$1.00
"#1, #2, #3, #4: fresh",$1.00
"#1, fragments only, eggshell thi",$1.00
"#1,2,5: fresh, #3,4,6: trace",$2.00
"#1,3 Slight trace of blood, #2,4",$1.00
"#1,3,4,6,7,8 Fresh, #2,5 Slight",$1.00
"#1,3,5,6,7 Fresh, #2,4 Slight tr",$1.00
"#1,4 fresh; #2,3 trace of blood",$1.00
"#1,4 Slight trace of blood, #2,3",$1.00
"#1: 1.640g (medium); #2: 1.617g",$1.00
"#1: almost fresh, #2: slightly,",$1.00
"#1: fresh; #s 2 & 3: trace (show",$1.00
"#1: fully formed chick #2: Large",$1.00
"#1: Large embryo. #2 Not recorde",$1.00
"#1: medium embryo, #2: fresh, #3",$1.00
"#1: No inc., #2: Small embryo. N",$1.00
"#1: showing blood; #2: small emb",$1.00
"#1: small eyeballs; #2 & 4: tiny",$1.00
"#1: very small embryo; # 2 & 3:",$1.00
"#1:embryo ~ 5mm, #2: clear",$1.00
"#1; eggshell fragment",$1.00
"#11; eggshell fragments collecte",$1.00
"#120,121,122 Hatched, #123 Infer",$1.00
"#1-3 Large Embryos, #4 Infertile",$1.00
"#1-3 trace of blood; #4 fresh",$1.00
"#14 fragments only, eggshell thi",$1.00
"#15, fragments only, eggshell th",$1.00
"#15; eggshell fragments from 1-2",$1.00
"#16; eggshell fragments collecte",$1.00
"#17, fragments only, eggshell th",$1.00
"#17; hatched eggshell fragments;",$1.00
"#18; eggshell fragments from one",$1.00
"#19; eggshell fragments from one",$1.00
"#1large embryo, 2 and not record",$1.00
"#1large embryo, 2,3,4,5,6,7 and",$1.00
"#1medium embryo, 2 and 3 small e",$1.00
"#1-slight, #2-slight, 3#-small-m",$1.00
"#1small embryo, 2 and 3 not reco",$1.00
"#2 Fresh, #1 Slight Traace of bl",$1.00
"#2 Fresh, #1,3 Slight trace of b",$1.00
"#2 Fresh, #3 Slight trace of blo",$1.00
"#2 Fresh, #4 Slight trace of blo",$1.00
"#2 Large embryo",$1.00
"#2 Slight trace of blood, #1 Tra",$1.00
"#2 Trace of blood, #1, 6 Very sm",$1.00
"#2: Fresh; #3: Slight Trace Of B",$1.00
"#20; about 25 feet high on rock",$1.00
"#21; eggshell fragment collected",$1.00
"#27; whole egg collected that ha",$1.00
"#28; whole egg; broken after col",$1.00
"#3, 6 Fresh, #4 Slight trace of",$1.00
"#3; eggshell fragments of two eg",$1.00
"#5, fragments only, eggshell thi",$1.00
"#5; eggshell fragments collected",$1.00
"#57 fragments only, eggshell thi",$1.00
"#6 Fresh, #4, 5 Slight trace of",$1.00
"#6 Slight trace of blood, #3 Tra",$1.00
"#6; eggshell fragments collected",$1.00
"#60, fragments only, eggshell th",$1.00
"#61 fragments only, eggshell thi",$1.00
"#65, fragments only, eggshell th",$1.00
"#66, fragments only, eggshell th",$1.00
"#67 fragments only, eggshell thi",$1.00
"#7, fragments only, eggshell thi",$1.00
"#7; fragments from three sites w",$1.00
"#8 water checked",$1.00
"#8; eggshell fragments collected",$1.00
"#84 fragments only, eggshell thi",$2.00
"#86 Hatched,#88 Hatched,#87 Died",$1.00
"#9 Addled, #10 Hatched",$1.00
"#9 fragments only, eggshell thic",$1.00
"#91, fragments only, eggshell th",$1.00
"#94, fragments only, 1 egg, eggs",$1.00
"#'s 1,2,4,5 and 6 small embryos,",$1.00
"#'s1,2,4 Showing blood, #3 fresh",$1.00
"#VALUE!",$1.00
"&",$5.00
"(1 broken) Fresh",$1.00
"(2) 3 Days",$1.00
"(2-3 weeks incubation) Abandoned",$1.00
"(about) 1/3",$1.00
"(checkmark)",$3.00
"(Fh)",$44.00
"(Fh-) see card",$1.00
"(finally) Vble trace to s. embry",$1.00
"(FL)",$3.00
