"sex","reps"
"",62513976
"male",2604696
"female",2276595
"Female",1354279
"Male",1316103
"unknown",1269250
"undetermined",938157
"1 adult",401803
"M",375349
"FALSE",315836
"1u",182138
"1w",161224
"Unknown",142147
"not determined",126573
"U",102994
"adult worker",98546
"adult unsexed",94182
"1m",79766
"1 female",65483
"1",63507
"1 male",53088
"1f",50255
"1 sex not recorded",48254
"--",41759
"adult female - worker",36341
"adult male",33603
"not recorded",31242
"Adult worker",27437
"male; female",25783
"adult female",21688
"M��le",20959
"minor worker",20795
"2",19839
"w",19513
"worker",19442
"Worker",17102
"in question",15387
"2 undetermined",14866
"Femelle",14499
"2u",13515
"2w",12476
"3",12125
"3w",11391
"Male and Female",10858
"2 females",9801
"larva/juvenile",9666
"2 sex not recorded",7937
"3 undetermined",7933
"2 adults",7896
"1x",7169
"UN",6979
"?",6557
"major, minor worker",6350
"Ind��termin��",6270
"1dQ",5924
"queen, worker",5293
"4 undetermined",5291
"hermaphroditic",4908
"3u",4754
"2m",4674
"multiple",4664
"1W",4475
"3 adults",4458
"queen",4402
"1aQ",4337
"1w major",4328
"major worker",4290
"female; male",4289
"1 male, 1 female",4211
"2 males",4153
"4",4148
"m",4141
"1 worker",4019
"recorded as unknown",4008
"Sex unknown",3983
"femelle",3937
"Adult Male",3909
"larvae",3902
"female ?",3764
"M+F",3728
"adult-worker",3682
"5 undetermined",3638
"macroconch",3611
"6",3573
"Female;;",3477
"Adult Female worker",3447
"Adult Female",3440
"1M",3091
"male ?",3032
"male; female; female",3019
"dealate queen",2980
"male; female;;",2837
"3 females",2696
"[male]",2603
"4u",2545
"4 adults",2536
"1 specimen",2492
"3 sex not recorded",2491
"6 undetermined",2455
"male; male; female",2420
"Macho",2359
"1m,1f",2287
"Male; Female",2245
"adult female - alate queen",2210
"50 adults",2186
"nymph unsexed",2151
"F��mea",2145
"1 males",2102
"5 adults",2056
"5",2050
"1dQ, 1w",2018
"3 males",1972
"7 undetermined",1715
"[female]",1696
"male; male; female; female",1639
"4 females",1634
"C&S",1630
"ster.",1612
"1w major, 1w",1607
"mixed",1600
"skel",1595
"male , female",1592
"Adult",1590
"6 adults",1567
"2f",1551
"female; female",1530
"female;;",1515
"1F",1494
"Q",1494
"1 adult, 1 specimen",1493
"Male Female",1493
"1Q",1485
"1 male; 1 female",1477
"4 sex not recorded",1398
"5u",1392
"1 females",1380
"3m",1376
"adult female - dealate queen",1304
"1s",1301
"1w, 1m",1300
"2 male",1289
"female , male",1278
"Female; Male",1237
"8 undetermined",1222
"dealate queen, worker",1198
"7 adults",1188
"10 adults",1155
"workers",1147
"male; male",1133
"6u",1131
"Male & Female",1131
"alate queen",1105
"8 adults",1102
"10 undetermined",1079
"young",1076
"M; skel",1030
"9",1023
"microconch",1018
"hane",976
"ind",974
"4 males",956
"male;;",949
"9 undetermined",925
