"taxonRank","reps"
"Thoracica",21
"titinga",1
"Trepostomata",6
"Tribe",18
"Tribo",12
"Trigonioida",1
"triqueter",6
"undefinable",7
"Undet.Cat.",9
"undetermined",4364
"Unionoida",4
"unknown",25
"unnamed",180
"Valvatida",2
"var",75
"var.",318216
"varietas",11499
"variety",468747
"Veneroida",27
"Verum",1
"villosa",1
"Waptiida",1
"X",232
"Zeiformes",6
"Zoanthidea",4
"Zygophyllales",1
,63532111
"��",24
"[unranked]",4
"||||",21
"|||||",3
"||||||||",5
"|||||||||||||||||||||||||||||||||||||",12
"Aberration",326
"Accipitriformes",9
"Actinocerida",6
"Acutiserolis",1
"aff.",2
"affn.",1
"agg.",26
"Agnostida",7
"albiflora",2
"Alcyonacea",9
"Altiverruca",1
"amazonica",1
"Amiiformes",1
"Ammonoidea",2
"Ampelisca",167
"AMPELISCIDAE",1
"Amphipoda",61
"Anguilliformes",13
"ANIMALIA",11
"Anseriformes",47
"Antipatharia",21
"Anura",182
"Apodiformes",6
"Archaeocopida",15
"Archaeogastropoda",3
"Archaeostraca",2
"Arcoida",1
"Arecales",1
"arenaria",9
"Articulata (Crinoidea)",5
"Artiodactyla",182
"Asparagales",1
"Asterales",100
"Astrophorida",6
"Atheriniformes",3
"Athyridida",1
"Atlantapseudes",2
"Atrypida",40
"Aulopiformes",4
"baccata",4
"barcellana",2
"Barrandeocerida",2
"Belemnitida",1
"Bellerophontida",1
"benthaminum",1
"Beryciformes",6
"Billingsellida",1
"BODOTRIIDAE",1
"Bonnierella",14
"Brassicales",12
"Brisingida",1
"Bucerotiformes",4
"Byblis",3
"Calanoida",1
"Caprimulgiformes",5
"Captorhinida",1
"Carnivora",69
"Caryophyllales",34
"Catapaguroides",1
"caudata",131
"Cear'a",1
"Ceriantharia",1
"Cetacea",2
"Cete",17
"cf.",7
"Characiformes",38
"Charadriiformes",77
"Cheirimedon",1
"Chimaeriformes",2
"Chiroptera",5
"Cimolesta",101
"Clade",21
"Cladoselachiformes",1
"class",144816
"Classe",19
"Clupeiformes",1
"Coleoptera",1
"Columbiformes",4
"Comatulida",3
"Commelinales",1
"Condylarthra",210
"Conocardioida",6
"Conulariida",7
"Coraciiformes",2
"Cornales",5
"Creodonta",23
"Crocodylia",34
"Crossosomatales",1
"Cuculiformes",8
"Cucurbitales",8
"Cultivar",420
"Cumacea",5
"cv.",2
"Cyclaspis",65
"Cypriniformes",108
"Cyprinodontiformes",11
"DECAPODA",23
"Dendrochirotida",1
"Dendroidea",62
"Dermoptera",9
"Deutella",1
"Dictyida",1
"Didelphimorphia",1
"Dipsacales",1
"Diptera",1
"Division",2870
"Echinoida",5
"Elasipodida",1
"elegans",2
"Ellesmerocerida",1
"Endocerida",3
"Enterogona",1
"Ericales",11
"Esociformes",20
"Esp��cie",243989
"Eunicida",2
"Euomphalina",384
"f.",8855
"Fabales",61
"Falconiformes",5
"family",282376
"Fam��lia",518
"ferruginea",13
"Filicales",2
"Fissiculata",1
"fm.",16
"fo.",8
"Foraminiferida",5
"Forcipulatida",7
"Form",2086
"form.",320
"forma",11049
"foscae",4
"Gadiformes",12
"Galliformes",24
"Gasterosteiformes",10
"Gaviiformes",1
"Genero",238
"Gentianales",19
"genuinus",2
"genus",737277
"Genus or Species",991
"G��nero",1872
"Golfingiida",1
"Gorgonacea",181
"Graptoloidea",693
"Gruiformes",2
"Hadromerida",1
"Haploniscus",2
"Harpacticoida",1
"Hesperornithiformes",1
"Hexactinosida",7
"Hippuritoida",3
"holotype",8
"humilis",8
"hybrid",16
"hybrid fam",1
"hybrid gen",4
"hybrid sp",1400
"hybrid ssp",271
"Hydroida",6
"Hymenopenaeus",1
"Hymenoptera",2
"Hyolithida",2
"hypodigm",1
"hypotype",58
"Ichthyodectiformes",4
"Ichthyornithiformes",1
"incertae sedis",1
"Infr.",154
"Infraorder",2161
"infraspecificEpithet",6955
"insectivore indet.",4
"insectivore? indet.",1
"ISCHYROCERIDAE",1
"ISOPODA",17
"janeirensis",1
"Janicella",1
"jemuina",1
"Kingdom",30614
"Lagomorpha",2
"Lamiales",36
"Lepechinella",5
"Lepidoptera",141
"Leptophoxoides",3
"Leucothoe",2
"Lingulida",27
"Littorinimorpha",4
"lobatus",1
"Lophiiformes",5
"lutea",1
"Macrostylis",2
"major",1
"Malpighiales",29
"Malvales",11
"manihot",2
"matrix",50
"Megaloptera",1
"Megamphopus",2
"Menippe",1
"Millericrinida",1
"mineral",1
"minor",1
"Modiomorphoida",6
"Monobathrida",1
"morpha",37
"Morphotype",28
"Multituberculata",7
"Munida",4
"Musophagiformes",2
"Myctophiformes",3
"Myersius",2
"Myoida",2
"Myrtales",2
"Mysidacea",4
"Mytiloida",1
"Myxiniformes",1
"Nektaspida",2
"Neogastropoda",3
"nervosa",1
"nm.",1
"nothomorph",1
"nothospecies",795
"nothosubsp.",4
"Notopoma",2
"Notoungulata",2
"nthmorph.",9
"Nuculoida",6
"oblongifolia",1
"oblongifolius",1
"obtusiloba",1
"Odonata",3
"Odontopleurida",9
"on",1
"Oncocerida",2
"Onychodontiformes",28
"Ophiurida",39
"Ordem",84
"Order",115165
"Ornithischia",1
"Orthida",59
"Orthocerida",6
"Orthotetida",1
"Osmeriformes",3
"Osmundales",1
"Osteoglossiformes",8
"ovata",1
"Pachycormiformes",1
"Palaeonisciformes",1
"Panopeus",1
"Passeriformes",207
"Paxillosida",8
"Pelecaniformes",7
"Pennatulacea",6
"Pentamerida",11
"Perciformes",100
"Percopsiformes",2
"Perissodactyla",327
"Petromyzontiformes",5
"Phacopida",5
"Phlebobranchia",2
"Phrynophiurida",31
"Phyllodocida",17
"PHYLUM",85236
"phylum | class",1
"phyluym",1
"phylym",3
"Piciformes",9
"pilosula",4
"Piperales",5
"piriri",2
"Platyasterida",4
"Pleuronectiformes",3
"PL-holotype",7
"PL-hypotype",6
"Poales",22
"Poecilosclerida",7
"Polymixiiformes",1
"Polypodiales",8
"Praecardioida",26
"Primates",91
"Proboscidea",4
"Procellariiformes",1
"Procreodi",5
"Productida",25
"prol.",4
"Proles",1
"prownbens",1
"Pseudericthonius",13
"Pseudharpinia",1
"Pseudischyrocerus",1
"Pterioida",23
"Pterosauria",46
"Ptychopariida",39
"Ptyctodontida",1
"purpurea",1
"Race",74
"radicans",2
"Rajiformes",3
"Ranunculales",2
"Redlichiida",7
"Rhynchonellida",48
"Rodentia",37
"Rosales",11
"Rugosa",8
"s.",1
"Salmoniformes",45
"Salvinales",3
"Santalales",2
"Sapindales",8
"Saurischia",1
"Sauropterygia",6
"Saxifragales",3
"Schizaeales",1
"Scleractinia",34
"scordioides",2
"Scorpaeniformes",19
"sect.",5
"section[genus]",1
"sed rock",1
"Sedentarida",3
"septentrionalis",1
"Siluriformes",13
"Siphonophorida",1
"solanacus",1
"Solanales",52
"Sorbeoconcha",3
"Soricomorpha",5
"Sparassodonta",1
"specie",520062
"species",7592822
"species group",1
"specificEpithet",204232
"Spinulosida",5
"Spiriferida",50
"Spiriferinida",8
"spp.",1
"Squaliformes",1
"Squamata",164
"ssp",31
"ssp.",32596
"Stenocionops",1
"Stirp",5
"Stolidobranchia",1
"Stomiiformes",10
"Strigiformes",5
"Stromatoporoidea",30
"Strophomenida",30
"Stylommatophora",2
"subclass",5041
"subconcolor",1
"subdivision",283
"subesp��cie",11626
"Subfamily",2859
"Subfam��lia",2
"subform",2
"subforma",22
"Subgenus",255
"subglabrifolia",1
"subkingdom",44
"Suborder",9426
"Subphylum",3406
"subsect.",1
"Subsection",1
"subsp",159
"subsp.",167800
"subspecies",2291680
"subtropicalis",1
"subvar.",3
"Subvariety",45
"Suliformes",3
"Superclass",434
"superdivision",4
"Superfamily",6628
"superorder",1044
"Tabulata",11
"Tanaidacea",3
"Tarphycerida",1
"Temnospondyli",1
"Terebellida",1
"Terebratulida",1
"Testudines",17
"Thecodontia",1
"Thecosomata",4
