"waterBody","reps"
"",71799463
"Pacific Ocean",548893
"North Atlantic Ocean",385011
"North Pacific Ocean",258478
"Northern Pacific Ocean",178763
"North Atlantic Ocean, Gulf of Mexico",149564
"Pacific",148585
"South Pacific Ocean",140477
"Eastern North Pacific Ocean",127862
"Atlantic Ocean",91693
"Indian Ocean",87213
"North Atlantic Ocean, Caribbean Sea",74614
"Caribbean Sea",70623
"Gulf of Mexico",58452
"Atlantic",57189
"Bering Sea",39805
"Skagerrak",30110
"South Atlantic Ocean",28002
"Antarctic Ocean",27949
"Atlantic, Caribbean Sea",22662
"North Sargasso Sea",21002
"Indian",19758
"Arctic Ocean",19715
"North Pacific",19630
"Kattegat",15957
"Amazonas",15384
"Boneyard Creek",15139
"Eastern Tropical Pacific Ocean",14912
"North Atlantic",14787
"Mediterranean Sea",14459
"Mar de Cort��s",14266
"Atlantic Ocean; Gulf of Maine; Cape Cod Bay",14236
"Atlantic Ocean; Caribbean Sea",12278
"Atlantic, Gulf of Mexico",12127
"North Sea",11510
"North Pacific Ocean, Bering Sea",11243
"South Atlantic Ocean, Scotia Sea",11158
"Gulf of Alaska",10601
"South Pacific",10351
"[Fox River]",10248
"Tugela",9460
"Vaal River",9241
"North Atlantic Ocean, Mediterranean Sea",9143
"Antarctic Ocean, Ross Sea",8448
"Southern Pacific Ocean",7745
"Gulf of California",6817
"Indo-Malayan Region",6136
"Chattahoochee River - Apalachicola River",5742
"North Atlantic Ocean, Gulf Of Mexico",5696
"North Pacific Ocean, Gulf of California",5573
"Gulf of Thailand",5547
"Arkansas River",5483
"Neuse R.",5348
"North Pacific Ocean, Gulf of Panama",5201
"Kattegatt",5088
"Limpopo river",4466
"Coral Sea",4440
"South China Sea",4366
"Maritime Southeast Asia",4240
"Chukchi Sea",4146
"Incomati river",4076
"Atlantic Ocean; Gulf of Maine",3969
"Atl��ntico Norte / Nordeste",3965
"Illinois River",3957
"Great Berg River",3837
"Mississippi River",3618
"Atlantic Ocean; Gulf of Mexico",3602
"Waccamaw R.",3474
"Southern Ocean",3448
"French Broad R.",3446
"R��o Cinaruco",3438
"Tallapoosa River - Alabama River - Mobile Bay",3422
"Baltic Sea",3421
"Sangamon River",3384
"Napo",3307
"Rock River",3306
"Kankakee River",3267
"Salt Fork Vermilion River",3152
"Bering Strait",3122
"Essequibo River",3120
"Red River",3116
"Tar R.",3112
"Tombigbee River",3042
"Luxapallila Creek",2877
"San Francisco Bay",2867
"Neosho",2857
"Alabama River",2852
"Dan R.",2765
"Tallapoosa River - Alabama River",2721
"Tennessee River",2668
"North Pacific Ocean, Gulf of Alaska",2666
"Rocky R.",2630
"Atlantic Ocean; Long Island Sound",2619
"Eastern Pacific Ocean",2614
"Antarctic Ocean, Scotia Sea",2582
"Cape Fear R.",2470
"Arctic Ocean, Beaufort Sea",2467
"Little R.",2448
"Rio Orinoco",2440
"Missouri River",2421
"Indian Ocean, Timor Sea",2372
"Tapaj��s",2336
"maroni",2280
"Haw R.",2267
"Apalachicola River",2162
"Amazon",2127
"North Atlantic Ocean, North Sea",2095
"Atlantic, Mediterranean Sea",2081
"R. Amazonas basin",2071
"Lake Texoma",2067
"Catawba R.",2065
"Atlantic Ocean; Gulf of Maine; Bay of Fundy",2051
"Lumber R.",2027
"Umgeni",1951
"Olifants-Kliprivier",1948
"Cimarron River",1945
"North Pacific Ocean, South China Sea",1919
"Pacific, Sulu Sea",1891
"Solomon Sea",1882
"Indian, Red Sea",1875
"Coosa River - Alabama River",1874
"Beaufort Sea",1872
"Deep R.",1872
"Pee Dee R.",1865
"North Pacific Ocean, Sulu Sea",1808
"Buckleys Creek",1793
"niger",1790
"Northern Atlantic Ocean",1772
"Red Cedar River",1721
"amazone",1689
"Piney Creek",1671
"Atlantic Ocean, Gulf of Mexico",1668
"Canadian River",1635
"Arabian Sea",1564
"Yadkin R.",1554
"Ohio River",1530
"Locality Unknown",1519
"Little River",1510
"Contentnea Creek",1502
"Antarctic Ocean, Weddell Sea",1498
"Mill Creek",1494
"Tocantins",1486
"Clinch R.",1467
"R��o Orinoco",1466
"Zambezi River",1465
"Embarras River",1457
"Red Sea",1443
"Buttahatchee River",1428
"Sulu Sea",1403
"Indian Ocean, Andaman Sea",1395
"Indian Ocean, Red Sea",1394
"Oak Creek",1390
"Pacific Ocean; Gulf of California",1390
"Puget Sound",1376
"Indian, Red Sea, Gulf of Aqaba",1369
"Adriatic Sea",1361
"Atlantic, Gulf of Maine",1344
"Indian Ocean, Arabian Sea",1343
"Leaf River",1322
"North Pacific Ocean, Mindanao Sea",1317
"North Pacific Ocean, Sea of Japan",1316
"Atlantic Ocean, Caribbean Sea",1304
"Sargasso Sea",1296
"Western Tropical Pacific Ocean",1296
"Stony Creek",1289
"congo",1277
"South Pacific Ocean, Bismarck Sea",1277
"Buffalo River",1268
"Great Fish river",1267
"North Atlantic Ocean, Gulf of Maine",1261
"Tugela river",1260
"Tennessee River - Ohio River - Mississippi River",1239
"Bear Creek",1219
"Roanoke R.",1204
"SOUTH PACIFIC",1199
"Pearl River",1192
"Buncombe Creek",1190
"Rupununi River - Essequibo River",1187
"Chickasawhay River",1184
"Coosa River - Alabama River - Mobile Bay",1164
"Oceano Atl��ntico",1164
"Cunene River",1162
"North Canadian River",1161
"Kiamichi River",1157
"Fraser River",1150
"Colorado River",1142
"Laguna Tortuguero",1108
"Wambelong Creek",1105
"Channel Lake",1101
"Brushy Creek",1096
"Pacific, Bering Sea",1073
"White River",1067
"Tennessee-Tombigbee Waterway",1063
"Central Pacific Ocean",1060
"Apple River",1046
"Pacific Ocean; Gulf of Panama",1033
"Mkomazi",1032
"Black R.",1026
"Antarctic Ocean, Ross Sea, McMurdo Sound",1025
"l.tchad",1023
"Atlantic, Chesapeake Bay",999
"Rock Creek",998
"Tennessee R.",996
"Rio Caura",984
"Atlantic Ocean; Vineyard Sound",982
"Big Creek",982
"Sugar Creek",982
"Indian Creek",975
"Cahaba River - Alabama River - Mobile Bay",966
"Southwestern Pacific Ocean",962
"Middle Fork Vermilion River",959
"NORTH PACIFIC",959
"Pascagoula River",952
"Kaneohe Bay",945
"Pacific, South China Sea",929
"North Pacific Ocean, China Sea",928
"Northeast Cape Fear R.",926
"Browns Creek",910
"Saline River",909
"South Pacific Ocean, Banda Sea",901
"Catahoula Creek",895
"Golfo de California",894
"Trib. Killbuck Creek",890
"Atlantic, Mediterranean Sea, St. George Bay",888
"North Atlantic Ocean, English Channel",888
"Bekulab River",883
"North Atlantic Ocean, Gulf of Guinea",860
"Mearim",858
"New R.",849
"North Pacific Ocean, Gulf of Davao",849
