"data.dwc:month","reps"
"7",5263163
"8",4517731
"6",4478700
"5",3801925
"9",3057353
"10",3044320
"4",2754494
"11",2259155
"3",2117588
"07",1733122
"12",1693780
"1",1543231
"2",1527620
"08",1342164
"06",1161341
"05",816008
"09",791073
"04",620745
"03",546467
"01",493120
"02",444377
"0",391093
"19",51679
"june",10955
"may",8632
"april",8574
"july",7399
"march",6219
"redacted",3636
"august",3144
"september",2686
"february",2563
"00",2161
"october",1763
"november",1130
"20",1098
"january",1020
"december",956
"406",218
"607",161
"709",152
"15",72
"708",58
"spring",56
"13",53
"17",52
"sept",51
"summer",50
"508",46
"910",42
"16",39
"18",39
"21",36
"14",33
"22",33
"25",32
"23",29
"30",29
"27",24
"31",23
"or",22
"24",21
"and",20
"aug",18
"29",16
"105",16
"1011",16
"28",15
"1012",15
"26",14
"sep",14
"fall",13
"jul",10
"610",9
"007",9
"809",8
"ca",8
"ditassa",8
"mart",8
"609",7
"008",7
"winter",7
"80",6
"85",6
"91",6
"905",6
"25557",6
"late",6
"oxypetalum",6
"vell",6
"96",5
"97",5
"fontella",5
"plantae",5
"40",4
"50",4
"71",4
"95",4
"1873",4
"cast",4
"decne",4
"47",3
"79",3
"98",3
"810",3
"1839",3
"1848",3
"1866",3
"1870",3
"1885",3
"1890",3
"1894",3
"1928",3
"005",3
"a.dc",3
"appendiculatum",3
"dipladenia",3
"forsteronia",3
"41",2
"51",2
"60",2
"61",2
"78",2
"81",2
"99",2
"111",2
"114",2
"122",2
"205",2
"308",2
"506",2
"1201",2
"1847",2
"1865",2
"1889",2
"006",2
"009",2
"010",2
"condylocarpon",2
"curassavica",2
"decussata",2
"eximia",2
"hispida",2
"isthimicum",2
"iv",2
"jun",2
"konno",2
"minaria",2
"mounted",2
"mucronata",2
"müll.arg",2
"r",2
"rapini",2
"speciosa",2
"t.u.p",2
"unknown",2
"v",2
"33",1
"34",1
"36",1
"37",1
"39",1
"42",1
"45",1
"46",1
"49",1
"57",1
"59",1
"68",1
"70",1
"72",1
"73",1
"74",1
"75",1
"77",1
"87",1
"88",1
"89",1
"90",1
"93",1
"120",1
"121",1
"166",1
"304",1
"311",1
"319",1
"378",1
"405",1
"507",1
"511",1
"556",1
"585",1
"608",1
"611",1
"811",1
"909",1
"911",1
"1025",1
"1202",1
"1210",1
"1211",1
"1809",1
"1836",1
"1846",1
"1852",1
"1855",1
"1856",1
"1861",1
"1862",1
"1880",1
"1883",1
"1886",1
"1888",1
"1891",1
"1893",1
"1899",1
"1900",1
"1904",1
"1909",1
"1912",1
"1915",1
"1938",1
"1953",1
"1957",1
"2012",1
"2313",1
"41895",1
"51888",1
"81866",1
"004",1
"8e",1
"amazonas",1
"amplexicaule",1
"arn",1
"asclepias",1
"aspidosperma",1
"atratum",1
"australis",1
"blepharodon",1
"bracteatus",1
"catharanthus",1
"e",1
"e.a",1
"e.a.schwarz",1
"elegans",1
"erectum",1
"f.c",1
"fourn",1
"gabrielle",1
"gentianoides",1
"hancornia",1
"hastata",1
"hoehne",1
"hook",1
"hua",1
"i",1
"ii",1
"incarnata",1
"insigne",1
"j.f",1
"janauary",1
"l",1
"longisepala",1
"macbr",1
"macrocarpon",1
"malme",1
"martiana",1
"nitidum",1
"nitidus",1
"novemember",1
"oct",1
"poeppigii",1
"refracta",1
"rugellosus",1
"saug",1
"schwarz",1
"septeber",1
"stadelm",1
"subulata",1
"surinamensis",1
"sylvestris",1
"tassadia",1
"tomentosa",1
"var",1
"variegata",1
"wightianum",1
"x",1
"xi",1
"ásia",1
