"data.dwc:nomenclaturalCode","reps"
"iczn",14596384
"icnafp",4874124
"icbn",4339307
"icn",1095527
"unknown",18137
"noncompliant",6619
"icsp",2813
"animalia",1686
"ichnofossil",171
"of",134
"william",134
"b",133
"berry",133
"n",133
"the",133
"1960",132
"6005",132
"179pp",132
"20pl",132
"3tf",132
"faunas",132
"graptolite",132
"marathon",132
"publication",132
"region",132
"texas",132
"university",132
"west",132
"acutiramus",11
"undefinable",7
"adolf",5
"p",5
"pl",5
"seilacher",5
"145",4
"553",4
"2014",4
"alan",4
"d",4
"gishlick",4
"morphodynamics",4
"noncomplaint",2
"1",1
"40",1
"75",1
"104",1
"162",1
"187",1
"192",1
"226",1
"363",1
"385",1
"1962",1
"1966",1
"2001",1
"2007",1
"746168",1
"176,2tf",1
"1pl",1
"1tbl",1
"actuels",1
"analysis",1
"and",1
"armor",1
"armored",1
"blows",1
"carpenter",1
"climacograptus",1
"de",1
"dermal",1
"des",1
"dinosaurs",1
"evolution",1
"fossil",1
"ginsburg",1
"hall",1
"hastatus",1
"icnb",1
"id",1
"in",1
"indet",1
"its",1
"journal",1
"kenneth",1
"lectotype",1
"leonard",1
"les",1
"local",1
"palaeophyllum",1
"paleontologie",1
"paleontology",1
"per",1
"plantae",1
"polacanthine",1
"populations",1
"pp",1
"problemes",1
"some",1
"t",1
"t.s",1
"taxon",1
"trace",1
"tritylodontes",1
"update",1
"v",1
"vertebres",1
"worms",1
