"data.dwc:preparations","reps"
"hb",5775991
"skin",4273368
"1",3680471
"whole",2989418
"pinned",2942073
"ethanol",2941782
"dry",2545037
"alcohol",2027586
"skull",1965238
"sheet",1552409
"animal",1234237
"organism",1185446
"dried",1182401
"on",1104277
"etoh",1087193
"70",981463
"pin",906907
"study",902717
"skeleton",795999
"fluid",735383
"tissue",614270
"alcoholic",510376
"shell",494401
"r",443159
"unknown",420573
"fossil",413047
"default",375693
"in",364732
"alc",359584
"frozen",359134
"s",358994
"slide",342204
"9999",332535
"specimen",328639
"pointed",290269
"prep",280806
"vial",273626
"mounted",263232
"round",261469
"75",243611
"2",241179
"c",217422
"packet",210396
"eggs",205160
"skel",199244
"y",196625
"herbarium",194861
"and",189306
"isopropanol",188777
"sk",186967
"formalin",184830
"not",182495
"ss",181491
"liver",180671
"10",170094
"0",167592
"mount",167012
"3",154620
"95",141936
"complete",141887
"single",139998
"envelope",125642
"lichen",116408
"heart",114746
"sheets",114676
"postcranial",113591
"kidney",109029
"body",106307
"from",103288
"egg",101377
"preserved",99955
"100",99940
"partial",99027
"4",95283
"with",87298
"tiss",87240
"within",86517
"isoh",84800
"type",84779
"pressed",83963
"exsicatas",83941
"jar",82920
"blood",80877
"spread",80427
"form",79069
"a",78776
"microslide",78427
"originally",77328
"tooth",69342
"wing",68545
"mandible",67064
"spleen",66673
"bone",66026
"dna",61302
"5",59287
"lung",57974
"l",57616
"cranium",54089
"microscope",51500
"microslides",50479
"m",50242
"wet",49541
"al",46999
"fixed",43838
"6",43020
"muscle",41771
"nitrogen",41510
"point",40826
"liquid",40800
"photograph",40772
"dentary",37727
"sb",37703
"frag",36961
"sn",36482
"ok",36142
"pollen",36081
"only",35652
"alcool",34548
"incomplete",33805
"vertebra",33701
"observation",33481
"sample",32956
"subsample",32949
"secondary",32853
"7",32000
"thin",31473
"carded",30514
"or",28869
"left",28766
"right",28623
"8",28023
"stained",27209
"remnants",26676
"flat",26651
"m1",25572
"cleared",24786
"fragment",24672
"glycerin",24386
"nest",24338
"no",24294
"sections",23390
"balsam",22843
"rnalater",22788
"m2",21869
"extract",21820
"valve",20848
"freezer",20781
"9",20720
"ectoparasite",19864
"card_mount",19596
"w",19244
"stomach",18826
"light",18452
"individual",18192
"small",17929
"isopropyl",17862
"leaf",17819
"phalanx",17335
"p",17114
"primary",17025
"part",16987
"disarticulated",16958
"m3",16699
"p4",16326
"12",16256
"paper",16117
"ou",15445
"pele",15115
"fechada",15114
"taxidermizada",15114
"11",15001
"miscellaneous",14847
"fossilinvertprep",14837
"baculum",14045
"jaw",13657
"at",13536
"humerus",13450
"frags",13422
"section",13399
"other",13352
"ulna",13273
"entire",13217
"cast",12934
"femur",12932
"paleo",12919
"nfn",12553
"solução",12360
"em",12265
"conservado",12145
"15",12011
"tissues",11978
"radius",11961
"asr",11679
"clutch",11635
"20",11571
"xy",11419
"13",11231
"slidemount",11152
"alcoólica",11147
"polyester",11122
"ice",10982
"so",10798
"plate",10604
"strewn",10243
"pes",10238
"14",10219
"sa",9936
"unspecified",9916
"80",9850
"bag",9722
"sperm",9610
"carcass",9584
"distal",9527
"full",9501
"n",9488
"maxilla",9421
"post",9407
"othr",9350
"kit",9143
"unsectioned",9111
"cells",9074
"cranial",8825
"seed",8726
"exsicata",8665
"solution",8648
"removed",8548
"alko",8537
"manus",8489
"spirit",8332
"photo",8272
"remainder",8266
"16",8211
"teeth",8125
"voucher",8090
"proximal",8044
"flash",7985
"winged",7946
"embryo",7913
"karyotype",7821
"intact",7691
"data",7556
"lame",7458
"specimens",7416
"17",7399
"g",7329
"25",7214
"swab",7093
