"data.dwc:reproductiveCondition","reps"
"flowers",535957
"flowering",429916
"notdetermined",360570
"fl",265043
"flower",244319
"fr",223535
"fruiting",193978
"fruit",193826
"sexed",178994
"how",178840
"fruits",171992
"means",151648
"unmarked",151648
"and",117855
"fertile",98748
"early",90950
"mid",88784
"bud",86060
"vegetation",80119
"n",79186
"y",79104
"flr",77607
"mm",72968
"vegetative",50177
"testes",48869
"frt",46898
"gonads",46104
"sterile",37147
"unknown",36401
"t",34210
"spores",30325
"veg",28066
"x",24851
"no",24564
"late",22769
"fruting",21291
"ovary",18922
"ov",14275
"emb",14159
"flo",12984
"1",11971
"flowerandfruit",10822
"enlarged",10752
"buds",9971
"data",9737
"2",8886
"3",8602
"4",7920
"drawn",7576
"5",7552
"ova",7507
"gonad",7496
"cones",7466
"not",7174
"pregnant",6867
"uncertain",6603
"6",5729
"embs",5662
"scrotal",5011
"juvenile",4729
"granular",4600
"immature",4600
"label",4571
"on",4465
"7",4433
"lactating",4404
"cr",4263
"ant",4248
"ta",4228
"brood",4185
"leaves",4035
"patch",3962
"3x2",3847
"8",3830
"drawing",3679
"ts",3657
"small",3643
"l",3596
"10",3215
"present",2969
"in",2962
"r",2930
"oviduct",2865
"lrgst",2790
"5x3",2764
"9",2751
"2x1",2707
"female",2671
"1.5",2603
"ex",2586
"antpa",2547
"vc",2509
"1x1",2471
"male",2447
"6x4",2434
"1mm",2391
"cloaca",2341
"4x3",2318
"non",2283
"4x2",2271
"fru",2255
"or",2164
"ovum",2099
"mature",1984
"12",1923
"spore",1880
"vagina",1837
"testicules",1820
"2x2",1807
"decomposed",1771
"adult",1733
"see",1720
"11",1715
"visible",1695
"left",1684
"large",1677
"9252",1667
"9253",1667
"9254",1667
"9255",1667
"9256",1667
"9257",1667
"9258",1667
"9259",1667
"9260",1667
"9261",1667
"9262",1667
"9263",1667
"9264",1667
"9265",1667
"9266",1667
"9267",1667
"9268",1667
"9269",1667
"9270",1667
"9271",1667
"9272",1667
"9273",1667
"9274",1667
"9275",1667
"9276",1667
"9277",1667
"9278",1667
"9279",1667
"9280",1667
"9281",1667
"9282",1667
"9283",1667
"9284",1667
"9285",1667
"9286",1667
"9287",1667
"9288",1667
"9289",1667
"00946",1667
"009461",1667
"009462",1667
"009463",1667
"009464",1667
"009465",1667
"largest",1661
"plumage",1659
"breeding",1623
"egg",1623
"v",1546
"7x5",1509
"to",1502
"ne",1490
"seed",1460
"7x4",1459
"duct",1446
"2.5",1435
"8x5",1427
"right",1410
"5x4",1363
"circa",1349
"from",1334
"minute",1325
"6x3",1286
"2mm",1273
"active",1273
"flrs",1256
"slightly",1242
"15",1216
"ovis",1216
"13",1204
"gravid",1160
"vo",1153
"testis",1139
"of",1128
"cone",1109
"one",1096
"8x6",1087
"larva",1049
"14",1043
"1x2",1003
"8x4",1001
"scars",1001
"closed",982
"old",976
"sori",962
"10x6",961
"265339",957
"004437",957
"ecl",938
"265391",933
"004489",933
"9x6",929
"follicles",927
"265250",925
"004348",925
"0.5",901
"reared",901
"3.5",886
"smooth",873
"embryo",848
"stems",837
"lact",831
"developing",825
"embryos",807
"scar",806
"remnants",793
"6x5",790
"found",789
"ruptured",789
"10x7",773
"ovaire",773
"apothecia",763
"3mm",757
"follicle",751
"lumpy",751
"plac",751
"2x3",748
"20",740
"9x5",732
"18",726
"mammae",720
"10x8",710
"nulliparous",701
"3x3",687
"5x2",680
"phenology",678
"3x1",675
"developed",673
"10x5",654
"june",652
"ff",650
"lg",644
"sex",638
"0.5x0.5",636
"17",628
"bloom",628
"bearing",627
"capsules",627
"4.5",620
"seminal",620
"ovaries",614
"9x7",613
"16",596
"parous",587
"placental",580
"scrot",580
"by",574
"two",574
"eggs",564
"2l",563
"ovules",559
"scr",559
"flw",551
"with",551
"persisting",550
"f1",539
"very",539
"ca",528
"4mm",525
"ducts",525
"sporophyte",524
"may",517
"2r",516
"lt",513
